,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,4769.0,8969.0,21444.0,28450.0,6683.0,14665.0,27773.0,40055.0,,,,,,,,
其他應付款增加（減少）,-14651.0,9969.0,39485.0,53101.0,-28859.0,-15164.0,14768.0,38134.0,-37058.0,-26325.0,3898.0,6089.0,-16109.0,12075.0,51860.0,35125.0
其他應收款（增加）減少,,-334.0,-798.0,-806.0,-95.0,-1769.0,-594.0,-1810.0,-376.0,-2362.0,-2282.0,-102.0,303.0,72.0,584.0,711.0
其他流動負債增加（減少）,-167.0,-119.0,-166.0,-167.0,1105.0,4648.0,391.0,619.0,-619.0,3852.0,-517.0,-558.0,66.0,77.0,118.0,72.0
其他流動資產（增加）減少,-58.0,-21.0,-89.0,-49.0,-91.0,-110.0,-156.0,-471.0,261.0,253.0,222.0,395.0,-140.0,-128.0,-58.0,-61.0
其他非流動資產增加,-295.0,-5810.0,-6593.0,-6489.0,-1088.0,-2800.0,-585.0,-312.0,0.0,0.0,639.0,863.0,-191.0,,,
其他項目,109.0,221.0,334.0,445.0,115.0,226.0,112.0,452.0,378.0,1025.0,1783.0,2592.0,522.0,1233.0,1910.0,2579.0
利息收入,-704.0,-1769.0,-3212.0,-4429.0,-500.0,-1170.0,-1773.0,-2578.0,-675.0,-1725.0,-3582.0,-4257.0,-1330.0,-2941.0,-4059.0,-5419.0
利息費用,424.0,849.0,1293.0,2033.0,576.0,1423.0,2368.0,3579.0,1701.0,4706.0,7471.0,9691.0,2365.0,5348.0,9021.0,13105.0
匯率變動對現金及約當現金之影響,2018.0,6591.0,-306.0,4974.0,-1375.0,-6077.0,-135.0,6482.0,-1094.0,-4722.0,1514.0,-1169.0,-3099.0,-10881.0,-29419.0,-39862.0
取得不動產、廠房及設備,-5438.0,-29034.0,-65324.0,-84588.0,-26236.0,-61089.0,-107505.0,-124408.0,-25480.0,-45419.0,-60111.0,-92337.0,-36259.0,-75209.0,-107595.0,-122635.0
呆帳費用提列（轉列收入）數,,0.0,768.0,650.0,-1437.0,-1413.0,440.0,86.0,0.0,0.0,0.0,1276.0,,,,0.0
存入保證金增加,956.0,4343.0,9870.0,12115.0,20041.0,8510.0,10622.0,14565.0,3114.0,6985.0,26304.0,29343.0,34600.0,36202.0,36339.0,43717.0
存出保證金增加,,-133.0,-134.0,-134.0,,-6358.0,-8025.0,-54050.0,-923.0,-917.0,-979.0,-4319.0,-383.0,-409.0,-384.0,-448.0
存貨（增加）減少,-14.0,-2131.0,-14189.0,-15473.0,-14705.0,-18253.0,-38342.0,-51089.0,-10584.0,-45478.0,-56600.0,-50783.0,-8075.0,-35279.0,-10546.0,-28317.0
應付帳款增加（減少）,7651.0,67142.0,94534.0,2604.0,6570.0,53164.0,38994.0,11758.0,-2099.0,40901.0,48308.0,-15583.0,-754.0,12480.0,83389.0,-1474.0
應收帳款（增加）減少,-29343.0,-63884.0,-56141.0,-27133.0,-10762.0,-51213.0,-62592.0,-24754.0,3927.0,-75372.0,-125536.0,-22370.0,-24236.0,-68283.0,-108651.0,-5268.0
應收票據（增加）減少,,-11465.0,-21749.0,-10598.0,3003.0,3141.0,10598.0,10598.0,-1614.0,-845.0,-1553.0,-3497.0,-9542.0,-2154.0,-1977.0,3035.0
投資活動之淨現金流入（流出）,-29378.0,-66733.0,-115628.0,-276159.0,-32891.0,-142473.0,-165892.0,-262936.0,24924.0,-133681.0,-157921.0,-179580.0,-17239.0,120358.0,81060.0,47513.0
折舊費用,6682.0,13657.0,21283.0,29314.0,8857.0,18677.0,30822.0,44395.0,15804.0,31031.0,52989.0,76330.0,26512.0,57319.0,84266.0,111513.0
攤銷費用,258.0,531.0,828.0,1172.0,410.0,785.0,1182.0,1582.0,411.0,822.0,1264.0,1683.0,455.0,906.0,1257.0,1569.0
支付之利息,-419.0,-906.0,-1270.0,-1752.0,-557.0,-1351.0,-2162.0,-3357.0,-1602.0,-3694.0,-7133.0,-9256.0,-2334.0,-5122.0,-9973.0,-14057.0
收取之利息,704.0,1769.0,3212.0,4429.0,500.0,1170.0,1773.0,2578.0,675.0,1725.0,3582.0,4257.0,612.0,4047.0,4606.0,5233.0
收益費損項目合計,,,,,,,,,18313.0,33939.0,58281.0,86305.0,27782.0,61211.0,92009.0,123109.0
期初現金及約當現金餘額,301709.0,301709.0,301709.0,301709.0,278068.0,278068.0,278068.0,278068.0,319280.0,319280.0,319280.0,319280.0,334510.0,334510.0,334510.0,334510.0
