,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y
本月,151268.0,63660.0,126997.0,139138.0,175299.0,153377.0,195832.0,183963.0,181554.0,114506.0,114480.0,134463.0,154455.0,110486.0,166608.0,210694.0,204105.0,190474.0,219298.0,208084.0,193070.0,135402.0,114516.0,148468.0,209686.0,87092.0,210052.0,233015.0,239549.0,227120.0,231460.0,250951.0,270495.0,146755.0,120064.0,187136.0,228905.0,94528.0,212552.0,239515.0,262424.0,264414.0,287373.0,314099.0,300264.0,131744.0,137480.0,204822.0
本年累計,151268.0,214439.0,341352.0,481118.0,655885.0,808799.0,1004056.0,1187635.0,1368966.0,1483472.0,1598164.0,1732901.0,154455.0,264966.0,431726.0,643490.0,848276.0,1039181.0,1258870.0,1467045.0,1660110.0,1796182.0,1912132.0,2062408.0,209686.0,296365.0,506489.0,739962.0,980393.0,1207606.0,1418695.0,1689880.0,1959840.0,2107820.0,2229067.0,2416186.0,228905.0,323617.0,536563.0,776727.0,1039670.0,1305040.0,1595136.0,1911924.0,2215506.0,2342832.0,2475079.0,2678684.0
