102年1月,27.53
2月,21.8
3月,21.86
4月,22.86
5月,25.3
6月,24.62
7月,26.6
8月,26.54
9月,26.78
10月,27.53
11月,27.15
12月,26.6
103年1月,26.38
2月,26.67
3月,26.89
4月,26.26
5月,25.53
6月,25.93
7月,25.98
8月,25.32
9月,25.17
10月,24.63
11月,24.07
12月,24.31
104年1月,24.26
2月,24.71
3月,25.14
4月,25.31
5月,25.6
6月,24.76
7月,23.91
8月,21.8
9月,20.68
10月,21.75
11月,21.19
12月,20.58
105年1月,20.85
2月,21.04
3月,20.92
4月,20.61
5月,19.96
6月,20.11
7月,19.82
8月,19.44
9月,19.29
10月,19.01
11月,18.44
12月,18.43
