,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,2430395.0,18.4,2528898.0,19.7,2429649.0,17.38,2452524.0,16.53,2439611.0,15.46,2342492.0,14.98,2175335.0,11.66,1991568.0,9.9,1908606.0,10.74,1869032.0,10.11,2074426.0,9.92,2135175.0,9.55,2233088.0,10.53,2286666.0,10.92,2304721.0,10.32,2364266.0,10.4
保留盈餘合計,4140596.0,31.36,3679883.0,28.66,3826165.0,27.37,4605839.0,31.05,4889729.0,30.99,3637538.0,23.26,3894437.0,20.87,5833649.0,28.99,5775482.0,32.49,5144914.0,27.83,5366386.0,25.66,5917491.0,26.46,5858575.0,27.62,5598558.0,26.73,5761844.0,25.8,6326844.0,27.83
其他應付款,1138745.0,8.62,1505651.0,11.73,1624907.0,11.63,1499727.0,10.11,1140944.0,7.23,1604926.0,10.26,1246054.0,6.68,1796392.0,8.93,1386096.0,7.8,1883486.0,10.19,2203804.0,10.54,1841735.0,8.24,1481279.0,6.98,2042247.0,9.75,2308982.0,10.34,2218577.0,9.76
其他應收款淨額,62127.0,0.47,78978.0,0.62,65316.0,0.47,57803.0,0.39,39628.0,0.25,39216.0,0.25,60341.0,0.32,288082.0,1.43,347298.0,1.95,282655.0,1.53,361260.0,1.73,251237.0,1.12,211892.0,1.0,384467.0,1.84,483981.0,2.17,316400.0,1.39
其他權益合計,-159219.0,-1.21,10930.0,0.09,-41198.0,-0.29,49336.0,0.33,114578.0,0.73,-9088.0,-0.06,31504.0,0.17,189424.0,0.94,-271103.0,-1.53,-287175.0,-1.55,175374.0,0.84,-107136.0,-0.48,-140186.0,-0.66,-298932.0,-1.43,-622514.0,-2.79,-772054.0,-3.4
其他流動負債,532429.0,4.03,401975.0,3.13,450251.0,3.22,544470.0,3.67,538034.0,3.41,1558873.0,9.97,2257663.0,12.1,576928.0,2.87,584660.0,3.29,681150.0,3.68,723058.0,3.46,772144.0,3.45,678703.0,3.2,788961.0,3.77,876994.0,3.93,985728.0,4.34
其他流動資產,66642.0,0.5,77077.0,0.6,94421.0,0.68,233717.0,1.58,1697356.0,10.76,74007.0,0.47,112314.0,0.6,344652.0,1.71,144405.0,0.81,125521.0,0.68,147617.0,0.71,127665.0,0.57,150481.0,0.71,129364.0,0.62,192191.0,0.86,169663.0,0.75
其他非流動負債,146589.0,1.11,193173.0,1.5,239090.0,1.71,83022.0,0.56,1260967.0,7.99,98189.0,0.63,121784.0,0.65,86671.0,0.43,111216.0,0.63,119728.0,0.65,204899.0,0.98,314054.0,1.4,294609.0,1.39,322350.0,1.54,247627.0,1.11,266255.0,1.17
其他非流動資產,511950.0,3.88,543229.0,4.23,687388.0,4.92,671235.0,4.52,690440.0,4.38,685172.0,4.38,692336.0,3.71,806542.0,4.01,748138.0,4.21,773369.0,4.18,822294.0,3.93,846543.0,3.79,771095.0,3.63,730555.0,3.49,701475.0,3.14,531756.0,2.34
存貨,2943351.0,22.29,3060085.0,23.83,3357116.0,24.02,3177461.0,21.42,3042721.0,19.28,3192761.0,20.41,3541509.0,18.98,3702712.0,18.4,3741788.0,21.05,4202538.0,22.73,4689635.0,22.42,4739374.0,21.19,4593265.0,21.65,4684079.0,22.36,5316862.0,23.81,5547416.0,24.41
