,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,"5,801,894",35.4,"5,801,894",35.4,"5,822,270",34.5,"5,838,809",34.76,"5,846,863",32.95,"5,853,755",32.41,"5,827,167",31.45,"5,759,633",31.02,"5,736,238",29.59,"5,690,994",28.87,"5,684,691",28.45,"5,608,698",28.43,"5,587,635",27.98,"5,569,962",27.55,"5,700,593",27.53,"5,723,988",28.47
保留盈餘合計,"6,765,931",41.29,"6,765,931",41.29,"6,648,450",39.39,"6,886,689",41.0,"7,271,548",40.97,"7,511,209",41.58,"7,294,906",39.38,"7,652,999",41.22,"7,993,017",41.24,"8,248,134",41.84,"7,861,653",39.35,"8,162,274",41.37,"8,638,396",43.25,"8,983,685",44.44,"8,804,918",42.52,"9,160,940",45.57
備供出售金融資產－流動淨額,"346,702",2.12,"346,702",2.12,"510,440",3.02,"429,275",2.56,"492,613",2.78,"563,320",3.12,"506,107",2.73,"476,880",2.57,"513,323",2.65,"537,062",2.72,"1,323,877",6.63,"1,047,012",5.31,"1,033,792",5.18,"1,139,704",5.64,"1,132,780",5.47,"1,107,688",5.51
備供出售金融資產－非流動淨額,"2,209,506",13.48,"2,209,506",13.48,"2,210,447",13.1,"2,291,373",13.64,"2,415,438",13.61,"2,493,303",13.8,"2,615,835",14.12,"2,620,991",14.12,"2,626,208",13.55,"2,737,320",13.89,"1,977,691",9.9,"1,710,009",8.67,"1,713,104",8.58,"1,788,921",8.85,"1,683,705",8.13,"1,646,570",8.19
其他應付款,"173,857",1.06,"173,857",1.06,"670,350",3.97,"184,996",1.1,"206,504",1.16,"189,167",1.05,"755,964",4.08,"198,872",1.07,"222,799",1.15,"185,864",0.94,"797,786",3.99,"191,532",0.97,"218,104",1.09,"188,547",0.93,"830,626",4.01,"218,894",1.09
其他應收款淨額,"8,744",0.05,"8,744",0.05,"289,758",1.72,"23,714",0.14,"14,626",0.08,"15,079",0.08,"317,446",1.71,"19,887",0.11,"2,543",0.01,"7,431",0.04,"416,583",2.09,"6,766",0.03,"4,768",0.02,"12,487",0.06,"453,568",2.19,"12,794",0.06
其他權益合計,"723,700",4.42,"723,700",4.42,"706,162",4.18,"648,474",3.86,"1,029,059",5.8,"1,159,736",6.42,"1,109,700",5.99,"1,171,403",6.31,"1,460,564",7.54,"1,514,718",7.68,"1,444,872",7.23,"1,351,094",6.85,"879,385",4.4,"899,463",4.45,"836,978",4.04,"525,302",2.61
其他流動負債,"25,126",0.15,"25,126",0.15,"24,426",0.14,"21,280",0.13,"23,107",0.13,"31,116",0.17,"36,315",0.2,"37,936",0.2,"25,889",0.13,"33,251",0.17,"30,956",0.15,"33,834",0.17,"26,148",0.13,"35,091",0.17,"34,695",0.17,"37,841",0.19
其他流動資產,"128,043",0.78,"128,043",0.78,"145,057",0.86,"72,027",0.43,"67,955",0.38,"85,500",0.47,"126,427",0.68,"109,641",0.59,"115,112",0.59,"131,056",0.66,"120,501",0.6,"123,028",0.62,"129,972",0.65,"134,872",0.67,"144,588",0.7,"137,749",0.69
其他非流動負債,"342,006",2.09,"342,006",2.09,"351,740",2.08,"342,438",2.04,"317,153",1.79,"313,512",1.74,"315,703",1.7,"317,600",1.71,"332,334",1.71,"333,153",1.69,"323,727",1.62,"322,076",1.63,"325,965",1.63,"199,666",0.99,"200,969",0.97,"202,143",1.01
其他非流動資產,"117,000",0.71,"117,000",0.71,"72,140",0.43,"109,579",0.65,"126,578",0.71,"134,587",0.75,"154,412",0.83,"174,972",0.94,"260,232",1.34,"290,180",1.47,"379,012",1.9,"380,854",1.93,"466,604",2.34,"533,892",2.64,"557,874",2.69,"642,411",3.2
存貨,"256,004",1.56,"256,004",1.56,"307,185",1.82,"348,180",2.07,"340,696",1.92,"305,938",1.69,"357,157",1.93,"313,738",1.69,"326,165",1.68,"330,309",1.68,"317,244",1.59,"286,257",1.45,"338,241",1.69,"297,115",1.47,"300,765",1.45,"314,201",1.56
待出售非流動資產（淨額）,"86,646",0.53,"86,646",0.53,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
待分配股票股利,,,,,,,,,,,,,"120,778",0.65,,,,,,,"123,194",0.62,,,,,,,"62,829",0.3,,
待註銷股本股數（單位：股）,,,,,,,,,,,0,,0,,0,,0,,,,0,,,,,,,,,,,
應付帳款,"250,513",1.53,"250,513",1.53,"264,674",1.57,"281,213",1.67,"322,524",1.82,"259,195",1.43,"303,517",1.64,"282,767",1.52,"301,031",1.55,"274,607",1.39,"263,762",1.32,"205,375",1.04,"324,555",1.63,"167,953",0.83,"199,559",0.96,"210,071",1.04
應付帳款－關係人,"125,586",0.77,"125,586",0.77,"128,130",0.76,"142,408",0.85,"193,002",1.09,"160,034",0.89,"179,847",0.97,"157,411",0.85,"191,727",0.99,"156,812",0.8,"143,866",0.72,"144,980",0.73,"183,793",0.92,"144,848",0.72,"120,588",0.58,"63,645",0.32
應付短期票券,"199,833",1.22,"199,833",1.22,"59,933",0.36,"49,941",0.3,"249,816",1.41,"49,937",0.28,"49,941",0.27,"609,627",3.28,"349,761",1.8,"749,429",3.8,"249,752",1.25,"849,249",4.3,"679,561",3.4,"999,334",4.94,"549,488",2.65,"989,070",4.92
應付票據,"139,107",0.85,"139,107",0.85,"194,543",1.15,"202,445",1.21,"229,380",1.29,"178,713",0.99,"190,127",1.03,"178,920",0.96,"202,219",1.04,"167,793",0.85,"127,470",0.64,"104,674",0.53,"123,637",0.62,"69,851",0.35,"127,774",0.62,"114,626",0.57
應付票據－關係人,"22,216",0.14,"22,216",0.14,"29,538",0.18,"25,725",0.15,"38,895",0.22,"26,832",0.15,"42,059",0.23,"37,819",0.2,"43,929",0.23,"29,375",0.15,"48,697",0.24,"57,674",0.29,"72,646",0.36,"46,295",0.23,"49,075",0.24,"24,117",0.12
應收帳款淨額,"534,003",3.26,"534,003",3.26,"528,017",3.13,"582,705",3.47,"692,760",3.9,"657,929",3.64,"740,635",4.0,"642,661",3.46,"660,834",3.41,"613,073",3.11,"559,628",2.8,"544,521",2.76,"646,840",3.24,"522,652",2.59,"536,117",2.59,"458,343",2.28
應收帳款－關係人淨額,"121,260",0.74,"121,260",0.74,"116,768",0.69,"98,591",0.59,"107,885",0.61,"86,699",0.48,"23,043",0.12,"30,993",0.17,"60,791",0.31,"38,434",0.19,"47,454",0.24,"30,884",0.16,"36,910",0.18,"62,553",0.31,"62,874",0.3,"64,934",0.32
應收票據淨額,"409,379",2.5,"409,379",2.5,"431,960",2.56,"349,519",2.08,"428,880",2.42,"371,774",2.06,"482,221",2.6,"520,075",2.8,"565,176",2.92,"435,843",2.21,"437,380",2.19,"414,506",2.1,"438,150",2.19,"353,437",1.75,"366,294",1.77,"300,250",1.49
應收票據－關係人淨額,"28,761",0.18,"28,761",0.18,"18,629",0.11,"40,032",0.24,"44,173",0.25,"36,546",0.2,0,0.0,0,0.0,0,0.0,"1,997",0.01,,,,,,,0,0.0,,,,
投資性不動產淨額,"390,701",2.38,"390,701",2.38,"390,339",2.31,"389,978",2.32,"389,617",2.2,"389,256",2.16,"388,895",2.1,"437,248",2.36,"474,170",2.45,"800,496",4.06,"800,014",4.0,"873,536",4.43,"872,799",4.37,"872,060",4.31,"871,334",4.21,"870,596",4.33
