,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
應付帳款－關係人,"5,895",0.07,"5,895",0.07,"2,836",0.03,"2,118",0.02,"1,956",0.02,"5,392",0.06,"9,574",0.11,"4,857",0.06,"6,742",0.08,"5,188",0.06,"3,042",0.04,"6,518",0.08,"10,012",0.13,"11,141",0.14,"1,213",0.02,"77,488",0.99
應付短期票券,"99,682",1.16,"99,682",1.16,"128,441",1.47,"123,602",1.42,"118,529",1.38,"118,650",1.4,"118,550",1.39,"118,683",1.41,"108,683",1.3,"108,776",1.33,"104,911",1.26,0,0.0,"49,950",0.64,"49,875",0.64,"149,836",1.94,"229,809",2.95
應付票據,"233,052",2.72,"233,052",2.72,"260,867",2.99,"257,462",2.95,"327,651",3.82,"232,479",2.75,"318,519",3.74,"264,838",3.15,"313,962",3.75,"235,739",2.87,"197,836",2.37,"236,553",2.95,"190,379",2.42,"155,564",2.01,"233,148",3.02,"225,516",2.89
應付票據－關係人,13,0.0,13,0.0,"1,629",0.02,"1,784",0.02,156,0.0,"1,145",0.01,263,0.0,"4,447",0.05,51,0.0,"1,365",0.02,"5,463",0.07,0,0.0,0,0.0,61,0.0,"1,050",0.01,"44,756",0.57
應收帳款淨額,"515,258",6.01,"515,258",6.01,"530,217",6.07,"519,764",5.96,"544,148",6.34,"501,064",5.93,"551,236",6.48,"551,457",6.55,"557,441",6.67,"552,760",6.73,"528,692",6.34,"423,303",5.27,"460,296",5.86,"373,753",4.83,"321,603",4.16,"361,232",4.63
應收帳款－關係人淨額,0,0.0,0,0.0,0,0.0,38,0.0,"3,802",0.04,"4,186",0.05,390,0.0,579,0.01,11,0.0,658,0.01,493,0.01,0,0.0,0,0.0,324,0.0,0,0.0,504,0.01
應收票據淨額,"530,560",6.19,"530,560",6.19,"526,389",6.02,"507,013",5.82,"587,846",6.85,"524,463",6.21,"519,597",6.11,"500,774",5.95,"584,884",6.99,"516,489",6.29,"520,631",6.25,"456,366",5.69,"442,341",5.63,"359,495",4.64,"512,860",6.63,"415,615",5.33
應收票據－關係人淨額,19,0.0,19,0.0,153,0.0,114,0.0,100,0.0,93,0.0,9,0.0,"3,343",0.04,"1,903",0.02,199,0.0,0,0.0,0,0.0,199,0.0,0,0.0,0,0.0,306,0.0
投資性不動產淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
持有至到期日金融資產－非流動淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
按攤銷後成本衡量之金融負債－非流動,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
按攤銷後成本衡量之金融資產－非流動淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
採用權益法之投資淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
