,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
與營業活動相關之負債之淨變動合計,"10,246","43,506","29,344","82,173","-73,025","1,067","-13,969","9,544","-126,640","-174,523","-197,312","-165,814","-287,436","-275,311","-297,854","-275,860"
與營業活動相關之資產之淨變動合計,"144,045","-55,065","-63,619","-132,627","155,036","51,728","11,974","60,238","83,800","90,917","229,331","269,706","-7,844","-66,885","-61,961","32,348"
與營業活動相關之資產及負債之淨變動合計,"154,291","-11,559","-34,275","-50,454","82,011","52,795","-1,995","69,782","-42,840","-83,606","32,019","103,892","-295,280","-342,196","-359,815","-243,512"
舉借長期借款,0,"100,000","100,000","160,000",0,0,"240,000","268,000",,,"258,500","286,850","102,888","102,888","301,750","695,800"
處分不動產、廠房及設備,12,291,291,296,0,0,0,59,,"1,205","1,205","1,568",,"3,167","3,173","3,173"
處分以成本衡量之金融資產,,"12,142","13,166","13,166",,0,0,0,,0,,,,0,,
處分備供出售金融資產,"10,683","10,683","43,774","64,061","5,719","54,595","56,616","57,116","67,945","92,875","93,854","163,877","31,116","40,685","80,706","80,706"
處分及報廢不動產、廠房及設備損失（利益）,-12,476,476,471,0,0,0,-59,,"9,647","9,673","9,686",,-100,-106,-106
處分投資損失（利益）,"-10,123","-10,123","-7,373","-15,647",-22,"-46,479","-44,621","-44,621","-4,166","-4,290","-4,259","-34,247","-1,343","-1,936","-9,092","-9,092"
調整項目合計,"238,040","192,222","284,402","478,457","193,026","220,011","274,797","459,770","58,770","124,833","333,149","503,768","-209,998","-171,527","-121,754","72,505"
資產負債表帳列之現金及約當現金,"130,408","146,104","206,989","216,573","269,002","258,546","217,554","261,107","241,190","370,011","286,582","220,129","178,494","168,359","139,091","213,090"
退還（支付）之所得稅,-301,-581,-821,"-1,096",-295,"-7,599","-9,825","-10,127",-285,"-14,356","-20,870","-21,063",-41,"-138,071","-169,627","-189,036"
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,0,0,0,0,0,0,,,,0,,,,0,,
金融資產減損損失,,,,"10,000",,,,0,"3,185","3,185","3,185","7,500",0,0,0,0
非控制權益變動,,"40,000","40,000","40,000",,0,0,"15,000",,,"10,516","10,516",,,-907,-907
非金融資產減損損失,89,0,,,,0,,,,0,,,,0,,
非金融資產減損迴轉利益,,,,"99,474","2,626",,,,,,,,,,,
預付款項（增加）減少,"-5,057","-80,116","-91,822","-57,905","-9,061","-16,535","-45,811","11,793","-16,451","-17,118","-10,681","-4,785","-55,477","-42,072","-40,920","41,237"
預收款項增加（減少）,"15,907","27,701","-4,891","-36,986","6,813","-7,210","28,004","25,725","6,291","-26,427","-45,882","-66,802","-9,271","15,347","10,454","-37,470"
