,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,37409.0,77760.0,114703.0,168770.0,56579.0,124413.0,163756.0,220358.0,,,,,,,,
償還公司債,,,,,-331200.0,-331200.0,-331200.0,-331200.0,-514800.0,-514800.0,-514800.0,-514800.0,0.0,0.0,0.0,0.0
償還長期借款,,,,-1100000.0,,,,0.0,,-95000.0,-1900000.0,-2278117.0,-471613.0,-488083.0,-554258.0,-569841.0
其他應付款增加（減少）,-12207.0,59032.0,29247.0,37661.0,-53326.0,-40777.0,-31800.0,8317.0,-34140.0,-18637.0,2492.0,10320.0,-41917.0,-32408.0,-11195.0,39567.0
其他應收款（增加）減少,1058.0,-16822.0,-17123.0,-36604.0,24461.0,20637.0,20117.0,34329.0,5714.0,1509.0,1853.0,-1842.0,5487.0,3982.0,2584.0,6620.0
其他營業負債增加（減少）,4329.0,-34893.0,-1936.0,4633.0,879.0,302.0,4587.0,21019.0,-5077.0,-5321.0,11950.0,6116.0,25746.0,32238.0,44991.0,29370.0
其他營業資產（增加）減少,-12035.0,-30491.0,-91918.0,-54471.0,-18643.0,-9796.0,-1826.0,12388.0,-2738.0,-13843.0,-10358.0,862.0,2879.0,-5850.0,-4003.0,-26857.0
其他金融資產增加,,,,,,,,,,,-20714.0,-19958.0,-466708.0,-466949.0,-380042.0,-380042.0
其他項目,2565.0,2110.0,0.0,0.0,,,-50.0,,,,0.0,,,,,
利息收入,-550.0,-1073.0,-1654.0,-1883.0,-1056.0,-1878.0,-2417.0,-3193.0,-292.0,-796.0,-1084.0,-1510.0,-205.0,-903.0,-1114.0,-1279.0
利息費用,1244.0,2562.0,7854.0,22793.0,15584.0,32390.0,49097.0,65633.0,13509.0,25759.0,45939.0,57741.0,7945.0,12876.0,17555.0,22388.0
匯率變動對現金及約當現金之影響,2553.0,4185.0,3197.0,6903.0,-579.0,-3707.0,483.0,6778.0,-1570.0,-3233.0,6756.0,3696.0,-1886.0,-4315.0,-9586.0,-8900.0
取得不動產、廠房及設備,-193728.0,-260950.0,-256728.0,-376227.0,-21931.0,-26843.0,-32104.0,-35765.0,-57299.0,-72136.0,-122814.0,-119789.0,-1570.0,-3001.0,-12006.0,-11273.0
取得無形資產,-681.0,-680.0,-680.0,-6158.0,-230.0,-230.0,-426.0,-3745.0,-1388.0,-1510.0,-1715.0,-5117.0,-1717.0,-3048.0,-3049.0,-6181.0
呆帳費用提列（轉列收入）數,1503.0,8509.0,14784.0,12098.0,-1741.0,8784.0,-6778.0,-6979.0,368.0,5964.0,6980.0,4241.0,-2632.0,-8640.0,-10579.0,-10568.0
存入保證金增加,,,,,,,,10.0,151.0,199.0,,150.0,-150.0,-160.0,,-160.0
存入保證金減少,,,,,,,10.0,,,,207.0,,,,-160.0,
存出保證金增加,-106.0,,725.0,,-58.0,,,,-2949.0,,,,3192.0,,,
存出保證金減少,0.0,779.0,,1125.0,,722.0,1120.0,1067.0,,-2930.0,-2747.0,-2702.0,,3291.0,2106.0,1889.0
存貨（增加）減少,-13018.0,-72940.0,-86861.0,-20820.0,6100.0,-18559.0,-14141.0,-16449.0,-13950.0,-36832.0,-35886.0,-20302.0,21377.0,52112.0,44479.0,36621.0
應付帳款增加（減少）,3369.0,96718.0,66681.0,-42818.0,32067.0,55803.0,74151.0,96322.0,-11587.0,-14305.0,-29951.0,-40911.0,-32041.0,9020.0,29555.0,59495.0
應付短期票券增加,14990.0,14945.0,15002.0,14982.0,-59945.0,-59945.0,-59945.0,-59945.0,,0.0,,0.0,,,,
應付短期票券減少,,,,,,,,,0.0,,0.0,,,,,
應付票據增加（減少）,0.0,,,45.0,40.0,55.0,38.0,21.0,209.0,-49.0,-66.0,-66.0,0.0,0.0,0.0,38.0
應收帳款（增加）減少,3731.0,-26705.0,-18483.0,-7204.0,33557.0,17949.0,26060.0,-15004.0,71686.0,53996.0,11452.0,-12174.0,65500.0,46756.0,23803.0,-79697.0
應收票據（增加）減少,2265.0,2292.0,1871.0,802.0,712.0,187.0,-128.0,-586.0,289.0,543.0,-1628.0,-984.0,904.0,285.0,-1304.0,-2326.0
投資活動之淨現金流入（流出）,-227373.0,-260713.0,-337559.0,-474487.0,-26446.0,-35564.0,-46783.0,-55570.0,-63160.0,-85421.0,-152359.0,-159446.0,-470955.0,-480759.0,-401720.0,-414949.0
折舊費用,19365.0,36976.0,59011.0,90191.0,34611.0,68272.0,101834.0,135365.0,33971.0,69123.0,105856.0,141837.0,35774.0,71473.0,107133.0,142619.0
