,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
特別盈餘公積,"820,587",8.78,"819,012",8.75,"819,012",8.68,"819,012",8.62,"819,012",8.42,"819,012",8.42,"819,012",8.49,"819,012",8.53,"819,012",8.49,"819,012",8.56,"819,012",8.87,"819,012",8.73,"819,012",8.63,"819,012",8.62,"819,012",8.77,"812,408",8.82
現金及約當現金,"135,666",1.45,"184,405",1.97,"262,233",2.78,"241,300",2.54,"364,129",3.74,"278,779",2.87,"324,282",3.36,"314,885",3.28,"415,672",4.31,"434,526",4.54,"527,490",5.71,"496,486",5.29,"663,616",6.99,"390,610",4.11,"428,364",4.59,"447,029",4.85
當期所得稅負債,"23,061",0.25,447,0.0,379,0.0,546,0.01,546,0.01,"5,454",0.06,"3,698",0.04,"6,607",0.07,,,,,,,,,,,,,,,,
當期所得稅資產,506,0.01,517,0.01,664,0.01,399,0.0,532,0.01,3,0.0,115,0.0,4,0.0,,,,,,,,,,,,,,,,
短期借款,0,0.0,0,0.0,0,0.0,0,0.0,"60,670",0.62,,,,,,,0,0.0,,,,,,,"7,000",0.07,,,,,,
股本合計,"5,720,008",61.17,"5,720,008",61.12,"5,720,008",60.63,"5,720,008",60.22,"5,720,008",58.77,"5,720,008",58.8,"5,720,008",59.29,"5,720,008",59.57,"5,720,008",59.27,"5,720,008",59.78,"5,720,008",61.96,"5,720,008",60.96,"5,720,008",60.27,"5,720,008",60.22,"5,720,008",61.23,"5,720,008",62.12
負債及權益總計,,,,,,,,,,,,,,,,,"9,650,759",100.0,"9,568,815",100.0,"9,231,047",100.0,"9,382,538",100.0,"9,490,267",100.0,"9,499,279",100.0,"9,342,162",100.0,"9,208,246",100.0
負債準備－流動,"2,810",0.03,"2,743",0.03,"2,772",0.03,"2,801",0.03,"2,875",0.03,"2,949",0.03,"3,023",0.03,"3,096",0.03,"3,054",0.03,"2,926",0.03,"41,584",0.45,"2,842",0.03,"2,906",0.03,"2,969",0.03,"3,033",0.03,"3,097",0.03
負債總計,"760,286",8.13,"853,946",9.12,"765,985",8.12,"783,740",8.25,"865,779",8.9,"858,197",8.82,"745,766",7.73,"743,412",7.74,"695,567",7.21,"755,019",7.89,"633,633",6.86,"742,845",7.92,"573,627",6.04,"766,541",8.07,"640,246",6.85,"567,396",6.16
資本公積合計,"183,902",1.97,"184,007",1.97,"184,007",1.95,"184,707",1.94,"184,707",1.9,"184,916",1.9,"184,916",1.92,"184,916",1.93,"184,916",1.92,"185,126",1.93,"185,126",2.01,"184,834",1.97,"184,834",1.95,"185,044",1.95,"185,044",1.98,"185,044",2.01
資產總計,"9,351,273",100.0,"9,358,622",100.0,"9,434,357",100.0,"9,498,539",100.0,"9,732,300",100.0,"9,728,009",100.0,"9,647,439",100.0,"9,602,737",100.0,"9,650,759",100.0,"9,568,815",100.0,"9,231,047",100.0,"9,382,538",100.0,"9,490,267",100.0,"9,499,279",100.0,"9,342,162",100.0,"9,208,246",100.0
透過損益按公允價值衡量之金融資產－流動,"113,040",1.21,"310,095",3.31,"262,276",2.78,"297,195",3.13,"306,245",3.15,"497,422",5.11,"438,765",4.55,"341,893",3.56,"318,265",3.3,"279,440",2.92,"250,015",2.71,"285,221",3.04,"286,319",3.02,"281,698",2.97,"248,303",2.66,"201,129",2.18
遞延所得稅負債,"328,219",3.51,"327,501",3.5,"327,807",3.47,"325,630",3.43,"327,174",3.36,"328,087",3.37,"330,750",3.43,"331,954",3.46,"332,435",3.44,"332,501",3.47,"334,764",3.63,"336,211",3.58,"290,895",3.07,"290,485",3.06,"290,557",3.11,"291,718",3.17
遞延所得稅資產,"9,692",0.1,"20,532",0.22,"24,558",0.26,"44,318",0.47,"52,391",0.54,"53,210",0.55,"52,112",0.54,"69,339",0.72,"74,367",0.77,"74,230",0.78,"73,389",0.8,"75,554",0.81,"72,521",0.76,"73,755",0.78,"76,621",0.82,"77,484",0.84
非控制權益,"34,312",0.37,"33,930",0.36,"34,148",0.36,"34,305",0.36,"34,510",0.35,"34,205",0.35,"34,403",0.36,"34,457",0.36,"34,610",0.36,"34,260",0.36,"34,382",0.37,"34,463",0.37,"133,612",1.41,"133,707",1.41,"133,960",1.43,"133,246",1.45
非流動負債合計,"483,459",5.17,"471,538",5.04,"455,925",4.83,"443,665",4.67,"445,162",4.57,"445,567",4.58,"447,946",4.64,"448,910",4.67,"449,739",4.66,"349,485",3.65,"352,135",3.81,"354,277",3.78,"320,232",3.37,"319,719",3.37,"316,172",3.38,"315,443",3.43
非流動資產合計,"8,172,897",87.4,"7,859,434",83.98,"7,903,315",83.77,"7,912,704",83.3,"7,988,080",82.08,"7,923,195",81.45,"7,926,603",82.16,"7,814,235",81.38,"7,747,273",80.28,"7,679,599",80.26,"7,397,521",80.14,"7,418,780",79.07,"7,401,560",77.99,"7,301,833",76.87,"7,263,503",77.75,"7,209,833",78.3
預付款項,"23,144",0.25,"17,211",0.18,"18,490",0.2,"7,486",0.08,"35,275",0.36,"11,056",0.11,"17,375",0.18,"14,488",0.15,"17,718",0.18,"4,016",0.04,"8,993",0.1,"2,651",0.03,"10,042",0.11,"29,380",0.31,"17,036",0.18,"5,876",0.06
預收股款（權益項下）之約當發行股數（單位：股）,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
