,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不動產、廠房及設備轉列費用數,,,0,0,823,,,,0,,,,,,,
不影響現金流量之收益費損項目合計,"13,062","13,062","66,702","22,783","136,165","2,964","7,762","-41,025","52,183",,,,,,,
以成本衡量之金融資產減資退回股款,"9,296","9,296","13,461","13,773","13,773",0,"3,749","3,749","3,749",,0,"7,774","7,774",,"2,640","6,283"
備供出售金融資產減資退回股款,,,,,0,,,,,,,,,,,
其他應付款增加（減少）,"7,607","7,607","12,227","8,438","35,919","-22,267","-12,988","-9,683","-5,356","-30,936","-29,624","18,492","75,406","-75,387","-121,032","-119,032"
其他應收款（增加）減少,"-8,952","-8,952","-3,203",28,-192,907,"-3,778",933,"1,005",20,"-2,298",-641,"-15,177",126,"15,148","19,524"
其他流動負債增加（減少）,"-19,323","-19,323","28,557","6,417","14,781","-4,583","-20,622","-55,041","-40,321","-37,435","-24,381","-36,402","14,208","-53,288","-28,469","-58,745"
其他符合國際會計準則第七號現金及約當現金定義之項目,0,0,,,,,,,,,,,,,,
其他金融資產增加,,,,,"-65,137",,,,,,,,,,,
其他金融資產（增加）減少,"-4,234","-4,234","-4,392","-75,487",,"20,148","20,091","34,450","17,832","-18,151","40,731","25,871","37,731","-87,787","-358,348","-312,446"
其他非流動負債減少,"-11,424","-11,424","-22,848","-34,272","-45,697",0,0,0,0,,,,,,,
其他非流動資產減少,"8,830","8,830","8,830","8,830","8,830",0,0,0,0,,,,,,,
其他項目,,,105,87,79,,209,209,209,,210,210,210,,210,210
利息收入,-645,-645,"-1,502","-2,582","-3,953","-1,703","-3,204","-4,536","-5,911","-1,220","-2,638","-3,820","-5,288","-1,165","-3,349","-4,984"
利息費用,523,523,923,"1,312","1,700",391,863,"1,275","1,668",388,431,480,538,53,189,209
取得不動產、廠房及設備,0,0,"-3,010","-5,291","-6,123","-5,046","-9,793","-13,409","-14,623","-6,045","-6,425","-10,518","-21,600","-2,732","-6,945","-8,817"
取得以成本衡量之金融資產,,,,,"-7,000",,"-40,000","-80,000","-80,000",,0,0,0,"-1,912","-1,912","-1,912"
取得備供出售金融資產,-135,-135,-135,-135,"-8,698",-633,-632,-632,"-1,846",0,"-1,400","-15,398","-15,378",,"-6,837","-23,340"
取得投資性不動產,,,,,"-3,534",,,,0,,,,,,,
取得無形資產,,,0,0,0,,,,,,,,,,,
呆帳費用提列（轉列收入）數,-524,-524,13,-438,321,-718,-594,"1,494","2,752",-140,370,138,"1,358","-1,397",-15,-998
存入保證金增加,,,,,,,,,,348,,,,"11,271","11,168","7,549"
存入保證金減少,-592,-592,-371,"-4,866","-3,524",-47,-555,-839,"-1,079",0,"-99,972","-99,585","-98,890",,0,0
存出保證金增加,,,,,,,,,,,,,,,,-201
存出保證金減少,,,"203,030","203,230","203,297",850,"1,050","1,200","2,795",0,0,29,28,217,547,0
存貨（增加）減少,"77,824","77,824","42,596","65,533","75,523","-91,054","-55,524","-24,022","-48,456","-55,658","-196,757","-122,830","-133,853","2,577","-50,496","-87,980"
應付帳款增加（減少）,"-67,080","-67,080","-48,518","-37,699","-44,774","47,696","-12,683","18,873","-6,359","19,615","56,884","-26,913","11,439","-17,989","89,033","108,357"
應付短期票券增加,,,,0,0,,,,,,,,,,,
應付短期票券減少,"-19,999","-19,999","-19,999","-19,999","-20,000",0,0,0,0,,,,,,,
應付票據增加（減少）,,,,,,,,,,898,,,,0,,
應收帳款（增加）減少,"46,274","46,274","16,672","64,526","10,303","32,525","37,351","10,757","3,054","28,939","21,648","25,697","8,326","37,480","51,454","40,545"
應收票據（增加）減少,"5,163","5,163","-17,988","-20,763","-42,471","39,305","22,101","72,507","-45,567","84,982","91,415","130,557","28,260","100,097","23,750","132,846"
投資活動之淨現金流入（流出）,"25,367","25,367","235,686","240,657","156,354","5,238","140,300","96,834","96,001","46,825","113,455","196,569","185,506","259,352","272,384","297,603"
折舊費用,"17,190","17,190","28,962","40,550","52,072","8,927","17,973","26,522","35,320","6,206","12,196","17,956","23,819","5,512","11,136","16,893"
持有供交易之金融資產（增加）減少,"8,681","8,681","-186,327","-136,203","-166,762","-3,871","-196,740","-130,333","-27,302","24,236","67,858","90,051","54,331","-7,257","-1,379","35,510"
採用權益法之被投資公司減資退回股款,,,"2,068","2,069","2,069",,"165,217","165,217","165,217","52,870","118,957","131,026","131,026",0,0,0
採用權益法認列之關聯企業及合資損失（利益）之份額,"1,355","1,355",486,-59,"-2,287","3,372","8,765","9,839","-5,971","3,057","3,694","2,106","6,290",-759,"-1,970","-5,255"
攤銷費用,78,78,156,234,312,51,103,154,206,51,94,134,173,40,66,66
