,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,361386.0,686615.0,1073934.0,1501335.0,371077.0,751413.0,1134877.0,1607490.0,,,,,,,,
其他應付款增加（減少）,-612423.0,282439.0,516657.0,395188.0,-523752.0,-117663.0,121994.0,57256.0,-395752.0,-35995.0,432586.0,236872.0,-536742.0,-351223.0,-790771.0,-554794.0
其他應收款（增加）減少,-112961.0,-123068.0,-105467.0,-110058.0,56365.0,28359.0,3345.0,-36023.0,4291.0,71550.0,75210.0,92028.0,-380674.0,-47269.0,-55752.0,-38817.0
其他流動負債增加（減少）,14138.0,5288.0,47501.0,18059.0,65440.0,46174.0,89424.0,94334.0,-29025.0,-54208.0,-47203.0,122302.0,146180.0,51063.0,-84353.0,-167785.0
其他流動資產（增加）減少,-4279.0,-854.0,-15398.0,-190895.0,-20987.0,206324.0,187866.0,-172626.0,105145.0,58801.0,172933.0,-23060.0,47098.0,45464.0,-217001.0,66827.0
其他項目,,,,,,,,,,-92983.0,,,,,,
利息收入,-5826.0,-9211.0,-13563.0,-27320.0,-6849.0,-17294.0,-25476.0,-34450.0,-5178.0,-10277.0,-14541.0,-19660.0,-3997.0,-8165.0,-12286.0,-25539.0
利息費用,57898.0,117698.0,180075.0,241190.0,63683.0,127969.0,192313.0,248982.0,76193.0,158669.0,341334.0,483937.0,140907.0,290161.0,429412.0,576100.0
匯率變動對現金及約當現金之影響,-25021.0,-6614.0,-9793.0,15215.0,-1536.0,-46663.0,-13704.0,65302.0,-13813.0,-34109.0,-38338.0,-73949.0,-256702.0,-195970.0,34970.0,-139275.0
取得不動產、廠房及設備,-266396.0,-1119307.0,-1712451.0,-2333856.0,-736636.0,-1126113.0,-2104552.0,-2468802.0,-487175.0,-688395.0,-984073.0,-1238613.0,-226865.0,-393925.0,-575929.0,-949775.0
呆帳費用提列（轉列收入）數,145.0,2533.0,637.0,-1537.0,323.0,581.0,-6086.0,-3933.0,324.0,5269.0,5543.0,15092.0,179006.0,198131.0,195916.0,203255.0
存入保證金增加,,,,19024.0,,2666.0,7529.0,5913.0,22042.0,-23348.0,-23119.0,0.0,-15814.0,15783.0,16618.0,18857.0
存出保證金增加,,,,-82960.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
存貨（增加）減少,-931157.0,-1105281.0,-1103762.0,-1017027.0,-179782.0,-237949.0,-147911.0,4100.0,-54658.0,129262.0,261354.0,607589.0,-216744.0,-217947.0,47373.0,678061.0
應付帳款增加（減少）,477992.0,573464.0,438079.0,-129976.0,393492.0,559537.0,437681.0,-248879.0,101317.0,261839.0,370023.0,-216641.0,-42612.0,232790.0,418061.0,101101.0
應付票據增加（減少）,4941.0,13427.0,11403.0,3019.0,11734.0,4605.0,7331.0,686.0,5886.0,-3380.0,-13945.0,5772.0,-4229.0,10415.0,-25671.0,-23618.0
應收帳款（增加）減少,-471703.0,-904498.0,-908724.0,238266.0,-289600.0,-895190.0,-808310.0,505598.0,-22151.0,-399754.0,-871531.0,36782.0,-89451.0,-485935.0,-943541.0,-3750.0
應收票據（增加）減少,17305.0,-12563.0,10974.0,46330.0,1840.0,-59422.0,-35638.0,-29780.0,59745.0,44555.0,36317.0,38154.0,29197.0,35123.0,19841.0,18525.0
投資活動之淨現金流入（流出）,-154742.0,-993919.0,-1654638.0,-2622714.0,-832685.0,-1077684.0,-2029404.0,-2783571.0,-274211.0,-477415.0,-708737.0,-176812.0,143368.0,-686758.0,-769001.0,-804612.0
折舊費用,269663.0,572892.0,869930.0,1123854.0,287376.0,580719.0,880166.0,1189874.0,321928.0,640350.0,965852.0,1255959.0,255249.0,500198.0,735403.0,999249.0
攤銷費用,7433.0,2752.0,4369.0,7106.0,2564.0,5242.0,7824.0,9407.0,2486.0,4408.0,9958.0,12282.0,1168.0,2557.0,2763.0,5245.0
支付之利息,-52868.0,-117367.0,-162549.0,-243757.0,-47543.0,-127279.0,-179762.0,-220042.0,-71500.0,-160289.0,-345840.0,-494136.0,-112942.0,-269151.0,-243556.0,-326262.0
收取之利息,5826.0,9211.0,13563.0,27320.0,6849.0,17294.0,25476.0,34450.0,5178.0,10277.0,14541.0,19660.0,3997.0,8165.0,12286.0,25539.0
收益費損項目合計,,,,,,,,,416022.0,757240.0,1396378.0,1901641.0,193000.0,446925.0,840950.0,1213092.0
期初現金及約當現金餘額,3006168.0,3006168.0,3006168.0,3006168.0,2933196.0,2933196.0,2933196.0,2933196.0,2651159.0,2651159.0,2651159.0,2651159.0,3664391.0,3664391.0,3664391.0,3673570.0
期末現金及約當現金餘額,2467405.0,2155656.0,2728748.0,2933196.0,2770108.0,3520110.0,2555187.0,2651159.0,2306648.0,2122089.0,2740877.0,3664391.0,3051545.0,2382813.0,1940979.0,2344226.0
本期現金及約當現金增加（減少）數,-538763.0,-850512.0,-277420.0,-72972.0,-163088.0,586914.0,-378009.0,-282037.0,-344511.0,-529070.0,89718.0,1013232.0,-612846.0,-1281578.0,-1723412.0,-1329344.0
本期稅前淨利（淨損）,351657.0,719264.0,1079823.0,1106612.0,322605.0,618769.0,573245.0,-230236.0,-374581.0,-694430.0,-1625321.0,-2402725.0,-109067.0,-447836.0,-421061.0,-1141986.0
營業活動之淨現金流入（流出）,-1266393.0,-735750.0,-79676.0,896512.0,-191049.0,89098.0,851912.0,465352.0,-349116.0,-7144.0,-541831.0,-496701.0,-2278301.0,-2353134.0,-2544701.0,-1145620.0
營運產生之現金流入（流出）,-1176509.0,-249011.0,578211.0,1691798.0,-93950.0,409674.0,1391387.0,1057379.0,-212071.0,234064.0,-67466.0,174331.0,-2162002.0,-2013484.0,-2219917.0,-721408.0
發放現金股利,,,-303638.0,-303638.0,,,-303638.0,-303638.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
