,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,1867313.0,46.79,1976925.0,44.78,2131510.0,43.66,2306532.0,46.21,2330698.0,47.65,2399111.0,47.54,2446289.0,46.6,2561742.0,45.02,2622595.0,44.88,2625099.0,45.23,2626736.0,44.56,2640318.0,40.9,2668834.0,39.44,2742260.0,39.5,2847903.0,42.47,2901245.0,43.08
保留盈餘合計,36260.0,0.91,38380.0,0.87,82823.0,1.7,129656.0,2.6,185465.0,3.79,244222.0,4.84,333508.0,6.35,391320.0,6.88,432880.0,7.41,280686.0,4.84,394396.0,6.69,508187.0,7.87,612371.0,9.05,583398.0,8.4,679675.0,10.14,813574.0,12.08
備供出售金融資產未實現損益,2591.0,0.06,2591.0,0.06,-249.0,-0.01,99040.0,1.98,98747.0,2.02,110219.0,2.18,176908.0,3.37,321724.0,5.65,260217.0,4.45,233487.0,4.02,247287.0,4.19,489674.0,7.58,624562.0,9.23,624890.0,9.0,677686.0,10.11,724581.0,10.76
備供出售金融資產－非流動淨額,69989.0,1.75,158489.0,3.59,155649.0,3.19,270216.0,5.41,269923.0,5.52,281395.0,5.58,348084.0,6.63,553900.0,9.73,491280.0,8.41,464550.0,8.0,478350.0,8.11,786486.0,12.18,1024879.0,15.15,1033829.0,14.89,1086472.0,16.2,1133367.0,16.83
債券換股權利證書,,,,,17904.0,0.37,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,1297.0,0.02,,,,
其他應付款,211676.0,5.3,272008.0,6.16,310468.0,6.36,354177.0,7.1,294762.0,6.03,314649.0,6.24,289609.0,5.52,333536.0,5.86,292296.0,5.0,446672.0,7.7,282162.0,4.79,337333.0,5.22,323579.0,4.78,594893.0,8.57,474508.0,7.08,445129.0,6.61
其他應收款淨額,20238.0,0.51,22375.0,0.51,21288.0,0.44,24757.0,0.5,16631.0,0.34,23902.0,0.47,13934.0,0.27,16903.0,0.3,13811.0,0.24,10301.0,0.18,8526.0,0.14,19675.0,0.3,14751.0,0.22,12241.0,0.18,10987.0,0.16,14057.0,0.21
其他權益合計,2727.0,0.07,2764.0,0.06,-100.0,0.0,99224.0,1.99,98921.0,2.02,110360.0,2.19,177091.0,3.37,321960.0,5.66,260437.0,4.46,233685.0,4.03,247546.0,4.2,489880.0,7.59,624761.0,9.23,625053.0,9.0,677814.0,10.11,724680.0,10.76
其他權益－其他,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
其他流動負債,103551.0,2.59,93347.0,2.11,71947.0,1.47,252251.0,5.05,234066.0,4.79,274916.0,5.45,320164.0,6.1,295439.0,5.19,352122.0,6.03,347054.0,5.98,355894.0,6.04,471013.0,7.3,381187.0,5.63,379935.0,5.47,879861.0,13.12,792332.0,11.77
其他流動資產,3770.0,0.09,5628.0,0.13,6601.0,0.14,5420.0,0.11,4853.0,0.1,5070.0,0.1,4961.0,0.09,4987.0,0.09,3520.0,0.06,3829.0,0.07,8362.0,0.14,4984.0,0.08,6883.0,0.1,9013.0,0.13,9137.0,0.14,8334.0,0.12
其他非流動負債,9001.0,0.23,9020.0,0.2,9234.0,0.19,10655.0,0.21,10579.0,0.22,10680.0,0.21,10683.0,0.2,11821.0,0.21,12046.0,0.21,11493.0,0.2,11493.0,0.19,7519.0,0.12,7510.0,0.11,7511.0,0.11,7511.0,0.11,11267.0,0.17
其他非流動資產,449096.0,11.25,441434.0,10.0,423009.0,8.66,399733.0,8.01,399736.0,8.17,403912.0,8.0,415841.0,7.92,393168.0,6.91,389821.0,6.67,388909.0,6.7,386846.0,6.56,404493.0,6.27,403082.0,5.96,401357.0,5.78,392608.0,5.86,384712.0,5.71
國外營運機構財務報表換算之兌換差額,136.0,0.0,173.0,0.0,149.0,0.0,184.0,0.0,174.0,0.0,141.0,0.0,183.0,0.0,236.0,0.0,220.0,0.0,198.0,0.0,259.0,0.0,206.0,0.0,199.0,0.0,163.0,0.0,128.0,0.0,99.0,0.0
存貨,726397.0,18.2,691946.0,15.67,672522.0,13.77,679371.0,13.61,741387.0,15.16,827960.0,16.41,930839.0,17.73,957483.0,16.83,1019314.0,17.44,1088558.0,18.75,1063028.0,18.03,1112599.0,17.23,1128213.0,16.67,1064992.0,15.34,946293.0,14.11,932430.0,13.85
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
應付公司債,463884.0,11.62,466218.0,10.56,230933.0,4.73,156237.0,3.13,144171.0,2.95,141400.0,2.8,620887.0,11.83,481336.0,8.46,483812.0,8.28,486300.0,8.38,488801.0,8.29,491314.0,7.61,493841.0,7.3,485858.0,7.0,0.0,0.0,0.0,0.0
應付帳款,83757.0,2.1,109824.0,2.49,142944.0,2.93,173777.0,3.48,178601.0,3.65,129343.0,2.56,97302.0,1.85,118387.0,2.08,112355.0,1.92,129515.0,2.23,152063.0,2.58,169483.0,2.63,97010.0,1.43,138649.0,2.0,82368.0,1.23,196704.0,2.92
應付帳款－關係人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,12600.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
應付短期票券,159939.0,4.01,139954.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,49907.0,0.72,,,,
應付票據,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,14136.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.01,720.0,0.01,504.0,0.01,288.0,0.0
