,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不動產、廠房及設備轉列費用數,,,,,,,,,,,,,281.0,278.0,211.0,208.0
不影響現金流量之收益費損項目合計,109770.0,216189.0,328589.0,433912.0,102030.0,205027.0,318582.0,431347.0,,,,,,,,
償還公司債,,,,,,,,,,,-1020040.0,-1020040.0,,,0.0,0.0
償還長期借款,-149225.0,-300447.0,-1248737.0,-1779425.0,-20725.0,-32982.0,-50346.0,-71433.0,-32636.0,-88846.0,-190768.0,-461123.0,-267843.0,-269483.0,-320865.0,-303623.0
其他應付款增加（減少）,-29479.0,4898.0,6063.0,6677.0,-3284.0,-1605.0,-2515.0,-902.0,-2974.0,13583.0,12327.0,33027.0,-22730.0,4200.0,-6940.0,3090.0
其他應付款－關係人增加（減少）,,,,,,,,,,,,,-6303.0,-6303.0,-6303.0,
其他應收款（增加）減少,20594.0,24897.0,24255.0,25283.0,-1237.0,275.0,-1232.0,295.0,-476.0,-10838.0,-429.0,-1309.0,204.0,9.0,466.0,-903.0
其他應收款－關係人（增加）減少,,,,,,,,,-51.0,-758.0,-1556.0,,301.0,-2419.0,-2418.0,
其他流動負債增加（減少）,-9255.0,24202.0,-8492.0,-447723.0,57312.0,22910.0,18197.0,45463.0,14222.0,14073.0,107594.0,-33775.0,59645.0,44485.0,40756.0,7183.0
其他流動資產（增加）減少,-9141.0,-11856.0,-11519.0,-6594.0,-92183.0,-426.0,-3241.0,-618.0,-7047.0,3514.0,7900.0,9614.0,1561.0,-87933.0,-50437.0,-58347.0
其他營業負債增加（減少）,-31570.0,-46084.0,-49454.0,387324.0,-3103.0,-3985.0,-10526.0,-14129.0,-3123.0,-7064.0,-9332.0,-11127.0,,,,292173.0
其他營業資產（增加）減少,12102.0,33886.0,54754.0,75754.0,2732.0,8032.0,28141.0,77338.0,5813.0,-80882.0,-70598.0,-70760.0,,,,
