,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,"57,591,168",28.0,"57,591,168",28.0,"60,376,016",27.58,"61,712,474",29.75,"62,406,097",28.89,"62,784,825",24.49,"67,356,408",25.35,"67,653,241",25.63,"70,586,382",24.96,"69,163,983",24.05,"69,163,983",24.05,"68,587,151",23.82,"67,264,573",24.91,"65,759,665",25.72,"63,492,994",25.78,"60,475,826",25.35
以成本衡量之金融資產－非流動淨額,"1,222,800",0.59,"1,222,800",0.59,"1,330,090",0.61,"1,328,987",0.64,"1,485,416",0.69,"1,484,314",0.58,"1,483,211",0.56,"1,485,416",0.56,"1,432,927",0.51,"1,431,824",0.5,"1,431,824",0.5,"16,724,064",5.81,"1,367,517",0.51,"1,366,415",0.53,"1,341,313",0.54,"1,311,909",0.55
保留盈餘合計,"47,173,926",22.94,"47,173,926",22.94,"43,535,464",19.89,"44,573,588",21.49,"46,676,663",21.61,"93,608,899",36.51,"90,752,642",34.16,"92,772,367",35.14,"94,863,921",33.54,"96,348,507",33.5,"96,348,507",33.5,"91,900,694",31.91,"91,552,336",33.9,"91,749,522",35.88,"89,237,093",36.23,"90,194,048",37.81
備供出售金融資產－流動淨額,"5,927,869",2.88,"5,927,869",2.88,"6,011,818",2.75,"5,854,126",2.82,"9,074,555",4.2,"8,841,899",3.45,"8,732,423",3.29,"9,236,989",3.5,"16,949,278",5.99,"21,555,216",7.49,"21,555,216",7.49,"5,503,277",1.91,"5,283,052",1.96,"5,615,546",2.2,"6,423,661",2.61,"6,362,741",2.67
備供出售金融資產－非流動淨額,"13,434,731",6.53,"13,434,731",6.53,"12,499,554",5.71,"13,080,253",6.31,"13,664,054",6.33,"12,513,779",4.88,"12,979,110",4.89,"13,025,649",4.93,"13,363,777",4.73,"13,698,569",4.76,"13,698,569",4.76,"10,501,600",3.65,"22,717,179",8.41,"15,367,476",6.01,"13,881,716",5.64,"13,669,012",5.73
其他應付款,"251,872",0.12,"251,872",0.12,"5,955,033",2.72,"211,553",0.1,"212,566",0.1,"213,191",0.08,"8,947,152",3.37,"1,627,011",0.62,"919,929",0.33,"908,636",0.32,"908,636",0.32,"771,115",0.27,"759,456",0.28,"574,188",0.22,"4,467,923",1.81,"551,250",0.23
其他應收款淨額,"647,610",0.31,"647,610",0.31,"6,599,231",3.02,"3,200,328",1.54,"2,470,991",1.14,"2,838,051",1.11,"6,631,883",2.5,"2,926,987",1.11,"2,633,755",0.93,"2,822,819",0.98,"2,822,819",0.98,"3,392,050",1.18,"2,924,090",1.08,"2,946,131",1.15,"5,402,200",2.19,"2,924,586",1.23
其他權益合計,"6,469,871",3.15,"6,469,871",3.15,"5,663,318",2.59,"5,888,881",2.84,"8,299,190",3.84,"7,739,248",3.02,"5,251,957",1.98,"6,354,884",2.41,"12,281,251",4.34,"16,468,033",5.73,"16,468,033",5.73,"14,656,162",5.09,"9,576,422",3.55,"871,496",0.34,"-1,394,228",-0.57,"-3,414,094",-1.43
其他流動負債,"29,196,772",14.2,"29,196,772",14.2,"39,546,673",18.07,"37,369,798",18.01,"33,307,874",15.42,"27,946,695",10.9,"12,633,385",4.76,"13,274,046",5.03,"16,836,926",5.95,"16,859,536",5.86,"16,859,536",5.86,"20,236,669",7.03,"23,411,891",8.67,"17,161,921",6.71,"3,813,615",1.55,"4,483,164",1.88
其他流動資產,"200,274",0.1,"200,274",0.1,"171,829",0.08,"451,971",0.22,"533,880",0.25,"330,788",0.13,"713,656",0.27,"663,625",0.25,"792,541",0.28,"668,456",0.23,"668,456",0.23,"1,599,136",0.56,"1,581,736",0.59,"1,533,476",0.6,"439,188",0.18,"347,495",0.15
其他非流動負債,"2,272,982",1.11,"2,272,982",1.11,"2,128,488",0.97,"1,779,199",0.86,"1,959,434",0.91,"1,990,336",0.78,"1,711,031",0.64,"1,846,732",0.7,"1,816,331",0.64,"1,745,467",0.61,"1,745,467",0.61,"1,680,366",0.58,"1,694,955",0.63,"1,623,426",0.63,"1,597,420",0.65,"1,537,376",0.64
其他非流動資產,"18,197,692",8.85,"18,197,692",8.85,"17,709,773",8.09,"17,581,809",8.48,"17,496,010",8.1,"17,339,044",6.76,"17,773,972",6.69,"17,683,194",6.7,"17,666,845",6.25,"17,501,567",6.08,"17,501,567",6.08,"17,139,878",5.95,"16,249,187",6.02,"16,065,184",6.28,"16,432,966",6.67,"16,124,528",6.76
存貨,"7,667,257",3.73,"7,667,257",3.73,"7,433,744",3.4,"6,620,229",3.19,"7,863,420",3.64,"8,482,463",3.31,"8,508,625",3.2,"8,843,802",3.35,"9,416,977",3.33,"9,759,575",3.39,"9,759,575",3.39,"8,456,608",2.94,"7,318,610",2.71,"7,034,327",2.75,"6,869,715",2.79,"6,215,531",2.61
待分配股票股利,,,,,"646,184",0.3,,,,,,,"659,107",0.25,0,0.0,0,0.0,,,,,,,,,,,,,,
待註銷股本股數（單位：股）,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
應付公司債,"12,408,383",6.03,"12,408,383",6.03,"13,941,678",6.37,"8,530,723",4.11,"8,606,676",3.98,"7,522,508",2.93,"20,052,060",7.55,"20,358,329",7.71,"20,954,895",7.41,"19,571,451",6.8,"19,571,451",6.8,"8,000,000",2.78,"8,000,000",2.96,"8,000,000",3.13,"8,094,063",3.29,"14,091,664",5.91
應付帳款,,,,,,,,,,,,,,,,,,,"8,099,432",2.82,"8,099,432",2.82,"8,254,955",2.87,"8,199,549",3.04,"7,445,073",2.91,"7,773,453",3.16,"7,118,611",2.98
應付帳款－關係人,,,,,,,,,,,,,,,,,,,"293,921",0.1,"293,921",0.1,"225,196",0.08,"254,636",0.09,"221,024",0.09,"214,039",0.09,"219,854",0.09
應付短期票券,"4,477,500",2.18,"4,477,500",2.18,"4,048,305",1.85,"5,174,182",2.49,"4,508,007",2.09,"5,749,841",2.24,"8,206,423",3.09,"12,062,586",4.57,"13,241,862",4.68,"17,035,965",5.92,"17,035,965",5.92,"17,702,975",6.15,"13,445,051",4.98,"15,400,236",6.02,"19,109,582",7.76,"16,319,514",6.84
應付票據,"6,969,435",3.39,"6,969,435",3.39,"8,207,399",3.75,"7,068,255",3.41,"7,649,148",3.54,"7,579,802",2.96,"11,572,505",4.36,"9,991,229",3.78,"9,753,342",3.45,,,,,,,,,,,,,,
應付票據－關係人,"243,611",0.12,"243,611",0.12,"289,457",0.13,"243,183",0.12,"414,977",0.19,"289,144",0.11,"409,067",0.15,"267,603",0.1,"256,664",0.09,,,,,,,,,,,,,,
