,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
應計退休金負債增加（減少）,"-7,501","-7,501","-9,316","-9,902","-20,073",-172,-342,"-2,102","-3,836",,,,,,,
投資性不動產公允價值調整損失(利益),,,,,,,"-557,422","-662,777","-1,426,537","-162,697","-415,503","-486,756","-1,278,760","-133,839","-154,179","-203,413"
投資活動之淨現金流入（流出）,"-1,645,441","-1,645,441","-12,206,900","-9,042,035","-11,256,192","-978,828","-5,146,190","-6,717,004","-12,619,151","-3,612,811","-3,308,090","-1,205,742","-2,433,174","390,839","1,936,543","-181,978"
折舊費用,"1,121,407","1,121,407","2,269,558","3,385,267","4,624,877","1,198,341","2,456,096","3,951,921","5,628,378","1,374,038","2,711,982","4,060,164","5,400,304","1,345,772","2,672,679","4,057,187"
持有供交易之金融資產（增加）減少,"-3,520,964","-3,520,964","-1,014,513","-3,658,182","76,829","-3,263,387","133,099","-13,676","448,181","14,703","9,493","-20,719","-20,720",0,-222,"-27,992"
採用權益法認列之關聯企業及合資損失（利益）之份額,"-1,025,067","-1,025,067","-1,825,559","-2,437,274","-3,208,725","-1,042,631","-2,519,030","-3,608,646","-4,350,273","-960,033","-2,039,067","-2,417,969","-2,986,137","55,695","-277,696","-652,375"
攤銷費用,"22,354","22,354","45,013","149,641","176,239","42,243","102,364","227,477","313,519","82,172","170,799","264,804","339,259","75,526","132,072","208,083"
支付之利息,"-495,598","-495,598","-650,740","-1,066,184","-1,359,274","-488,867","-684,430","-1,118,264","-1,460,549","-407,354","-878,829","-1,083,287","-1,491,715","-329,441","-760,304","-1,087,432"
收取之利息,"69,735","69,735","268,534","477,129","737,830","119,420","248,770","384,373","504,217","78,641","171,405","245,038","366,274","68,042","149,022","186,908"
收取之股利,"2,299","2,299","3,956","3,335,974","4,058,444","25,134","69,263","3,665,237","3,999,751","1,292","44,931","3,488,889","3,798,693","1,275","25,243","2,688,137"
收益費損項目合計,,,,,,,,,,"69,294","-949,131","1,557,627","1,511,103","1,664,035","3,064,761","4,427,925"
期初現金及約當現金餘額,"8,309,069","8,309,069","8,309,069","8,309,069","8,309,069","19,184,742","19,184,742","19,184,742","19,184,742","12,739,834","12,739,834","12,739,834","12,739,834","11,024,089","11,024,089","11,024,089"
期末現金及約當現金餘額,"14,912,589","14,912,589","19,077,321","13,255,032","19,184,742","7,387,787","7,918,436","8,000,913","12,739,834","10,953,430","11,887,636","20,913,228","11,024,089","10,388,866","7,509,140","5,620,949"
未實現外幣兌換損失（利益）,"522,049","522,049","-102,986","-580,576","-601,824","154,735","-525,605","132,463","391,654","-273,459","-191,197","784,684","139,145","83,111","442,666","603,956"
未實現銷貨利益（損失）,-37,-37,-25,,,,,,,,,,,,,
本期現金及約當現金增加（減少）數,"6,603,520","6,603,520","10,768,252","4,945,963","10,875,673","-11,796,955","-11,266,306","-11,183,829","-6,444,908","-1,786,404","-852,198","8,173,394","-1,715,745","-635,223","-3,514,949","-5,403,140"
本期稅前淨利（淨損）,"1,589,845","1,589,845","4,784,025","6,479,352","10,277,840","2,014,079","6,895,906","9,614,314","13,719,739","1,844,700","5,126,208","5,089,087","6,814,158","282,550","1,946,106","3,324,612"
概括承受他公司之淨現金收取數,,,,,,,,,,,,,0,,,
淨確定福利負債增加(減少),,,,,,,,,,"-25,946","-26,459","-26,026","-4,452","-2,428","-8,203","-11,773"
營業活動之淨現金流入（流出）,"-361,704","-361,704","4,899,064","7,753,011","14,781,266","-2,371,186","2,144,481","7,324,312","10,642,592","349,763","3,828,764","10,403,459","13,665,234","3,170,445","6,663,586","11,684,573"
營運產生之現金流入（流出）,"216,772","216,772","5,972,948","6,036,476","12,695,466","-1,555,637","3,706,896","5,976,882","9,658,770","915,805","5,149,212","8,614,036","12,208,113","3,562,862","7,878,024","10,785,177"
發放現金股利,,,,"-5,492,251","-5,492,251",,,"-5,931,673","-5,931,673",,,"-7,395,159","-7,395,159",,,"-3,697,567"
發行公司債,,,"6,499,996","6,499,996","6,499,996",,"8,000,000","8,000,000","8,000,000",,0,0,0,,,"6,000,000"
短期借款增加,"1,333,415","1,333,415","-997,485","2,039,308","1,639,455","1,099,701","5,028,983","7,473,667","7,976,022","443,467","670,245",0,0,0,"7,937,753","4,735,137"
短期借款減少,,,,,,,,,,,,"-882,437","-3,571,459","-1,633,472",,0
