,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,939668.0,48.54,930385.0,47.41,922586.0,49.16,954706.0,46.87,968611.0,49.65,958120.0,47.38,947147.0,48.98,944409.0,47.6,940056.0,48.24,956811.0,47.95,986962.0,51.2,965045.0,48.55,986911.0,51.09,977764.0,50.66,968588.0,51.85,969805.0,48.68
保留盈餘合計,531335.0,27.45,373618.0,19.04,437217.0,23.3,472437.0,23.2,555497.0,28.47,400896.0,19.83,450820.0,23.31,514579.0,25.94,574683.0,29.49,419775.0,21.04,462920.0,24.02,539161.0,27.12,589355.0,30.51,450591.0,23.34,481479.0,25.77,522330.0,26.22
備供出售金融資產－非流動淨額,258021.0,13.33,236847.0,12.07,243504.0,12.98,263685.0,12.95,237335.0,12.17,214530.0,10.61,208114.0,10.76,202536.0,10.21,199248.0,10.23,211877.0,10.62,198077.0,10.28,194556.0,9.79,166597.0,8.62,166961.0,8.65,145749.0,7.8,182591.0,9.17
其他應付款,118998.0,6.15,343851.0,17.52,134805.0,7.18,185581.0,9.11,116109.0,5.95,346065.0,17.11,136131.0,7.04,180552.0,9.1,118894.0,6.1,327409.0,16.41,143722.0,7.46,167295.0,8.42,106763.0,5.53,310527.0,16.09,129479.0,6.93,157057.0,7.88
其他應收款淨額,624.0,0.03,480.0,0.02,5854.0,0.31,519.0,0.03,955.0,0.05,1317.0,0.07,853.0,0.04,1809.0,0.09,830.0,0.04,8002.0,0.4,3205.0,0.17,400.0,0.02,571.0,0.03,848.0,0.04,3774.0,0.2,6928.0,0.35
其他權益合計,16684.0,0.86,-4240.0,-0.22,2050.0,0.11,22416.0,1.1,-3762.0,-0.19,-26578.0,-1.31,-32991.0,-1.71,-38122.0,-1.92,-42035.0,-2.16,-29301.0,-1.47,-43538.0,-2.26,-47254.0,-2.38,-74895.0,-3.88,-74848.0,-3.88,-96525.0,-5.17,-60087.0,-3.02
其他流動負債,25910.0,1.34,26710.0,1.36,26790.0,1.43,33391.0,1.64,29943.0,1.53,28711.0,1.42,28381.0,1.47,34077.0,1.72,27661.0,1.42,25206.0,1.26,27913.0,1.45,27976.0,1.41,26136.0,1.35,24389.0,1.26,23381.0,1.25,29308.0,1.47
其他流動資產,879.0,0.05,680.0,0.03,1644.0,0.09,1377.0,0.07,1305.0,0.07,3323.0,0.16,2163.0,0.11,1084.0,0.05,3194.0,0.16,3840.0,0.19,1706.0,0.09,472.0,0.02,863.0,0.04,873.0,0.05,1400.0,0.07,1017.0,0.05
其他非流動負債,67429.0,3.48,66885.0,3.41,66906.0,3.57,83140.0,4.08,83443.0,4.28,83710.0,4.14,83710.0,4.33,62694.0,3.16,63853.0,3.28,64128.0,3.21,64551.0,3.35,60336.0,3.04,61846.0,3.2,62597.0,3.24,63098.0,3.38,63020.0,3.16
其他非流動資產,25394.0,1.31,25229.0,1.29,49675.0,2.65,44937.0,2.21,30889.0,1.58,27456.0,1.36,45712.0,2.36,48563.0,2.45,58013.0,2.98,60466.0,3.03,35031.0,1.82,51802.0,2.61,28599.0,1.48,31490.0,1.63,31779.0,1.7,36596.0,1.84
