,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,-68195.0,-106562.0,-200129.0,-200614.0,-79889.0,-141506.0,-148281.0,-167045.0,,,,,,,,
其他應付款增加（減少）,-15757.0,-38499.0,-39408.0,36528.0,-43895.0,-36939.0,-75195.0,-60246.0,-5627.0,19050.0,12237.0,-19873.0,13444.0,33049.0,55590.0,107068.0
其他應收款（增加）減少,-14028.0,-70676.0,-16434.0,-15267.0,-38750.0,-114180.0,-121376.0,-88092.0,-3675.0,-25251.0,8132.0,-83441.0,54708.0,6750.0,11162.0,-47226.0
其他投資活動,3740.0,7507.0,11837.0,16762.0,5187.0,10231.0,15511.0,19864.0,4015.0,7958.0,11666.0,16866.0,1703.0,3374.0,4955.0,8137.0
其他流動資產（增加）減少,,,,,-634.0,52.0,52.0,-3223.0,39.0,87.0,-50.0,-362.0,-1603.0,-1619.0,-1521.0,1491.0
其他營業資產（增加）減少,,,,,108.0,,,,29.0,-2431.0,-2407.0,,,,,
其他非流動資產增加,0.0,-1230.0,,,,216.0,357.0,,,,0.0,,,0.0,0.0,
其他非流動資產減少,,0.0,0.0,0.0,,,,460.0,,0.0,0.0,-6897.0,91.0,345.0,634.0,804.0
其他項目,,,0.0,,,,,,,,,,,,,
利息收入,-11543.0,-22915.0,-29771.0,-33605.0,-4602.0,-8933.0,-12547.0,-16392.0,-3777.0,-9573.0,-10180.0,-13793.0,-3348.0,-6457.0,-9805.0,-11275.0
利息費用,,,,,,,,,,1520.0,2467.0,3829.0,2656.0,6083.0,9571.0,14568.0
匯率變動對現金及約當現金之影響,36170.0,59052.0,45366.0,70210.0,-10149.0,-33220.0,3328.0,50405.0,-9618.0,-28599.0,18761.0,-26209.0,-6340.0,-37591.0,-64644.0,-73082.0
取得不動產、廠房及設備,-73.0,-4527.0,-5628.0,-7928.0,-738.0,-1577.0,-182034.0,-195195.0,-6560.0,-22415.0,-43364.0,-59213.0,-2806.0,-12629.0,-18216.0,-19042.0
取得以成本衡量之金融資產,0.0,0.0,-83089.0,-113389.0,-196883.0,-241905.0,-316944.0,-327706.0,,0.0,-41285.0,-39813.0,,-15331.0,-14847.0,-14607.0
取得備供出售金融資產,-28389.0,-28735.0,-57815.0,-217456.0,0.0,-2795.0,-15206.0,-15722.0,50496.0,-20347.0,-21220.0,-20464.0,,0.0,0.0,0.0
取得子公司股權,,,,,,-5500.0,-5500.0,-5500.0,,0.0,0.0,0.0,,,,0.0
取得按攤銷後成本衡量之金融資產,,,,,,,,,0.0,,,,,,,
取得採用權益法之投資,-105060.0,-144678.0,-145370.0,-145527.0,-10000.0,-10000.0,-10313.0,-10787.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
取得無形資產,,-354.0,-1153.0,-1252.0,-111.0,-108.0,-378.0,-1143.0,-385.0,-379.0,-1335.0,-1288.0,0.0,-323.0,-313.0,-307.0
取得無活絡市場之債券投資,,,,,,,,-25682.0,,,,,,,,
取得無活絡市場之債務工具投資,,,,,,,,,,,,-98768.0,550.0,,-64674.0,22208.0
呆帳費用提列（轉列收入）數,218.0,398.0,529.0,844.0,158.0,266.0,303.0,2155.0,608.0,3377.0,8152.0,7911.0,343.0,483.0,975.0,-1.0
員工執行認股權,,,,3470.0,,,,2180.0,,,,0.0,740.0,740.0,740.0,740.0
存貨（增加）減少,-4177.0,-82063.0,-91899.0,-88003.0,-55618.0,7111.0,-16959.0,-80566.0,65889.0,71279.0,77785.0,25903.0,27980.0,21045.0,30747.0,74425.0
對子公司之收購（扣除所取得之現金）,,,-115308.0,-138956.0,,,-253668.0,-256153.0,,,-31592.0,-160856.0,,,-281735.0,-678043.0
庫藏股票買回成本,,,,,,,,,,-66332.0,-66332.0,-66332.0,,0.0,0.0,0.0
應付帳款增加（減少）,-1101.0,31225.0,2309.0,-3117.0,2720.0,8743.0,20755.0,38303.0,4067.0,5823.0,-37107.0,-42308.0,13217.0,27712.0,-6318.0,4551.0
應收帳款（增加）減少,5373.0,-13580.0,-21093.0,-100412.0,1273.0,-111289.0,-112923.0,-154891.0,-89704.0,-167055.0,-267516.0,-125006.0,-10129.0,-74380.0,-106503.0,-166895.0
應收票據（增加）減少,35739.0,22678.0,15384.0,24747.0,-15872.0,-27125.0,-38338.0,-31069.0,-3645.0,-4775.0,7607.0,16806.0,-44987.0,-12593.0,-16974.0,-16567.0
投資活動之淨現金流入（流出）,-32008.0,-19164.0,-111800.0,-280518.0,-84469.0,-212719.0,-520136.0,-498491.0,108786.0,119416.0,27400.0,-219510.0,-462.0,-13857.0,-369254.0,-601528.0
折舊費用,1209.0,2518.0,3831.0,5084.0,829.0,1672.0,4112.0,6737.0,2159.0,4530.0,7286.0,10574.0,3077.0,6381.0,9802.0,13522.0
採用權益法認列之關聯企業及合資損失（利益）之份額,,5247.0,7917.0,11603.0,6490.0,9666.0,11538.0,11676.0,2376.0,3443.0,5515.0,6787.0,2755.0,2845.0,2626.0,3283.0
攤銷費用,5496.0,11130.0,17993.0,26198.0,8680.0,17124.0,27365.0,40401.0,14504.0,28773.0,43315.0,57962.0,14541.0,28813.0,42483.0,55834.0
支付之利息,,,,,,,,,,-1520.0,-2467.0,-3829.0,-2656.0,-6083.0,-9571.0,-14568.0
支付之股利,,,,,,,,,,,,,,,-24162.0,
收取之利息,11543.0,22915.0,29771.0,33605.0,4602.0,8933.0,12547.0,16392.0,3777.0,9573.0,10180.0,13793.0,3348.0,6457.0,9805.0,11275.0
收取之股利,,1647.0,1811.0,1923.0,,0.0,0.0,258.0,35538.0,36056.0,36147.0,44551.0,0.0,3428.0,4817.0,4747.0
收益費損項目合計,,,,,,,,,-41375.0,-52479.0,-27621.0,-18601.0,20423.0,35541.0,52085.0,24253.0
期初現金及約當現金餘額,929923.0,929923.0,929923.0,929923.0,930104.0,930104.0,930104.0,930104.0,605723.0,605723.0,605723.0,605723.0,437796.0,437796.0,437796.0,437796.0
期末現金及約當現金餘額,1032914.0,919583.0,665470.0,930104.0,987507.0,712256.0,533722.0,605723.0,735496.0,566305.0,481545.0,437796.0,533885.0,514108.0,269169.0,205696.0
本期現金及約當現金增加（減少）數,102991.0,-10340.0,-264453.0,181.0,57403.0,-217848.0,-396382.0,-324381.0,129773.0,-39418.0,-124178.0,-167927.0,96089.0,76312.0,-168627.0,-232100.0
本期稅前淨利（淨損）,158285.0,309126.0,436919.0,482226.0,170670.0,346250.0,472864.0,596907.0,166350.0,324784.0,470213.0,550318.0,141005.0,273218.0,394828.0,491164.0
營業活動之淨現金流入（流出）,98829.0,-38280.0,37930.0,-95682.0,102021.0,2417.0,67622.0,110149.0,65189.0,-12278.0,110050.0,144397.0,80893.0,82763.0,186126.0,250280.0
營運產生之現金流入（流出）,116121.0,950.0,101568.0,-11156.0,116620.0,39777.0,138744.0,204203.0,87867.0,58162.0,219715.0,288828.0,132271.0,174750.0,351912.0,423139.0
現金增資,,,,538650.0,50000.0,,,0.0,0.0,,,0.0,,,,0.0
發放現金股利,,-11948.0,-235949.0,-235949.0,,-18826.0,-294517.0,-294517.0,,0.0,-281034.0,-310469.0,,,-117331.0,-136526.0
短期借款增加,,,,,,,302821.0,261393.0,,,66977.0,317678.0,21258.0,44257.0,195736.0,328016.0
短期借款減少,,,,,,,,,-34584.0,-51625.0,,,0.0,0.0,,
籌資活動之淨現金流入（流出）,,-11948.0,-235949.0,306171.0,50000.0,25674.0,52804.0,13556.0,-34584.0,-117957.0,-280389.0,-66605.0,21998.0,44997.0,79145.0,192230.0
繼續營業單位稅前淨利（淨損）,158285.0,309126.0,436919.0,482226.0,170670.0,346250.0,472864.0,596907.0,166350.0,324784.0,470213.0,550318.0,141005.0,273218.0,394828.0,491164.0
股份基礎給付酬勞成本,1609.0,3235.0,4876.0,6292.0,964.0,1512.0,1977.0,8410.0,658.0,1323.0,1730.0,2291.0,399.0,801.0,1177.0,1279.0
股利收入,,-1647.0,-1811.0,-1923.0,,0.0,0.0,-258.0,-35538.0,-36056.0,-36147.0,-44551.0,0.0,-3428.0,-4817.0,-4747.0
與營業活動相關之負債之淨變動合計,-16091.0,-6234.0,-32630.0,37928.0,-43684.0,-24215.0,-47615.0,-23805.0,-3574.0,23216.0,-27491.0,-62781.0,32133.0,62674.0,51358.0,120961.0
