,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
備供出售金融資產未實現評價損益,111920.0,24.51,292.0,0.06,104932.0,24.21,333512.0,17.96,-132387.0,-26.15,31490.0,5.95,-149214.0,-27.34,-215454.0,-9.77,-13413.0,-2.13,-45255.0,-7.32,-54572.0,-7.12,-70967.0,-2.64,-87542.0,-12.29,-8198.0,-1.0,23266.0,2.78,-59116.0,-1.81
其他利益及損失淨額,64871.0,14.2,38066.0,8.36,99386.0,22.93,207340.0,11.17,100817.0,19.92,70364.0,13.28,16054.0,2.94,237496.0,10.77,21101.0,3.35,25082.0,4.06,-8301.0,-1.08,15738.0,0.58,-28.0,0.0,-13722.0,-1.67,-7252.0,-0.87,-23092.0,-0.71
其他收入,11543.0,2.53,48385.0,10.62,7189.0,1.66,72365.0,3.9,4602.0,0.91,28790.0,5.44,16213.0,2.97,59295.0,2.69,39315.0,6.23,28015.0,4.53,5433.0,0.71,89369.0,3.32,5292.0,0.74,35926.0,4.37,9594.0,1.15,57412.0,1.76
其他綜合損益（淨額）,166119.0,36.38,28305.0,6.21,84366.0,19.47,439143.0,23.65,-139561.0,-27.57,-23312.0,-4.4,-83318.0,-15.26,-133280.0,-6.04,-51494.0,-8.17,-93052.0,-15.05,73734.0,9.62,-188968.0,-7.02,-102604.0,-14.41,-90712.0,-11.04,-40326.0,-4.82,-266599.0,-8.15
國外營運機構財務報表換算之兌換差額,54199.0,11.87,28013.0,6.15,-20566.0,-4.75,105631.0,5.69,-7174.0,-1.42,-54802.0,-10.35,65896.0,12.07,82174.0,3.73,-38081.0,-6.04,-47797.0,-7.73,128306.0,16.74,-118001.0,-4.38,-15062.0,-2.12,-82514.0,-10.04,-63592.0,-7.6,-207483.0,-6.35
基本每股盈餘,1.92,,1.6,,1.49,,5.06,,1.72,,1.62,,1.0,,5.35,,1.47,,1.03,,0.86,,3.68,,0.98,,0.72,,0.94,,3.24,
所得稅費用（利益）合計,23721.0,5.19,31240.0,6.86,14287.0,3.3,89722.0,4.83,23000.0,4.54,35822.0,6.76,31692.0,5.81,114554.0,5.2,29795.0,4.73,56307.0,9.11,43329.0,5.65,162635.0,6.04,37365.0,5.25,47209.0,5.75,31362.0,3.75,152154.0,4.65
採用權益法認列之關聯企業及合資損益之份額淨額,,,-5247.0,-1.15,-2670.0,-0.62,-11603.0,-0.62,-6490.0,-1.28,-3176.0,-0.6,-1872.0,-0.34,-11676.0,-0.53,-2376.0,-0.38,-1067.0,-0.17,-2072.0,-0.27,-6787.0,-0.25,-2755.0,-0.39,-90.0,-0.01,219.0,0.03,-3283.0,-0.1
推銷費用,112814.0,24.7,135477.0,29.74,138399.0,31.94,531112.0,28.6,123781.0,24.45,122101.0,23.05,135262.0,24.78,525391.0,23.83,138134.0,21.91,136855.0,22.13,185413.0,24.2,655087.0,24.33,150543.0,21.14,197431.0,24.03,203290.0,24.29,805364.0,24.63
本期淨利（淨損）,134564.0,29.47,119601.0,26.26,113506.0,26.19,392504.0,21.14,147670.0,29.17,139758.0,26.39,94922.0,17.39,482353.0,21.88,136555.0,21.66,102127.0,16.52,102100.0,13.32,387683.0,14.4,103640.0,14.55,85004.0,10.34,90248.0,10.78,339010.0,10.37
