102年1月,42.98
2月,38.75
3月,37.52
4月,38.39
5月,39.12
6月,36.93
7月,37.27
8月,38.10
9月,40.64
10月,42.98
11月,42.58
12月,45.61
103年1月,44.34
2月,45.65
3月,47.01
4月,48.10
5月,45.07
6月,45.07
7月,45.07
8月,46.28
9月,46.66
10月,45.56
11月,45.65
12月,43.80
104年1月,41.99
2月,42.40
3月,42.50
4月,43.87
5月,42.49
6月,38.89
7月,38.20
8月,33.56
9月,34.50
10月,36.41
11月,33.60
12月,28.43
105年1月,26.32
2月,28.43
3月,30.78
4月,32.21
5月,29.58
6月,31.40
7月,34.46
8月,35.69
9月,35.71
10月,36.64
11月,36.79
12月,36.26
