,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,2595432.0,67.33,2591385.0,63.82,2909221.0,67.17,2887695.0,63.83,2871851.0,66.26,2839592.0,64.55,2812098.0,63.89,2840582.0,60.86,2815659.0,69.96,2871426.0,69.97,2872108.0,69.61,2842724.0,62.24,2811816.0,64.2,2785631.0,61.51,2758260.0,62.79,2729685.0,58.75
保留盈餘合計,107132.0,2.78,103917.0,2.56,135138.0,3.12,141498.0,3.13,144169.0,3.33,68168.0,1.55,78893.0,1.79,117151.0,2.51,137381.0,3.41,101423.0,2.47,131560.0,3.19,167421.0,3.67,180013.0,4.11,131211.0,2.9,185543.0,4.22,257890.0,5.55
其他應付款,118976.0,3.09,207006.0,5.1,323962.0,7.48,181783.0,4.02,117770.0,2.72,203251.0,4.62,132232.0,3.0,223330.0,4.79,139716.0,3.47,231993.0,5.65,169641.0,4.11,176789.0,3.87,136629.0,3.12,277600.0,6.13,171430.0,3.9,230093.0,4.95
其他應收款淨額,3046.0,0.08,20926.0,0.52,21227.0,0.49,40861.0,0.9,16400.0,0.38,20224.0,0.46,20744.0,0.47,6532.0,0.14,557.0,0.01,4762.0,0.12,4418.0,0.11,8217.0,0.18,2730.0,0.06,4235.0,0.09,5633.0,0.13,1597.0,0.03
其他權益合計,-2153.0,-0.06,-657.0,-0.02,-1725.0,-0.04,686.0,0.02,233.0,0.01,-2411.0,-0.05,238.0,0.01,5961.0,0.13,4915.0,0.12,3255.0,0.08,11343.0,0.27,8110.0,0.18,7857.0,0.18,5437.0,0.12,-156.0,0.0,645.0,0.01
其他流動負債,827000.0,21.45,587601.0,14.47,591334.0,13.65,594571.0,13.14,515304.0,11.89,516403.0,11.74,612600.0,13.92,719532.0,15.42,200048.0,4.97,200109.0,4.88,142930.0,3.46,107119.0,2.35,105320.0,2.4,108695.0,2.4,117994.0,2.69,102471.0,2.21
其他流動資產,52121.0,1.35,58922.0,1.45,69479.0,1.6,7983.0,0.18,6544.0,0.15,4739.0,0.11,7676.0,0.17,9907.0,0.21,13045.0,0.32,15053.0,0.37,38610.0,0.94,30608.0,0.67,498046.0,11.37,501360.0,11.07,411554.0,9.37,419349.0,9.02
其他非流動負債,1511.0,0.04,1511.0,0.04,1545.0,0.04,1361.0,0.03,1266.0,0.03,1137.0,0.03,1051.0,0.02,1387.0,0.03,1442.0,0.04,1394.0,0.03,1306.0,0.03,1316.0,0.03,1068.0,0.02,961.0,0.02,864.0,0.02,261.0,0.01
其他非流動資產,255034.0,6.62,287893.0,7.09,196450.0,4.54,157213.0,3.47,268412.0,6.19,266653.0,6.06,261332.0,5.94,241922.0,5.18,245147.0,6.09,205026.0,5.0,173879.0,4.21,149069.0,3.26,151416.0,3.46,142020.0,3.14,142478.0,3.24,139867.0,3.01
存貨,300600.0,7.8,360745.0,8.88,376776.0,8.7,310735.0,6.87,304635.0,7.03,329294.0,7.49,324876.0,7.38,327184.0,7.01,341134.0,8.48,364016.0,8.87,363070.0,8.8,347486.0,7.61,326109.0,7.45,295374.0,6.52,303007.0,6.9,310865.0,6.69
庫藏股票,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
應付公司債,0.0,0.0,243079.0,5.99,243510.0,5.62,243944.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
應付帳款,120008.0,3.11,213357.0,5.25,183320.0,4.23,73821.0,1.63,105888.0,2.44,129624.0,2.95,147972.0,3.36,170143.0,3.65,158556.0,3.94,155838.0,3.8,140192.0,3.4,129232.0,2.83,97191.0,2.22,138252.0,3.05,158787.0,3.61,188727.0,4.06
應付短期票券,59953.0,1.56,59908.0,1.48,59965.0,1.38,59945.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,
應付票據,0.0,0.0,,,,,45.0,0.0,85.0,0.0,100.0,0.0,83.0,0.0,66.0,0.0,275.0,0.01,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,38.0,0.0
應收帳款淨額,290740.0,7.54,314185.0,7.74,299688.0,6.92,290942.0,6.43,259126.0,5.98,264209.0,6.01,271643.0,6.17,312879.0,6.7,241086.0,5.99,253180.0,6.17,294708.0,7.14,320935.0,7.03,258067.0,5.89,282855.0,6.25,307794.0,7.01,411278.0,8.85
應收票據淨額,2712.0,0.07,2685.0,0.07,3106.0,0.07,4175.0,0.09,3463.0,0.08,3988.0,0.09,4303.0,0.1,4761.0,0.1,4472.0,0.11,4218.0,0.1,6389.0,0.15,5745.0,0.13,4841.0,0.11,5460.0,0.12,7049.0,0.16,8071.0,0.17
普通股股本,439468.0,11.4,439468.0,10.82,439468.0,10.15,439468.0,9.71,439468.0,10.14,439468.0,9.99,439468.0,9.98,514468.0,11.02,514468.0,12.78,514468.0,12.54,514468.0,12.47,634468.0,13.89,634468.0,14.49,634468.0,14.01,634468.0,14.44,634468.0,13.65
本期所得稅負債,,,,,,,,,,,,,,,,,10957.0,0.27,3912.0,0.1,2207.0,0.05,7072.0,0.15,6230.0,0.14,11681.0,0.26,16407.0,0.37,36346.0,0.78
本期所得稅資產,,,,,,,,,,,,,,,,,1005.0,0.02,1005.0,0.02,1005.0,0.02,0.0,0.0,381.0,0.01,0.0,0.0,0.0,0.0,,
