,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
確定福利計畫精算利益（損失）,,,,,,,-28.0,0.0,,,,,,,-431.0,-0.03,,,,,,,,,,,,,,,,
稀釋每股盈餘,0.46,,0.73,,0.71,,2.04,,0.06,,0.05,,0.24,,1.22,,0.39,,0.24,,0.58,,1.9,,0.2,,0.63,,0.85,,2.8,
稅前淨利（淨損）,27134.0,7.69,41559.0,9.81,39610.0,9.95,124078.0,7.95,5141.0,1.57,7365.0,2.13,27747.0,7.2,85886.0,5.63,25779.0,6.89,13058.0,3.56,37461.0,8.75,123229.0,7.66,16506.0,4.92,46620.0,10.77,64709.0,14.52,213931.0,12.29
管理費用,40896.0,11.59,39795.0,9.39,42385.0,10.65,164856.0,10.56,46926.0,14.3,40326.0,11.65,46632.0,12.1,184790.0,12.12,43926.0,11.74,44590.0,12.16,57665.0,13.47,200908.0,12.48,45978.0,13.72,52324.0,12.09,61320.0,13.76,221935.0,12.75
繼續營業單位本期淨利（淨損）,20378.0,5.78,31942.0,7.54,31221.0,7.85,89929.0,5.76,2671.0,0.81,2224.0,0.64,10725.0,2.78,54309.0,3.56,20230.0,5.41,12402.0,3.38,30136.0,7.04,98793.0,6.14,12592.0,3.76,40024.0,9.25,54332.0,12.19,178790.0,10.27
繼續營業單位淨利（淨損）,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
與其他綜合損益組成部分相關之所得稅,584.0,0.17,306.0,0.07,-220.0,-0.06,1164.0,0.07,-93.0,-0.03,-541.0,-0.16,542.0,0.14,1080.0,0.07,,,,,,,,,,,,,,,,
與可能重分類之項目相關之所得稅,,,,,,,,,,,,,,,,,-214.0,-0.06,-340.0,-0.09,1656.0,0.39,440.0,0.03,-1660.0,-0.5,0.0,0.0,0.0,0.0,-1660.0,-0.1
財務成本淨額,1244.0,0.35,1536.0,0.36,5074.0,1.28,22793.0,1.46,15584.0,4.75,16806.0,4.86,16707.0,4.33,65633.0,4.3,13509.0,3.61,12250.0,3.34,20180.0,4.71,57741.0,3.59,7945.0,2.37,4931.0,1.14,4679.0,1.05,22388.0,1.29
銷貨折讓,1618.0,0.46,2919.0,0.69,599.0,0.15,5360.0,0.34,266.0,0.08,700.0,0.2,9597.0,2.49,10874.0,0.71,1021.0,0.27,,,,,,,,,,,,,,
銷貨收入,355931.0,100.89,430865.0,101.71,402330.0,101.11,1576996.0,101.03,329528.0,100.39,346880.0,100.24,396920.0,102.98,1539041.0,100.94,376024.0,100.51,,,,,,,,,,,,,,
銷貨收入淨額,352801.0,100.0,423619.0,100.0,397919.0,100.0,1560897.0,100.0,328256.0,100.0,346059.0,100.0,385438.0,100.0,1524669.0,100.0,374129.0,100.0,,,,,1609718.0,100.0,,,,,,,,
銷貨退回,1512.0,0.43,4327.0,1.02,3812.0,0.96,10739.0,0.69,1006.0,0.31,121.0,0.03,1885.0,0.49,3498.0,0.23,874.0,0.23,,,,,,,,,,,,,,
