,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
營業收入合計,"741,189",100.0,"1,051,146",100.0,"945,725",100.0,"4,268,305",100.0,"1,019,429",100.0,"890,073",100.0,"908,502",100.0,"3,937,686",100.0,"671,355",100.0,"737,435",100.0,"548,822",100.0,"2,826,519",100.0,"541,218",100.0,"820,256",100.0,"743,175",100.0,"3,140,190",100.0
營業毛利（毛損）,"-44,905",-6.06,"16,783",1.6,"-10,985",-1.16,"234,945",5.5,"58,363",5.73,"73,297",8.23,"21,646",2.38,"219,386",5.57,"-75,665",-11.27,"-7,684",-1.04,"-47,827",-8.71,"-107,748",-3.81,"-3,330",-0.62,"27,292",3.33,"37,148",5.0,"95,421",3.04
營業毛利（毛損）淨額,"-44,905",-6.06,"16,783",1.6,"-10,985",-1.16,"234,945",5.5,"58,363",5.73,"73,297",8.23,"21,646",2.38,"219,386",5.57,"-75,665",-11.27,"-7,684",-1.04,"-47,827",-8.71,"-107,748",-3.81,"-3,330",-0.62,"27,292",3.33,"37,148",5.0,"95,421",3.04
營業費用合計,"104,906",14.15,"96,284",9.16,"108,889",11.51,"473,491",11.09,"100,950",9.9,"146,656",16.48,"112,781",12.41,"478,235",12.15,"110,102",16.4,"100,609",13.64,"104,911",19.12,"463,763",16.41,"87,944",16.25,"88,138",10.75,"80,083",10.78,"552,899",17.61
確定福利計畫之再衡量數,,,,,,,"5,605",0.13,,,,,,,"-8,191",-0.21,,,,,,,"-7,145",-0.25,,,,,,,"17,525",0.56
租賃成本,"47,862",6.46,"52,611",5.01,"65,919",6.97,"204,637",4.79,"51,588",5.06,"53,373",6.0,"53,188",5.85,"212,599",5.4,"51,743",7.71,"54,640",7.41,"55,709",10.15,"219,386",7.76,"51,879",9.59,"54,870",6.69,"53,910",7.25,"227,437",7.24
租賃收入,"91,595",12.36,"95,089",9.05,"99,114",10.48,"355,357",8.33,"92,300",9.05,"94,354",10.6,"103,624",11.41,"397,504",10.09,"109,133",16.26,"110,376",14.97,"108,986",19.86,"438,940",15.53,"109,334",20.2,"111,396",13.58,"114,444",15.4,"450,675",14.35
稀釋每股盈餘,0.13,,-0.05,,0.29,,1.97,,-0.06,,0.06,,0.24,,0.03,,-0.29,,0.17,,-0.50,,0.34,,-0.29,,-0.10,,0.21,,0.04,
稅前淨利（淨損）,"33,802",4.56,"-48,405",-4.6,"201,727",21.33,"1,338,804",31.37,"-41,789",-4.1,"72,308",8.12,"192,412",21.18,"9,301",0.24,"-209,547",-31.21,"199,938",27.11,"-360,186",-65.63,"194,900",6.9,"-191,528",-35.39,"-43,341",-5.28,"163,648",22.02,"79,161",2.52
管理費用,"96,030",12.96,"84,881",8.08,"96,670",10.22,"427,435",10.01,"91,328",8.96,"139,052",15.62,"100,514",11.06,"432,320",10.98,"92,462",13.77,"88,420",11.99,"96,547",17.59,"419,627",14.85,"80,290",14.84,"83,142",10.14,"74,702",10.05,"529,708",16.87
繼續營業單位本期淨利（淨損）,"59,637",8.05,"-45,095",-4.29,"178,440",18.87,"1,289,927",30.22,"-34,204",-3.36,"45,792",5.14,"179,848",19.8,"53,788",1.37,"-183,290",-27.3,"115,684",15.69,"-316,976",-57.76,"213,321",7.55,"-188,985",-34.92,"-63,416",-7.73,"148,684",20.01,"9,806",0.31
繼續營業單位淨利（淨損）,0.13,,-0.05,,0.29,,1.97,,-0.06,,0.06,,0.24,,0.03,,-0.29,,0.17,,-0.50,,0.34,,-0.29,,-0.10,,0.21,,0.04,
與不重分類之項目相關之所得稅,,,,,,,,,,,,,,,,,,,,,,,"-1,214",-0.04,,,,,,,"2,979",0.09
與可能重分類之項目相關之所得稅,,,,,,,,,,,,,,,,,"-40,257",-6.0,"-10,580",-1.43,"57,958",10.56,"-17,301",-0.61,"-14,792",-2.73,"-6,478",-0.79,"-36,563",-4.92,"-56,502",-1.8
財務成本淨額,"45,395",6.12,"45,518",4.33,"39,630",4.19,"171,332",4.01,"43,531",4.27,"43,538",4.89,"51,357",5.65,"193,067",4.9,"52,280",7.79,"51,729",7.01,"63,191",11.51,"226,225",8.0,"49,469",9.14,"50,282",6.13,"45,731",6.15,"191,630",6.1
銷貨成本,"519,507",70.09,"734,198",69.85,"652,527",69.0,"2,771,533",64.93,"664,215",65.16,"526,419",59.14,"604,863",66.58,"2,569,610",65.26,"536,594",79.93,"533,777",72.38,"386,868",70.49,"2,084,724",73.76,"340,179",62.85,"555,733",67.75,"470,093",63.25,"2,113,323",67.3
銷貨收入淨額,"440,148",59.38,"706,426",67.21,"604,738",63.94,"2,718,889",63.7,"669,433",65.67,"513,947",57.74,"552,168",60.78,"2,492,946",63.31,"398,213",59.31,"455,884",61.82,"291,530",53.12,"1,715,251",60.68,"270,998",50.07,"487,447",59.43,"381,455",51.33,"1,789,061",56.97
非控制權益（淨利／損）,"-22,692",-3.06,"-11,909",-1.13,"-9,496",-1.0,"17,859",0.42,"5,180",0.51,"10,130",1.14,"26,010",2.86,"37,445",0.95,"4,490",0.67,"7,402",1.0,"4,724",0.86,"-8,197",-0.29,-365,-0.07,"2,975",0.36,"13,213",1.78,"-15,083",-0.48
非控制權益（綜合損益）,"-16,575",-2.24,"-16,926",-1.61,"45,688",4.83,"184,928",4.33,"27,065",2.65,"-56,451",-6.34,"28,366",3.12,"-3,344",-0.08,"-11,056",-1.65,"-44,246",-6.0,"-94,834",-17.28,"-195,003",-6.9,"4,925",0.91,"-13,134",-1.6,"98,016",13.19,"53,252",1.7
