,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
其他利益及損失淨額,-602.0,-0.03,2006.0,0.08,-1627.0,-0.06,1304.0,0.01,469.0,0.02,2085.0,0.08,3195.0,0.12,5415.0,0.05,-549.0,-0.02,7670.0,0.33,-12040.0,-0.48,-11818.0,-0.12,5937.0,0.23,-935.0,-0.03,7660.0,0.29,6745.0,0.06
其他收入,8130.0,0.35,6709.0,0.25,10446.0,0.38,35996.0,0.34,11641.0,0.47,6415.0,0.25,9751.0,0.36,38014.0,0.36,7669.0,0.33,8559.0,0.37,7312.0,0.29,37630.0,0.39,5588.0,0.21,3750.0,0.14,4408.0,0.17,22793.0,0.21
其他綜合損益（淨額）,87.0,0.0,-134.0,-0.01,207.0,0.01,-1251.0,-0.01,62.0,0.0,-1600.0,-0.06,1995.0,0.07,-11196.0,-0.11,-752.0,-0.03,-1072.0,-0.05,2900.0,0.12,-21726.0,-0.22,225.0,0.01,-1547.0,-0.06,-1956.0,-0.07,-25009.0,-0.23
國外營運機構財務報表換算之兌換差額,87.0,0.0,-142.0,-0.01,239.0,0.01,2.0,0.0,71.0,0.0,-1622.0,-0.06,2329.0,0.09,3790.0,0.04,-878.0,-0.04,-1252.0,-0.05,3387.0,0.14,-2187.0,-0.02,270.0,0.01,-1808.0,-0.07,-2292.0,-0.09,-4056.0,-0.04
基本每股盈餘,-0.11,,-0.04,,0.02,,0.09,,0.14,,0.03,,0.0,,0.43,,0.07,,-0.01,,0.08,,0.31,,0.13,,0.14,,0.12,,0.49,
所得稅費用（利益）合計,-104.0,0.0,-3096.0,-0.12,368.0,0.01,-3597.0,-0.03,7748.0,0.32,891.0,0.03,-435.0,-0.02,20929.0,0.2,7393.0,0.32,1854.0,0.08,6755.0,0.27,30968.0,0.32,15650.0,0.59,14806.0,0.55,7105.0,0.27,36392.0,0.33
推銷費用,95028.0,4.06,93576.0,3.51,97426.0,3.58,389288.0,3.7,101024.0,4.11,111308.0,4.27,107820.0,3.94,432197.0,4.1,112442.0,4.84,105870.0,4.59,127374.0,5.1,476432.0,4.9,125696.0,4.77,126942.0,4.74,155852.0,5.85,569322.0,5.19
本期淨利（淨損）,-34655.0,-1.48,-14262.0,-0.54,5515.0,0.2,23887.0,0.23,43045.0,1.75,8198.0,0.31,558.0,0.02,124799.0,1.18,18988.0,0.82,-7122.0,-0.31,14699.0,0.59,62419.0,0.64,26721.0,1.01,19693.0,0.73,6134.0,0.23,57610.0,0.53
本期綜合損益總額,-34568.0,-1.48,-14396.0,-0.54,5722.0,0.21,22636.0,0.22,43107.0,1.75,6598.0,0.25,2553.0,0.09,113603.0,1.08,18236.0,0.78,-8194.0,-0.36,17599.0,0.7,40693.0,0.42,26946.0,1.02,18146.0,0.68,4178.0,0.16,32601.0,0.3
母公司業主（淨利／損）,-33147.0,-1.42,-11633.0,-0.44,6745.0,0.25,28143.0,0.27,43389.0,1.76,9070.0,0.35,1435.0,0.05,134453.0,1.28,22504.0,0.97,-2572.0,-0.11,25305.0,1.01,97627.0,1.0,40650.0,1.54,43606.0,1.63,37182.0,1.4,156018.0,1.42
母公司業主（綜合損益）,-33080.0,-1.41,-11734.0,-0.44,6896.0,0.25,26892.0,0.26,43434.0,1.77,8958.0,0.34,3068.0,0.11,123899.0,1.18,21888.0,0.94,-3449.0,-0.15,27679.0,1.11,76207.0,0.78,40869.0,1.55,42331.0,1.58,35545.0,1.33,131795.0,1.2
營業利益（損失）,-40339.0,-1.72,-26757.0,-1.0,-4531.0,-0.17,-17933.0,-0.17,37897.0,1.54,794.0,0.03,-8423.0,-0.31,91812.0,0.87,21954.0,0.94,-14139.0,-0.61,24134.0,0.97,61905.0,0.64,32432.0,1.23,40818.0,1.52,6722.0,0.25,75423.0,0.69
營業外收入及支出合計,5580.0,0.24,9399.0,0.35,10414.0,0.38,38223.0,0.36,12896.0,0.52,8295.0,0.32,8546.0,0.31,53916.0,0.51,4427.0,0.19,8871.0,0.38,-2680.0,-0.11,31482.0,0.32,9939.0,0.38,-6319.0,-0.24,6517.0,0.24,18579.0,0.17
營業成本合計,2243553.0,95.79,2548339.0,95.67,2577707.0,94.7,9976824.0,94.92,2269817.0,92.29,2450276.0,94.01,2587830.0,94.53,9809054.0,93.03,2139275.0,92.0,2142079.0,92.9,2270840.0,90.94,8914882.0,91.59,2399895.0,91.15,2418719.0,90.24,2436107.0,91.4,9984700.0,91.06
營業收入合計,2342164.0,100.0,2663652.0,100.0,2722035.0,100.0,10510873.0,100.0,2459447.0,100.0,2606452.0,100.0,2737717.0,100.0,10543589.0,100.0,2325248.0,100.0,2305696.0,100.0,2497043.0,100.0,9732986.0,100.0,2633013.0,100.0,2680385.0,100.0,2665231.0,100.0,10965542.0,100.0
