,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y,合併營業收入淨額_x,合併營業收入淨額_y
本月,432278.0,426578.0,713137.0,710653.0,669289.0,577247.0,744948.0,685693.0,759744.0,752393.0,706184.0,1498909.0,489122.0,652780.0,828958.0,999892.0,966070.0,864651.0,813206.0,762495.0,885237.0,939691.0,719104.0,1760431.0,660227.0,438930.0,1102796.0,1016619.0,758223.0,808800.0,1131695.0,933131.0,727194.0,945833.0,683024.0,1774368.0,404878.0,734753.0,1096114.0,894780.0,805376.0,924026.0,556973.0,929396.0,814851.0,579747.0,764195.0,1545773.0
本年累計,432278.0,858856.0,1571993.0,2282646.0,2949615.0,3522831.0,4273051.0,4953472.0,5713216.0,6465609.0,7171793.0,8670702.0,489122.0,1141902.0,1970860.0,2970752.0,3936822.0,4801473.0,5614679.0,6377174.0,7262411.0,8202102.0,8921206.0,10681637.0,660227.0,1099157.0,2201953.0,3218572.0,3976795.0,4785595.0,5917290.0,6850421.0,7577615.0,8523448.0,9206472.0,10980840.0,404878.0,1139631.0,2235745.0,3130525.0,3935901.0,4859927.0,5416900.0,6346296.0,7161147.0,7740894.0,8505089.0,10050862.0
