,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,90731.0,189885.0,271467.0,395468.0,150333.0,388690.0,437516.0,529261.0,,,,,,,,
償還長期借款,-8187.0,-14137.0,-14015.0,-70321.0,-5291.0,-56440.0,-61687.0,2883178.0,0.0,-44406.0,-42291.0,-150710.0,2644.0,-211954.0,-207445.0,0.0
其他應付款增加（減少）,-78798.0,164567.0,207622.0,18011.0,149628.0,158746.0,241730.0,174195.0,57313.0,148695.0,158458.0,58049.0,-172758.0,-8285.0,12520.0,25533.0
其他應付款－關係人增加,,9723.0,9772.0,206.0,,-209.0,-209.0,-210.0,,0.0,0.0,0.0,,,,5522.0
其他應付款－關係人增加（減少）,,,,,,,,,3610.0,5036.0,,,592.0,0.0,3997.0,
其他應收款（增加）減少,-21553.0,-73535.0,-30711.0,-29007.0,8208.0,-12858.0,-4097.0,-45181.0,9965.0,18304.0,39439.0,-1658.0,-23878.0,-27952.0,-18567.0,-16802.0
其他應收款－關係人增加,-3401.0,,,,0.0,,,,,-17856.0,-167984.0,,,-7041.0,0.0,-1154.0
其他流動負債增加（減少）,7417.0,5621.0,5751.0,5892.0,27.0,1976.0,496.0,-1540.0,-810.0,-779.0,-810.0,-1077.0,-27.0,-203.0,-430.0,-587.0
其他流動資產（增加）減少,8442.0,6643.0,7643.0,8143.0,229.0,-1189.0,-1813.0,-394.0,-43.0,-711.0,-6743.0,-1751.0,-568.0,2742.0,2901.0,2800.0
其他符合國際會計準則第七號現金及約當現金定義之項目,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他籌資活動,,,,,,,,,,-306999.0,-306999.0,-306999.0,,0.0,0.0,-23600.0
其他金融資產減少,49479.0,-46919.0,206446.0,5368.0,219820.0,67015.0,-1056453.0,-710297.0,106593.0,106691.0,870169.0,1132972.0,-308233.0,-310023.0,-297549.0,-417816.0
其他項目,,,-482.0,-475.0,,14682.0,15418.0,13990.0,505.0,998.0,1499.0,3122.0,1670.0,3306.0,4901.0,6459.0
利息收入,-4493.0,-18788.0,-30631.0,-39535.0,-10767.0,-18882.0,-33337.0,-63878.0,-32765.0,-72205.0,-97031.0,-115032.0,-12106.0,-36782.0,-67329.0,-113135.0
利息費用,47037.0,104969.0,166975.0,213625.0,52654.0,125211.0,185522.0,278197.0,76980.0,151772.0,230370.0,317461.0,70497.0,160426.0,260245.0,370124.0
匯率變動對現金及約當現金之影響,43767.0,-1419.0,21184.0,23677.0,-62883.0,-84289.0,-82585.0,43099.0,-132917.0,-160930.0,-107144.0,-215871.0,19231.0,4015.0,-115288.0,-171161.0
取得不動產、廠房及設備,-21898.0,-53026.0,-85331.0,-116726.0,-19033.0,-52506.0,-95204.0,-121397.0,-13725.0,-27361.0,-57973.0,-94506.0,-28755.0,-53567.0,-85086.0,-136063.0
取得採用權益法之投資,,,,,,,,,,,,,-831.0,-822.0,-815.0,-808.0
取得無形資產,-163054.0,-440755.0,-591609.0,-815750.0,-231449.0,-413505.0,-566524.0,-744853.0,-175686.0,-379382.0,-546658.0,-794598.0,-205465.0,-403630.0,-634860.0,-854529.0
呆帳費用提列（轉列收入）數,8024.0,6016.0,24421.0,39056.0,31782.0,87132.0,47667.0,63122.0,25057.0,68096.0,152011.0,225892.0,94812.0,129415.0,162422.0,270984.0
存入保證金增加,0.0,-6833.0,-12994.0,-12155.0,268.0,1564.0,1956.0,-260.0,-1251.0,-1236.0,-1242.0,-1267.0,1755.0,107.0,0.0,0.0
存入保證金減少,-1708.0,,,,,,,,,,,,,,,
存出保證金增加,,,,,,,,,,,,,,,,-5034.0
存出保證金減少,-1202.0,-1218.0,-8402.0,-3041.0,463.0,-451.0,1474.0,1796.0,-503.0,131.0,28940.0,23623.0,-866.0,-3319.0,-1813.0,0.0
存貨（增加）減少,-445899.0,-873048.0,-728706.0,-389072.0,-581235.0,-960761.0,-955221.0,-451271.0,-239919.0,-279411.0,-352956.0,195093.0,-259404.0,47572.0,400916.0,730794.0
對子公司之收購（扣除所取得之現金）,,0.0,0.0,0.0,,,,,-88047.0,-88047.0,-88047.0,-342639.0,0.0,0.0,0.0,0.0
應付公司債匯率影響數,,,,-1942.0,,,,,,,,,,,,
應付帳款增加（減少）,150088.0,-328503.0,-199875.0,-109876.0,370442.0,398567.0,384321.0,242479.0,56529.0,18580.0,269281.0,-36995.0,149124.0,-56886.0,-376035.0,-272720.0
