,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,13998.0,54607.0,97214.0,118206.0,43464.0,100411.0,136046.0,122222.0,,,,,,,,
其他應付款增加（減少）,-69542.0,-26851.0,-21264.0,66085.0,-85410.0,-38137.0,-36547.0,39002.0,-124849.0,-88217.0,-52919.0,-10273.0,-112063.0,-145312.0,-83748.0,-8073.0
其他應收款（增加）減少,2709.0,8308.0,-458.0,-4674.0,9956.0,14640.0,10604.0,2307.0,5204.0,11534.0,8643.0,-3119.0,9444.0,15174.0,-14909.0,1326.0
其他流動負債增加（減少）,-48128.0,-29885.0,-41213.0,-57167.0,41412.0,74.0,-10287.0,9480.0,-13115.0,26834.0,-21172.0,72818.0,-22080.0,-60675.0,,
其他非流動資產增加,,,,,,,,,,,,-94.0,,-121.0,-109.0,-98.0
其他項目,-8332.0,-25647.0,-26547.0,-25744.0,-450.0,16827.0,50548.0,21813.0,-13012.0,-21222.0,-7163.0,-20798.0,-1292.0,-380.0,-812.0,-903.0
利息收入,,,,,,-1832.0,-1866.0,-3020.0,-1139.0,-2586.0,-4248.0,-5628.0,-1274.0,-2338.0,-2868.0,-3456.0
利息費用,672.0,1333.0,2965.0,3703.0,810.0,1872.0,3236.0,3831.0,641.0,923.0,1403.0,1866.0,929.0,2017.0,3040.0,4064.0
匯率變動對現金及約當現金之影響,1423.0,3605.0,4423.0,4870.0,1328.0,2315.0,3797.0,5082.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得不動產、廠房及設備,-11271.0,-25301.0,-38963.0,-55215.0,-13600.0,-24976.0,-52215.0,-74255.0,-10654.0,-38037.0,-82340.0,-118788.0,-14892.0,-34018.0,-48899.0,-70340.0
呆帳費用提列（轉列收入）數,123.0,98.0,-2539.0,-2424.0,-177.0,-1043.0,-1043.0,-661.0,63.0,23.0,12.0,283.0,279.0,259.0,482.0,291.0
存入保證金增加,,,,-70.0,,,,350.0,,,-180.0,-210.0,-150.0,-41.0,433.0,999.0
存出保證金增加,,,-6993.0,129.0,,-8613.0,-14170.0,-7489.0,,7159.0,3078.0,3220.0,7293.0,-390.0,-6323.0,-5942.0
存貨（增加）減少,848349.0,-214324.0,2002.0,1095012.0,-768887.0,-1504688.0,-794430.0,-983348.0,-43477.0,436034.0,891584.0,189965.0,139605.0,155931.0,-301480.0,-312378.0
應付帳款增加（減少）,6822.0,623.0,-89840.0,-5504.0,-95956.0,-43251.0,-86204.0,-42818.0,-20005.0,-19135.0,-196.0,85231.0,-58227.0,-54592.0,-31604.0,315504.0
應收帳款（增加）減少,8907.0,-64731.0,-68055.0,-125046.0,-58220.0,-164762.0,-161231.0,-9958.0,-30615.0,67580.0,-30147.0,47998.0,-519.0,-45556.0,-79135.0,-108168.0
應收票據（增加）減少,50769.0,50871.0,95012.0,119153.0,-8228.0,68631.0,37596.0,13795.0,54654.0,16884.0,43379.0,4973.0,-1460.0,29101.0,15960.0,-20299.0
應計退休金負債增加（減少）,,,-1246.0,-1990.0,-107.0,-10290.0,-10450.0,-10599.0,,,,,,,,
投資活動之淨現金流入（流出）,-11271.0,-24269.0,-46807.0,-56612.0,-12484.0,-33087.0,-65681.0,-78170.0,8923.0,-12394.0,-59967.0,-97208.0,-8202.0,-35048.0,-54167.0,-76667.0
折舊費用,41009.0,81164.0,121608.0,161815.0,40131.0,66846.0,91123.0,114458.0,23764.0,46710.0,69258.0,92145.0,23437.0,48049.0,71845.0,95354.0
攤銷費用,208.0,419.0,652.0,926.0,311.0,618.0,917.0,1194.0,282.0,551.0,821.0,1060.0,278.0,556.0,825.0,1147.0
支付之利息,-842.0,-1534.0,-3043.0,-3832.0,-852.0,-1914.0,-3278.0,-3818.0,-669.0,-981.0,-1377.0,-1912.0,-923.0,-1993.0,-2964.0,-3887.0
收取之利息,,,,,,1832.0,1866.0,3020.0,1139.0,2586.0,4248.0,5628.0,1274.0,2338.0,2868.0,3456.0
收益費損項目合計,,,,,,,,,37051.0,45427.0,71510.0,93534.0,55449.0,56800.0,84042.0,97546.0
期初現金及約當現金餘額,428540.0,428540.0,428540.0,428540.0,1345484.0,1345484.0,1345484.0,1345484.0,981164.0,981164.0,981164.0,981164.0,1232661.0,1232661.0,1232661.0,1232661.0
期末現金及約當現金餘額,987665.0,199522.0,281040.0,1345484.0,661951.0,337366.0,255524.0,981164.0,1006790.0,1570282.0,1503910.0,1232661.0,1452900.0,1652439.0,615461.0,1435014.0
本期現金及約當現金增加（減少）數,559125.0,-229018.0,-147500.0,916944.0,-683533.0,-1008118.0,-1089960.0,-364320.0,25626.0,589118.0,522746.0,251497.0,220239.0,419778.0,-617200.0,202353.0
本期稅前淨利（淨損）,259595.0,472521.0,599540.0,852218.0,350919.0,535964.0,715196.0,1204164.0,293744.0,521053.0,854313.0,1121889.0,212942.0,545645.0,779138.0,1094288.0
淨確定福利負債增加(減少),,,,,,,,,-2697.0,-2858.0,-2991.0,-18819.0,-213.0,-374.0,-584.0,-2666.0
