,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,36772.0,60828.0,82204.0,-278574.0,21982.0,55649.0,344701.0,139457.0,,,,,,,,
其他應付款增加（減少）,-63266.0,69405.0,-31054.0,-81487.0,-16091.0,83134.0,93446.0,31268.0,-34873.0,106943.0,65709.0,81279.0,17303.0,128529.0,103512.0,51524.0
其他應收款（增加）減少,1626.0,-568.0,1744.0,3922.0,-1190.0,-2054.0,485.0,-4756.0,3379.0,-341.0,1908.0,-568.0,-7169.0,-5225.0,-3367.0,-11669.0
其他流動負債增加（減少）,9551.0,25667.0,4422.0,940.0,16402.0,53832.0,30857.0,39983.0,-179.0,-3271.0,-633.0,-29080.0,9090.0,-1242.0,3473.0,-12408.0
其他流動資產（增加）減少,-7361.0,-28906.0,-17264.0,-4999.0,-18514.0,-2887.0,-17429.0,-7361.0,-21118.0,-25910.0,-34742.0,-7434.0,-7340.0,6651.0,-30049.0,19056.0
其他項目,53.0,108.0,163.0,217.0,56.0,111.0,166.0,222.0,57.0,112.0,113.0,218.0,0.0,0.0,0.0,0.0
利息收入,-11516.0,-27244.0,-39815.0,-54253.0,-10015.0,-19984.0,-28289.0,-36815.0,-8422.0,-17621.0,-25142.0,-31083.0,-4543.0,-8043.0,-20728.0,-17778.0
利息費用,3691.0,6596.0,9919.0,13084.0,3132.0,6107.0,8506.0,10870.0,2174.0,5124.0,7265.0,8827.0,1572.0,2152.0,3923.0,6838.0
匯率變動對現金及約當現金之影響,-17522.0,-25386.0,-19887.0,-29078.0,-4115.0,4441.0,-746.0,-20176.0,10382.0,6429.0,1791.0,-19558.0,4773.0,-21852.0,-35477.0,-44294.0
取得不動產、廠房及設備,-21092.0,-42936.0,-52316.0,-115693.0,-30675.0,-1627934.0,-1848676.0,-2097604.0,-16548.0,-153812.0,-183607.0,-380011.0,-59483.0,-57494.0,-189170.0,-80793.0
呆帳費用提列（轉列收入）數,71.0,855.0,1279.0,755.0,-162.0,838.0,2293.0,303.0,214.0,1394.0,1939.0,178.0,432.0,1431.0,2213.0,922.0
存入保證金增加,141.0,705.0,1409.0,956.0,0.0,0.0,0.0,102.0,,,10.0,4556.0,,,0.0,0.0
存出保證金增加,-750.0,-2638.0,-4304.0,0.0,0.0,0.0,-2130.0,,-590.0,,-213615.0,,0.0,,0.0,
存貨（增加）減少,-106521.0,-428075.0,-597656.0,-591551.0,238445.0,273430.0,381591.0,673109.0,123079.0,128335.0,37228.0,-1125222.0,-141885.0,-578565.0,-976699.0,-1215784.0
應付帳款增加（減少）,87246.0,205543.0,178557.0,37062.0,4152.0,88648.0,78679.0,-14709.0,66257.0,101676.0,49956.0,24776.0,56604.0,118079.0,147474.0,-4443.0
應付票據增加（減少）,16280.0,42896.0,127585.0,3802.0,-39049.0,48235.0,99535.0,-34092.0,1134.0,63794.0,88033.0,-5021.0,7203.0,39658.0,72804.0,6213.0
應收帳款（增加）減少,4225.0,-134006.0,-247478.0,92176.0,-36511.0,-187785.0,-330908.0,-36188.0,-111749.0,-224785.0,-337492.0,-60968.0,-32438.0,-301631.0,-552054.0,-174158.0
應收票據（增加）減少,-18247.0,-69623.0,-39324.0,19283.0,2220.0,-33780.0,-77482.0,-14947.0,-22608.0,-33818.0,-91413.0,2977.0,883.0,-57570.0,-53502.0,11090.0
應計退休金負債增加（減少）,-15225.0,-14168.0,-13115.0,-13390.0,3076.0,4638.0,3078.0,-19555.0,,,,,,,,
投資活動之淨現金流入（流出）,-802984.0,-576050.0,-875920.0,-731629.0,-360615.0,-253953.0,-474999.0,-821062.0,52496.0,-112762.0,-676669.0,312684.0,171387.0,377404.0,131750.0,-126901.0
折舊費用,50333.0,101131.0,151980.0,202857.0,50829.0,108542.0,183019.0,253499.0,75330.0,150087.0,225390.0,280069.0,57626.0,117866.0,176581.0,236164.0
攤銷費用,355.0,799.0,1278.0,1759.0,465.0,955.0,1560.0,2141.0,561.0,1124.0,1776.0,2438.0,588.0,1145.0,1807.0,2462.0
支付之利息,-3365.0,-5715.0,-10023.0,-13005.0,-3373.0,-6296.0,-9521.0,-10647.0,-3412.0,-6362.0,-8503.0,-8999.0,-2638.0,-3029.0,-4620.0,-7450.0
收取之利息,11518.0,27246.0,39817.0,54253.0,10017.0,19986.0,28291.0,36796.0,8443.0,17642.0,25163.0,31104.0,4543.0,8043.0,20728.0,17778.0
收益費損項目合計,,,,,,,,,17879.0,56188.0,95760.0,154533.0,11098.0,-503770.0,-452907.0,-395295.0
期初現金及約當現金餘額,8719334.0,8719334.0,8719334.0,8719334.0,5262121.0,5262121.0,5262121.0,5262121.0,4108178.0,4108178.0,4108178.0,4108178.0,3377050.0,3377050.0,3377050.0,3377050.0
期末現金及約當現金餘額,8020392.0,7679512.0,5964882.0,5262121.0,5144175.0,4758122.0,4183749.0,4108178.0,4323139.0,4460117.0,3610098.0,3377050.0,2853609.0,2932489.0,2239555.0,2266406.0
本期現金及約當現金增加（減少）數,-698942.0,-1039822.0,-2754452.0,-3457213.0,-117946.0,-503999.0,-1078372.0,-1153943.0,214961.0,351939.0,-498080.0,-731128.0,-523441.0,-444561.0,-1137495.0,-1110644.0
本期稅前淨利（淨損）,127823.0,222783.0,514382.0,975411.0,84454.0,154286.0,394351.0,479222.0,147829.0,329055.0,678162.0,721252.0,102156.0,819843.0,1111407.0,1236465.0
淨確定福利負債增加(減少),,,,,,,,,-430.0,-1206.0,-2.0,-15341.0,-334446.0,-345040.0,-344238.0,-342411.0
營業活動之淨現金流入（流出）,-136410.0,-371466.0,-443977.0,-6389.0,243125.0,-102172.0,374956.0,615998.0,146055.0,444959.0,794183.0,-416478.0,-345400.0,-794730.0,-1255617.0,-1013692.0
營運產生之現金流入（流出）,-131670.0,-307081.0,-322608.0,120431.0,249813.0,513570.0,1026164.0,1269330.0,151004.0,500189.0,888693.0,-317278.0,-340448.0,-728616.0,-1135663.0,-890702.0
發放現金股利,,,-1339570.0,-1339570.0,,,-803741.0,-803742.0,,,-482245.0,-482245.0,,,-602807.0,-602807.0
短期借款增加,257423.0,0.0,0.0,0.0,9587.0,-151763.0,-173933.0,-125063.0,6400.0,19010.0,-129615.0,-130087.0,0.0,5337.0,635337.0,685337.0
籌資活動之淨現金流入（流出）,257974.0,-66920.0,-1414668.0,-2690117.0,3659.0,-152315.0,-977583.0,-928703.0,6028.0,13313.0,-617385.0,-607776.0,-354201.0,-5383.0,21849.0,74243.0
繼續營業單位稅前淨利（淨損）,127823.0,222783.0,514382.0,975411.0,84454.0,154286.0,394351.0,479222.0,147829.0,329055.0,678162.0,721252.0,102156.0,819843.0,1111407.0,1236465.0
與營業活動相關之負債之淨變動合計,34586.0,329343.0,266395.0,-53073.0,-31510.0,278487.0,305595.0,2895.0,31909.0,267936.0,528307.0,56613.0,-244246.0,-60016.0,-16975.0,-301525.0
與營業活動相關之資產之淨變動合計,-330851.0,-920035.0,-1185589.0,-523333.0,174887.0,25148.0,-18483.0,647756.0,-46613.0,-152990.0,-413536.0,-1249676.0,-209456.0,-984673.0,-1777188.0,-1430347.0
與營業活動相關之資產及負債之淨變動合計,-296265.0,-590692.0,-919194.0,-576406.0,143377.0,303635.0,287112.0,650651.0,-14704.0,114946.0,114771.0,-1193063.0,-453702.0,-1044689.0,-1794163.0,-1731872.0
處分不動產、廠房及設備,782.0,927.0,1528.0,522877.0,105.0,3086.0,3559.0,3989.0,312.0,1172.0,1118.0,10993.0,1178.0,7081.0,7245.0,8604.0
處分及報廢不動產、廠房及設備損失（利益）,-362.0,-427.0,-875.0,-342112.0,-89.0,-2707.0,-3151.0,-3445.0,-15687.0,-15875.0,-15785.0,14053.0,-137.0,-735.0,-1106.0,-2304.0
處分投資損失（利益）,-367.0,-2332.0,-3857.0,-4998.0,-499.0,-1377.0,-5335.0,-6701.0,-2241.0,-7103.0,-19244.0,-19924.0,-823.0,-1121.0,-1339.0,-1365.0
調整項目合計,-259493.0,-529864.0,-836990.0,-854980.0,165359.0,359284.0,631813.0,790108.0,3175.0,171134.0,210531.0,-1038530.0,-442604.0,-1548459.0,-2247070.0,-2127167.0
資產負債表帳列之現金及約當現金,8020392.0,7679512.0,5964882.0,5262121.0,5144175.0,4758122.0,4183749.0,4108178.0,4323139.0,4460117.0,3610098.0,3377050.0,2853609.0,2932489.0,2239555.0,2266406.0
退還（支付）之所得稅,-1375.0,-58670.0,-111346.0,-113815.0,-3315.0,-609446.0,-641687.0,-642685.0,-1537.0,-48868.0,-86007.0,-90201.0,-2314.0,-63085.0,-115334.0,-115540.0
預付款項（增加）減少,-204573.0,-258857.0,-285611.0,-42164.0,-9563.0,-21776.0,25260.0,37899.0,-17596.0,3529.0,10975.0,-58461.0,-21507.0,-48333.0,-161517.0,-58882.0
