,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,71402.0,104497.0,170874.0,200481.0,66472.0,139858.0,222876.0,275571.0,,,,,,,,
其他應付款增加（減少）,9282.0,26669.0,37399.0,44106.0,-47556.0,34639.0,26054.0,16769.0,-41138.0,-13613.0,43096.0,23387.0,-81560.0,-24095.0,-4493.0,-941.0
其他應收款（增加）減少,-896.0,4.0,459.0,-8263.0,2728.0,-368.0,2975.0,-8719.0,34129.0,34129.0,34129.0,34129.0,0.0,0.0,0.0,0.0
其他流動負債增加（減少）,150921.0,180785.0,165446.0,144375.0,6590.0,19831.0,90647.0,47477.0,-8426.0,-33361.0,-47069.0,-145967.0,-59302.0,24670.0,8907.0,-3946.0
其他流動資產（增加）減少,-36300.0,-14446.0,37613.0,53939.0,-14042.0,-19278.0,-29404.0,-23065.0,-4021.0,-1808.0,3552.0,19894.0,-2585.0,-20249.0,0.0,30377.0
其他非流動資產增加,,-59484.0,-63912.0,-75808.0,,-2511.0,-9788.0,-14776.0,,-6720.0,-11734.0,-7395.0,,0.0,-2975.0,-5393.0
其他項目,8715.0,4371.0,6311.0,3534.0,4784.0,5480.0,29751.0,36634.0,-2383.0,-17980.0,-34523.0,-40416.0,-70797.0,-76069.0,-84737.0,-82274.0
利息收入,-2537.0,-4759.0,-6033.0,-6761.0,-2856.0,-6547.0,-10123.0,-13722.0,-4793.0,-8845.0,-20946.0,-24612.0,-3296.0,-9654.0,-13928.0,-18077.0
利息費用,10585.0,17916.0,26720.0,30059.0,9446.0,15873.0,22449.0,26597.0,6057.0,8840.0,11650.0,15027.0,2336.0,4751.0,8009.0,10973.0
匯率變動對現金及約當現金之影響,34311.0,-15545.0,-37803.0,-33490.0,48061.0,65503.0,107752.0,119082.0,113374.0,64204.0,77299.0,29336.0,-5239.0,6076.0,-14047.0,-57055.0
取得不動產、廠房及設備,-15447.0,-34473.0,-63756.0,-100477.0,-10731.0,-24104.0,-39050.0,-101203.0,-16406.0,-35944.0,-90498.0,-118975.0,-21010.0,-29390.0,-39349.0,-91322.0
呆帳費用提列（轉列收入）數,4098.0,200.0,338.0,-1358.0,349.0,1927.0,7901.0,11995.0,-9398.0,-9791.0,-8829.0,-18715.0,2248.0,2271.0,2523.0,2406.0
存出保證金增加,-3428.0,-3440.0,-6096.0,-3505.0,34.0,-47.0,-243.0,-979.0,922.0,968.0,-7243.0,-7241.0,-58.0,-48.0,725.0,3333.0
存貨（增加）減少,-48488.0,-238358.0,-172647.0,-33637.0,-168605.0,-155755.0,-118609.0,-22996.0,59277.0,-231216.0,-199515.0,-44261.0,204532.0,333992.0,340933.0,379556.0
應付帳款增加（減少）,,59622.0,3241.0,1293.0,,19512.0,-58603.0,36460.0,,74762.0,5044.0,-1809.0,,0.0,0.0,0.0
應付票據增加（減少）,18332.0,1014.0,-11346.0,-24935.0,-13691.0,13662.0,19216.0,19523.0,-56996.0,3042.0,-7413.0,-9723.0,-91532.0,-49410.0,30046.0,-21892.0
應收帳款（增加）減少,-9376.0,16194.0,-25517.0,95769.0,-50879.0,-47659.0,-51727.0,-54397.0,27198.0,30113.0,-40298.0,3898.0,34739.0,38780.0,-19111.0,9355.0
應收票據（增加）減少,-14806.0,-32253.0,-24916.0,-18102.0,45817.0,11508.0,5236.0,11633.0,-26514.0,-8562.0,-22714.0,-4311.0,10541.0,-11849.0,-11204.0,-7596.0
投資活動之淨現金流入（流出）,98003.0,52416.0,5076.0,-45257.0,-9133.0,-62461.0,-93972.0,-387381.0,-33958.0,84095.0,5772.0,34235.0,-21459.0,-35019.0,-3969.0,-81441.0
折舊費用,56223.0,105472.0,140394.0,175648.0,43224.0,82839.0,119379.0,158801.0,35616.0,70208.0,104371.0,140121.0,31115.0,64634.0,95081.0,127485.0
攤銷費用,3086.0,5805.0,11337.0,17147.0,5519.0,11889.0,18783.0,25682.0,7855.0,14107.0,20043.0,26734.0,7795.0,15003.0,20884.0,24160.0
支付之利息,-10580.0,-17931.0,-26735.0,0.0,-8368.0,-15890.0,-22466.0,-26568.0,-6055.0,-8838.0,-11719.0,-14991.0,-2360.0,-4760.0,-8023.0,-11067.0
收取之利息,2537.0,4759.0,6033.0,6761.0,2856.0,6547.0,10123.0,13722.0,4793.0,8845.0,20957.0,24612.0,2177.0,9595.0,13871.0,18078.0
收益費損項目合計,,,,,,,,,-1112.0,103488.0,115078.0,156892.0,-17788.0,13361.0,36941.0,69603.0
期初現金及約當現金餘額,316166.0,316166.0,316166.0,316166.0,539493.0,539493.0,539493.0,539493.0,727297.0,727297.0,727297.0,727297.0,1184617.0,1184617.0,1184617.0,1184617.0
期末現金及約當現金餘額,477994.0,415245.0,361834.0,539493.0,688217.0,853714.0,798484.0,727297.0,883024.0,904630.0,908354.0,1184617.0,1363469.0,1564237.0,1671070.0,1898270.0
本期現金及約當現金增加（減少）數,161828.0,99079.0,45668.0,223327.0,148724.0,314221.0,258991.0,187804.0,155727.0,177333.0,181057.0,457320.0,178852.0,379620.0,486453.0,713653.0
本期稅前淨利（淨損）,141538.0,260827.0,415133.0,530696.0,176235.0,317132.0,397410.0,533233.0,256886.0,413955.0,619691.0,605915.0,141653.0,315244.0,547361.0,820963.0
營業活動之淨現金流入（流出）,327242.0,324905.0,452104.0,844581.0,618.0,265744.0,369046.0,714649.0,217158.0,272111.0,379462.0,725123.0,126386.0,479629.0,698258.0,1064493.0
營運產生之現金流入（流出）,335286.0,398963.0,572347.0,985722.0,16778.0,333082.0,479881.0,831489.0,239283.0,370929.0,518917.0,826092.0,138698.0,562896.0,845628.0,1215231.0
發放現金股利,,,,-72000.0,,,-240000.0,-240000.0,,,0.0,-240000.0,,,0.0,-240000.0
籌資活動之淨現金流入（流出）,-297728.0,-262697.0,-373709.0,-542507.0,109178.0,45435.0,-123835.0,-258546.0,-140847.0,-243077.0,-281476.0,-331374.0,79164.0,-71066.0,-193789.0,-212344.0
繼續營業單位稅前淨利（淨損）,141538.0,260827.0,415133.0,530696.0,176235.0,317132.0,397410.0,533233.0,256886.0,413955.0,619691.0,605915.0,141653.0,315244.0,547361.0,820963.0
與營業活動相關之負債之淨變動合計,178535.0,268090.0,194740.0,164839.0,-54657.0,87644.0,78988.0,120229.0,-106560.0,30830.0,-6342.0,53936.0,-232394.0,-106383.0,-26688.0,-87027.0
與營業活動相關之資產之淨變動合計,-56189.0,-234451.0,-208400.0,89706.0,-171272.0,-211552.0,-219393.0,-97544.0,90069.0,-177344.0,-209510.0,9349.0,247227.0,340674.0,288014.0,411692.0
與營業活動相關之資產及負債之淨變動合計,122346.0,33639.0,-13660.0,254545.0,-225929.0,-123908.0,-140405.0,22685.0,-16491.0,-146514.0,-215852.0,63285.0,14833.0,234291.0,261326.0,324665.0
處分不動產、廠房及設備,,218.0,218.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
處分及報廢不動產、廠房及設備損失（利益）,252.0,595.0,7985.0,9516.0,153.0,810.0,5502.0,887.0,0.0,464.0,-62.0,1053.0,379.0,420.0,-25.0,-4.0
處分投資損失（利益）,,,,,,,,,-66438.0,,,,0.0,,,
調整項目合計,193748.0,138136.0,157214.0,455026.0,-159457.0,15950.0,82471.0,298256.0,-17603.0,-43026.0,-100774.0,220177.0,-2955.0,247652.0,298267.0,394268.0
資產負債表帳列之現金及約當現金,477994.0,415245.0,361834.0,539493.0,688217.0,853714.0,798484.0,727297.0,883024.0,904630.0,908354.0,1184617.0,1363469.0,1564237.0,1671070.0,1898270.0
退還（支付）之所得稅,-1.0,-60886.0,-99541.0,-123632.0,-10648.0,-57995.0,-105728.0,-113524.0,-20863.0,-98825.0,-152925.0,-117211.0,-12129.0,-88294.0,-160916.0,-168144.0
預付款項（增加）減少,53677.0,34408.0,-23392.0,0.0,13709.0,0.0,-27864.0,0.0,0.0,0.0,15336.0,0.0,0.0,0.0,-22604.0,0.0
