,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,62024.0,4.95,-304521.0,-22.92,339451.0,25.26,367741.0,6.86,86849.0,6.98,56448.0,4.23,-225052.0,-16.85,-138435.0,-2.61,-104833.0,-8.36,397417.0,30.37,-992701.0,-72.68,-483393.0,-9.11,78851.0,6.02,133150.0,10.0,623534.0,47.72,803327.0,15.38
其他利益及損失淨額,2408.0,0.19,8337.0,0.63,2530.0,0.19,33018.0,0.62,6927.0,0.56,7061.0,0.53,5869.0,0.44,16702.0,0.31,-2297.0,-0.18,-4220.0,-0.32,2024.0,0.15,-8759.0,-0.17,680.0,0.05,-16796.0,-1.26,-3087.0,-0.24,-161324.0,-3.09
其他收入,12934.0,1.03,3587.0,0.27,79997.0,5.95,97742.0,1.82,1998.0,0.16,2907.0,0.22,121772.0,9.12,134615.0,2.54,2415.0,0.19,3119.0,0.24,143138.0,10.48,151010.0,2.85,1080.0,0.08,1538.0,0.12,163014.0,12.48,173454.0,3.32
其他綜合損益（淨額）,343071.0,27.36,-1341674.0,-100.98,870189.0,64.75,627151.0,11.69,242319.0,19.46,13917.0,1.04,-899248.0,-67.32,-57109.0,-1.08,-460166.0,-36.7,942125.0,72.0,-2334077.0,-170.9,-1738570.0,-32.78,141404.0,10.79,50203.0,3.77,1009006.0,77.22,753342.0,14.42
國外營運機構財務報表換算之兌換差額,42031.0,3.35,19521.0,1.47,-17720.0,-1.32,90135.0,1.68,5847.0,0.47,-28425.0,-2.13,33220.0,2.49,61645.0,1.16,-14986.0,-1.2,-20845.0,-1.59,70229.0,5.14,-988.0,-0.02,-14320.0,-1.09,-22421.0,-1.68,-42748.0,-3.27,-80013.0,-1.53
基本每股盈餘,0.27,,0.39,,0.49,,1.57,,0.78,,0.54,,0.5,,2.01,,0.33,,0.84,,0.37,,1.59,,0.38,,0.66,,0.78,,2.37,
所得稅費用（利益）合計,2564.0,0.2,61115.0,4.6,5082.0,0.38,53760.0,1.0,16266.0,1.31,50737.0,3.81,10486.0,0.78,79740.0,1.5,6352.0,0.51,17403.0,1.33,7336.0,0.54,5444.0,0.1,7701.0,0.59,13613.0,1.02,71618.0,5.48,90326.0,1.73
推銷費用,48743.0,3.89,47777.0,3.6,48988.0,3.65,201477.0,3.76,51215.0,4.11,54745.0,4.11,51741.0,3.87,213776.0,4.03,57669.0,4.6,72168.0,5.52,83345.0,6.1,299560.0,5.65,83928.0,6.4,85537.0,6.42,90027.0,6.89,349977.0,6.7
本期淨利（淨損）,229649.0,18.31,328651.0,24.74,409823.0,30.49,1322356.0,24.65,660832.0,53.08,457100.0,34.29,417568.0,31.26,1688479.0,31.84,282478.0,22.53,715225.0,54.66,323255.0,23.67,1407994.0,26.54,339308.0,25.89,583507.0,43.83,712559.0,54.54,2141358.0,41.0
本期綜合損益總額,572720.0,45.67,-1013023.0,-76.25,1280012.0,95.24,1949507.0,36.34,903151.0,72.54,471017.0,35.34,-481680.0,-36.06,1631370.0,30.77,-177688.0,-14.17,1657350.0,126.66,-2010822.0,-147.23,-330576.0,-6.23,480712.0,36.68,633710.0,47.6,1721565.0,131.76,2894700.0,55.42
