,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,-135871.0,-432965.0,3929.0,-118032.0,-568519.0,-972873.0,-169577.0,-173623.0,,,,,,,,
其他應付款增加（減少）,-27599.0,-47160.0,-50701.0,-1283.0,-3417.0,-712.0,9095.0,-6607.0,-14439.0,-3930.0,2445.0,38145.0,-20419.0,1266.0,23149.0,39909.0
其他應收款（增加）減少,-6788.0,29113.0,15298.0,1559.0,3031.0,-12816.0,-7894.0,1594.0,2753.0,-220.0,-3477.0,3668.0,-95.0,652.0,-142540.0,-52506.0
其他流動負債增加（減少）,2512.0,-3829.0,3213.0,1861.0,5491.0,-10687.0,-16341.0,996.0,5959.0,3027.0,8798.0,1703.0,5997.0,8076.0,11152.0,-723.0
其他流動資產（增加）減少,-4471.0,22480.0,,-20342.0,22984.0,34412.0,34851.0,20328.0,9900.0,1327.0,-13250.0,5466.0,-388.0,-13169.0,-10476.0,-7291.0
其他非流動資產增加,-399.0,-28000.0,-35966.0,-39038.0,-6206.0,-14209.0,-11243.0,-17733.0,-8376.0,-14206.0,-15568.0,-17092.0,-2050.0,-70201.0,-10018.0,-65350.0
其他項目,,,,,,,,,,,,,,,,-3242.0
利息收入,-5587.0,-8253.0,-11235.0,-18559.0,-1998.0,-3961.0,-5316.0,-8809.0,-2148.0,-4370.0,-5745.0,-7870.0,-830.0,-2163.0,-4616.0,-6369.0
利息費用,12544.0,24918.0,38774.0,51422.0,12025.0,23733.0,35801.0,46854.0,10072.0,20616.0,31085.0,41506.0,9312.0,18313.0,27054.0,36655.0
匯率變動對現金及約當現金之影響,20233.0,25387.0,21042.0,16319.0,884.0,-4658.0,5476.0,20741.0,-2084.0,-5821.0,1971.0,13291.0,24414.0,-9122.0,-14928.0,-2086.0
取得不動產、廠房及設備,-25066.0,-8917.0,-18426.0,-25172.0,-1266.0,-8252.0,-23081.0,-45306.0,-8406.0,-73824.0,-92338.0,-112418.0,-18558.0,-55720.0,-119973.0,-184380.0
呆帳費用提列（轉列收入）數,-1770.0,-2396.0,-2210.0,-3469.0,-1165.0,-1784.0,-3098.0,-3181.0,712.0,1254.0,2633.0,3021.0,1919.0,2783.0,2618.0,4271.0
存入保證金增加,,59.0,109.0,176.0,89.0,90.0,2103.0,12257.0,0.0,-1529.0,-23.0,0.0,35.0,1406.0,,86.0
存出保證金增加,,0.0,0.0,0.0,-438.0,-729.0,-877.0,,0.0,-2350.0,-3204.0,,-2049.0,-3795.0,-3413.0,-3445.0
存貨（增加）減少,47110.0,44143.0,-5698.0,43470.0,-113855.0,-377314.0,-237704.0,-61615.0,13581.0,-503720.0,-143093.0,-32775.0,150074.0,345434.0,187444.0,233474.0
應付帳款增加（減少）,-13637.0,-36517.0,-13408.0,-14253.0,-62250.0,28427.0,-15978.0,-29098.0,-37941.0,201247.0,10711.0,-15789.0,11105.0,21056.0,4555.0,45732.0
應付票據增加（減少）,-245.0,1037.0,651.0,0.0,-134.0,-785.0,350.0,-187.0,-427.0,807.0,1506.0,-58.0,1268.0,783.0,444.0,-492.0
