,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,24556.0,48442.0,93213.0,123045.0,31124.0,59560.0,94992.0,109546.0,,,,,,,,
償還公司債,,,,,,,,,,,-400000.0,-400000.0,,,0.0,0.0
其他應付款增加（減少）,8867.0,31700.0,29356.0,37811.0,-45164.0,-27203.0,-35870.0,-10734.0,-29719.0,-20833.0,-20063.0,-9956.0,-24201.0,-6149.0,-8636.0,-19762.0
其他應收款（增加）減少,-844.0,-353.0,-5170.0,3369.0,-3005.0,-56.0,-3996.0,-287.0,-4454.0,1518.0,-1314.0,-408.0,-448.0,-147.0,-5602.0,506.0
其他流動負債增加（減少）,2194.0,-1311.0,1478.0,512.0,2176.0,604.0,973.0,1693.0,393.0,3005.0,2623.0,2166.0,-691.0,-1315.0,2686.0,-3898.0
其他流動資產（增加）減少,1405.0,-28640.0,-8364.0,5527.0,397.0,-2930.0,-6129.0,-5410.0,1074.0,-1574.0,-2369.0,4929.0,-7051.0,-1419.0,-3947.0,-307.0
其他符合國際會計準則第七號現金及約當現金定義之項目,,,,,,,,0.0,,,,,,,,
其他項目,5758.0,4727.0,3343.0,1409.0,5480.0,5137.0,13356.0,2356.0,4750.0,2869.0,1268.0,-184.0,5826.0,3927.0,2714.0,2153.0
利息收入,-575.0,-1625.0,-1946.0,-2294.0,-74.0,-793.0,-2106.0,-3096.0,-173.0,-524.0,-646.0,-996.0,-287.0,-985.0,-1482.0,-2328.0
利息費用,1752.0,3510.0,5273.0,6043.0,1526.0,3311.0,5617.0,7688.0,1550.0,3105.0,8402.0,10347.0,1837.0,3684.0,5948.0,8150.0
匯率變動對現金及約當現金之影響,-11544.0,-14599.0,-14862.0,-17366.0,-4005.0,2152.0,-1059.0,-9826.0,4532.0,5760.0,11411.0,13208.0,-6205.0,-3287.0,-20243.0,-5030.0
取得不動產、廠房及設備,-56412.0,-120698.0,-166715.0,-230283.0,-25297.0,-38743.0,-46721.0,-51934.0,-4692.0,-10799.0,-15224.0,-18898.0,-3886.0,-10832.0,-16613.0,-32428.0
取得以成本衡量之金融資產,,,,,,,,,,,,,,-8115.0,-8115.0,-8115.0
取得備供出售金融資產,-199149.0,-364350.0,-404850.0,-618350.0,-75000.0,-129500.0,-171500.0,-284500.0,-40000.0,-40000.0,-732000.0,-827900.0,-125887.0,-125887.0,-125887.0,-125887.0
取得無形資產,-961.0,-6041.0,-7154.0,-17404.0,-1016.0,-4341.0,-11247.0,-13480.0,-2677.0,-3074.0,-4738.0,-7764.0,-2987.0,-3574.0,-4585.0,-6027.0
取得無活絡市場之債券投資,,,,-900.0,,,,0.0,,,,,,,,
取得無活絡市場之債務工具投資,,,,,,,,,,,0.0,,-6200.0,-200.0,-200.0,-200.0
呆帳費用提列（轉列收入）數,,,,0.0,,,,,,,,10520.0,3000.0,6000.0,9000.0,14737.0
存入保證金增加,12.0,11.0,9.0,9.0,0.0,0.0,0.0,0.0,,18.0,18.0,18.0,,0.0,,0.0
存入保證金減少,,,,,,,,,,,,,,,112.0,110.0
存出保證金增加,-77.0,310.0,-111.0,643.0,0.0,-56.0,-61.0,100.0,-50.0,-15.0,-6.0,-227.0,0.0,-178.0,-5.0,0.0
存出保證金減少,,,,,,,,,,,,0.0,279.0,,,174.0
存貨（增加）減少,95260.0,116211.0,103090.0,69258.0,13755.0,-20628.0,-32076.0,5849.0,11490.0,21641.0,84095.0,51642.0,-27702.0,-360.0,-64149.0,-92432.0
應付帳款增加（減少）,-24416.0,9140.0,-14078.0,-21594.0,25919.0,40489.0,31333.0,36919.0,27373.0,-5722.0,-30832.0,16081.0,13426.0,9472.0,17584.0,-10297.0
應付帳款－關係人增加（減少）,2135.0,2552.0,4395.0,1826.0,-87.0,37.0,-285.0,-827.0,811.0,1014.0,-193.0,-707.0,352.0,1098.0,2328.0,
應付票據增加（減少）,4851.0,9246.0,17232.0,18753.0,-18895.0,-10481.0,-11781.0,-12104.0,13308.0,11959.0,-4058.0,13832.0,12720.0,456.0,18663.0,21910.0
應收帳款（增加）減少,-32274.0,-90035.0,-211025.0,-122442.0,-13658.0,-113069.0,-99633.0,-55230.0,44171.0,43360.0,11597.0,7283.0,-48339.0,-129664.0,6932.0,73874.0
應收帳款－關係人（增加）減少,,3.0,-29.0,3.0,-13737.0,7592.0,-6256.0,-36715.0,-36013.0,-33589.0,-33663.0,-30951.0,12142.0,-8607.0,-17445.0,-19642.0
應計退休金負債增加（減少）,-809.0,-1627.0,-2472.0,-3322.0,-852.0,-1727.0,-2600.0,-3472.0,,,,,,,,
