,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,1628.0,0.03,-22176.0,-0.5,1559.0,0.03,-14007.0,-0.07,7921.0,0.15,10499.0,0.23,-24274.0,-0.41,-7620.0,-0.03,14102.0,0.2,5626.0,0.11,-32171.0,-0.47,-9085.0,-0.04,-2786.0,-0.04,-7083.0,-0.14,166773.0,2.42,156698.0,0.58
其他利益及損失淨額,72583.0,1.43,12127.0,0.27,-1889.0,-0.03,186499.0,0.92,-11085.0,-0.21,-8358.0,-0.18,29983.0,0.51,50460.0,0.23,1822.0,0.03,12343.0,0.24,42417.0,0.62,32973.0,0.13,19321.0,0.26,51304.0,0.98,82313.0,1.19,212147.0,0.78
其他收入,23863.0,0.47,19971.0,0.45,18019.0,0.32,82122.0,0.4,20735.0,0.39,20328.0,0.44,26557.0,0.45,86398.0,0.4,21731.0,0.3,24931.0,0.48,31750.0,0.46,101685.0,0.4,24140.0,0.33,19200.0,0.37,27028.0,0.39,109660.0,0.41
其他綜合損益（淨額）,98957.0,1.95,49222.0,1.11,-30379.0,-0.55,159561.0,0.78,56595.0,1.07,-63403.0,-1.37,52945.0,0.9,223874.0,1.03,-58867.0,-0.82,-32806.0,-0.64,81443.0,1.18,-191612.0,-0.75,-105677.0,-1.42,-157282.0,-3.01,-65808.0,-0.95,-438072.0,-1.62
國外營運機構財務報表換算之兌換差額,119413.0,2.35,82160.0,1.85,-38360.0,-0.69,236193.0,1.16,59570.0,1.12,-89699.0,-1.94,92371.0,1.57,305236.0,1.4,-86811.0,-1.21,-46435.0,-0.9,136736.0,1.98,-137477.0,-0.54,-124001.0,-1.67,-180890.0,-3.46,-280117.0,-4.06,-668267.0,-2.47
基本每股盈餘,1.23,,0.51,,0.61,,2.83,,0.82,,0.46,,0.98,,2.9,,1.27,,0.52,,1.08,,3.47,,1.11,,0.53,,0.7,,2.98,
所得稅費用（利益）合計,142574.0,2.81,77081.0,1.74,89547.0,1.61,385422.0,1.89,114013.0,2.15,72611.0,1.57,142005.0,2.42,479665.0,2.2,295884.0,4.12,22559.0,0.44,205505.0,2.98,646084.0,2.53,229889.0,3.1,90998.0,1.74,154733.0,2.25,642049.0,2.37
推銷費用,708117.0,13.95,673699.0,15.17,830744.0,14.91,3106699.0,15.24,611136.0,11.52,718526.0,15.55,864758.0,14.74,3159721.0,14.49,993229.0,13.83,1011036.0,19.6,1022650.0,14.84,3967746.0,15.55,1066296.0,14.37,893163.0,17.06,1062968.0,15.43,4116526.0,15.2
本期淨利（淨損）,699669.0,13.78,335656.0,7.56,404961.0,7.27,1862855.0,9.14,542165.0,10.22,327010.0,7.08,702404.0,11.98,2090360.0,9.59,918848.0,12.79,379302.0,7.35,853491.0,12.39,2752467.0,10.79,878890.0,11.84,422368.0,8.07,620789.0,9.01,2637756.0,9.74
本期綜合損益總額,798626.0,15.73,384878.0,8.67,374582.0,6.72,2022416.0,9.92,598760.0,11.28,263607.0,5.7,755349.0,12.88,2314234.0,10.62,859981.0,11.97,346496.0,6.72,934934.0,13.57,2560855.0,10.04,773213.0,10.42,265086.0,5.06,554981.0,8.05,2199684.0,8.12
