,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,"97,655","97,655","135,244","205,092","257,073","77,224","165,439","237,107","337,077",,,,,,,
備供出售金融資產減資退回股款,,,,,,,,,,,"10,009","10,009","10,922",,0,0
償還長期借款,"-148,650","-148,650","-148,650","-302,577","-307,961","-149,653","-146,935","-301,755","-312,506","-928,651","-915,579","-915,579","-919,629",0,0,0
其他應付款增加（減少）,"-10,746","-10,746","-45,026","-29,445","20,603","-18,128","6,425","-30,699","17,225","-29,829","-36,601","22,288",-949,"-38,698","-41,354","-61,610"
其他應收款減少,,,"195,520","195,520","195,520",0,0,0,0,,,,0,,,
其他應收款（增加）減少,"139,902","139,902","24,313","13,433","-14,489","41,981","43,035","24,908","27,242","15,758","13,885","13,698","12,759","2,798",196,"5,582"
其他流動負債增加（減少）,"16,995","16,995","28,352","34,710","21,975","-4,451","2,232","40,943","5,103",276,"4,660","3,197","-8,063","17,637","6,008","26,247"
其他流動資產（增加）減少,"-5,508","-5,508","-1,809","-2,543",348,"-8,472",-234,-240,-19,-236,-58,-104,265,13,15,15
其他營業資產（增加）減少,,,,,,,,-685,"-9,389",,,,0,0,,
其他金融資產增加,,,"-15,000","-21,973","-22,699",,0,0,0,,,,,,,"-4,693"
其他金融資產減少,,,,,,,"21,676","21,675","21,675",,0,0,0,,,
其他非流動負債增加,,,"77,100","48,600","71,500","1,500",0,0,0,0,,,,,,
其他非流動負債減少,,,,,,,"-14,000","-36,818","-3,339","-43,290","-67,489","-86,131","-70,631","-15,500","-12,000","-15,500"
其他非流動資產增加,,,0,"-7,867","-13,852",,,,,0,,0,,,,
其他非流動資產減少,,,,,0,"19,566","23,533",,,"-5,435",,,,,,
其他項目,939,939,"1,890","2,833","3,805",970,"1,912","2,860","3,840",985,"1,954","2,937","3,928",985,"1,950","2,876"
利息收入,"-2,926","-2,926","-6,128","-8,954","-13,821","-3,915","-8,358","-11,337","-13,975","-2,161","-5,209","-7,885","-10,072","-1,618","-3,240","-4,438"
利息費用,"9,926","9,926","17,346","25,657","37,923","10,592","23,093","31,077","38,317","6,515","11,825","17,582","24,906","6,863","14,026","21,336"
