,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,"4,369,216",45.86,"4,369,216",45.86,"4,388,908",45.37,"4,306,890",45.97,"4,336,312",44.3,"4,292,902",43.81,"4,226,145",42.89,"4,259,576",46.8,"4,273,522",46.03,"4,201,028",46.34,"4,127,614",45.68,"4,239,371",45.81,"4,094,343",47.41,"4,030,285",47.4,"3,923,391",46.47,"3,823,915",46.02
以成本衡量之金融資產－非流動淨額,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
保留盈餘合計,"1,753,470",18.4,"1,753,470",18.4,"1,662,409",17.19,"1,683,481",17.97,"1,794,838",18.33,"1,880,558",19.19,"1,486,854",15.09,"1,520,303",16.7,"1,568,770",16.9,"1,579,272",17.42,"1,477,375",16.35,"1,444,945",15.61,"1,489,929",17.25,"1,478,347",17.39,"1,467,217",17.38,"1,497,743",18.03
備供出售金融資產未實現損益,"77,105",0.81,"77,105",0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備供出售金融資產－流動淨額,"324,986",3.41,"324,986",3.41,"249,518",2.58,"307,536",3.28,"244,630",2.5,"336,276",3.43,"307,428",3.12,"154,745",1.7,"228,096",2.46,"262,773",2.9,"238,341",2.64,"231,930",2.51,"120,983",1.4,"228,019",2.68,"182,103",2.16,"176,598",2.13
備供出售金融資產－非流動淨額,"298,182",3.13,"298,182",3.13,"298,102",3.08,"304,045",3.25,"306,739",3.13,"304,531",3.11,"291,306",2.96,"265,472",2.92,"260,065",2.8,"259,667",2.86,"244,156",2.7,"253,427",2.74,"253,035",2.93,"255,001",3.0,"242,811",2.88,"257,151",3.09
其他應付款,"408,693",4.29,"408,693",4.29,"534,231",5.52,"399,873",4.27,"407,676",4.16,"390,774",3.99,"867,231",8.8,"326,983",3.59,"381,153",4.11,"297,976",3.29,"374,865",4.15,"773,463",8.36,"326,624",3.78,"270,734",3.18,"339,085",4.02,"241,605",2.91
其他應收款淨額,"98,364",1.03,"98,364",1.03,"18,514",0.19,"29,542",0.32,"49,765",0.51,"8,170",0.08,"6,628",0.07,"24,651",0.27,"22,395",0.24,"6,645",0.07,"8,444",0.09,"9,553",0.1,"9,391",0.11,"6,563",0.08,"9,151",0.11,"4,115",0.05
其他權益合計,"75,647",0.79,"75,647",0.79,"94,198",0.97,"82,214",0.88,"119,409",1.22,"112,571",1.15,"67,801",0.69,"120,068",1.32,"167,234",1.8,"149,762",1.65,"115,954",1.28,"180,968",1.96,"119,858",1.39,"122,286",1.44,"68,200",0.81,"45,594",0.55
其他流動負債,"336,442",3.53,"336,442",3.53,"347,799",3.6,"359,930",3.84,"349,969",3.58,"422,427",4.31,"422,308",4.29,"1,001,698",11.0,"989,903",10.66,"55,441",0.61,"59,825",0.66,"58,362",0.63,"47,102",0.55,"161,115",1.89,"149,494",1.77,"261,382",3.15
