,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y,營業收入淨額_x,營業收入淨額_y
本月,111772.0,37126.0,147500.0,98998.0,70909.0,103992.0,88107.0,64607.0,52041.0,80400.0,88331.0,100215.0,111160.0,64180.0,73755.0,95643.0,94471.0,52423.0,61969.0,14584.0,86097.0,107809.0,75632.0,108981.0,36984.0,53152.0,166572.0,92121.0,93789.0,97009.0,65126.0,93126.0,107638.0,112269.0,107794.0,136520.0,103458.0,53791.0,109236.0,117920.0,96939.0,81811.0,133344.0,111343.0,89060.0,58174.0,100609.0,137670.0
本年累計,111772.0,148898.0,296398.0,395396.0,466305.0,570297.0,658404.0,723011.0,775052.0,855452.0,943783.0,1043998.0,111160.0,175340.0,249095.0,344738.0,439209.0,491632.0,553601.0,568185.0,654282.0,762091.0,837723.0,946704.0,36984.0,90136.0,256708.0,348829.0,442618.0,539627.0,604753.0,697879.0,805517.0,917786.0,1025580.0,1162100.0,103458.0,157249.0,266485.0,384405.0,481344.0,563155.0,696499.0,807842.0,896902.0,955076.0,1055685.0,1193355.0
