,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,2194474.0,72.13,2188025.0,72.19,2204758.0,72.53,2210931.0,72.72,2229846.0,71.91,2237989.0,72.31,2249643.0,71.14,1815786.0,56.61,1807688.0,65.13,1810801.0,66.59,1807751.0,66.12,1838916.0,64.06,1847692.0,64.48,1850324.0,67.65,1844476.0,67.27,1837806.0,67.43
以成本衡量之金融資產－非流動淨額,,,,,,,9838.0,0.32,9838.0,0.32,9838.0,0.32,24838.0,0.79,24838.0,0.77,18476.0,0.67,18476.0,0.68,33476.0,1.22,33115.0,1.15,33115.0,1.16,33115.0,1.21,33115.0,1.21,33115.0,1.21
保留盈餘合計,587980.0,19.33,517002.0,17.06,523835.0,17.23,526989.0,17.33,538801.0,17.38,485325.0,15.68,463629.0,14.66,461637.0,14.39,662302.0,23.86,636701.0,23.41,668719.0,24.46,728805.0,25.39,746320.0,26.05,630098.0,23.04,644039.0,23.49,671989.0,24.65
備供出售金融資產未實現損益,-2108.0,-0.07,-3365.0,-0.11,16747.0,0.55,14484.0,0.48,15239.0,0.49,13982.0,0.45,3172.0,0.1,-851.0,-0.03,-851.0,-0.03,-6382.0,-0.23,-17444.0,-0.64,-4119.0,-0.14,-6131.0,-0.21,-11159.0,-0.41,-12165.0,-0.44,-11913.0,-0.44
備供出售金融資產－非流動淨額,101317.0,3.33,100060.0,3.3,120172.0,3.95,117909.0,3.88,118664.0,3.83,117407.0,3.79,106597.0,3.37,102574.0,3.2,102574.0,3.7,97043.0,3.57,85981.0,3.14,99306.0,3.46,97294.0,3.4,92266.0,3.37,91260.0,3.33,91512.0,3.36
其他應付款,86099.0,2.83,212384.0,7.01,93069.0,3.06,87910.0,2.89,84390.0,2.72,162110.0,5.24,87544.0,2.77,86784.0,2.71,80003.0,2.88,125366.0,4.61,91850.0,3.36,114679.0,3.99,103458.0,3.61,221882.0,8.11,107398.0,3.92,111645.0,4.1
其他應收款淨額,8585.0,0.28,11326.0,0.37,7685.0,0.25,6559.0,0.22,10709.0,0.35,9569.0,0.31,23580.0,0.75,15105.0,0.47,20278.0,0.73,17126.0,0.63,21690.0,0.79,13604.0,0.47,14877.0,0.52,13012.0,0.48,14884.0,0.54,6642.0,0.24
其他權益合計,-2352.0,-0.08,-3579.0,-0.12,16377.0,0.54,14207.0,0.47,15752.0,0.51,13746.0,0.44,3096.0,0.1,-425.0,-0.01,-565.0,-0.02,-6291.0,-0.23,-16329.0,-0.6,-3018.0,-0.11,-5249.0,-0.18,-10266.0,-0.38,-11714.0,-0.43,-11039.0,-0.41
其他流動負債,55672.0,1.83,106049.0,3.5,96761.0,3.18,135860.0,4.47,112504.0,3.63,106799.0,3.45,107093.0,3.39,93018.0,2.9,4026.0,0.15,3199.0,0.12,1469.0,0.05,53745.0,1.87,5892.0,0.21,2485.0,0.09,3052.0,0.11,33389.0,1.22
其他非流動負債,27830.0,0.91,24331.0,0.8,20836.0,0.69,16256.0,0.53,12364.0,0.4,8490.0,0.27,4494.0,0.14,3214.0,0.1,1014.0,0.04,1912.0,0.07,266.0,0.01,266.0,0.01,266.0,0.01,266.0,0.01,266.0,0.01,266.0,0.01
其他非流動資產,2493.0,0.08,3639.0,0.12,3604.0,0.12,2185.0,0.07,1293.0,0.04,1291.0,0.04,1293.0,0.04,1296.0,0.04,1296.0,0.05,2294.0,0.08,4319.0,0.16,5514.0,0.19,6676.0,0.23,7898.0,0.29,9193.0,0.34,10451.0,0.38
國外營運機構財務報表換算之兌換差額,-244.0,-0.01,-214.0,-0.01,-370.0,-0.01,-277.0,-0.01,513.0,0.02,-236.0,-0.01,-76.0,0.0,426.0,0.01,286.0,0.01,91.0,0.0,1115.0,0.04,1101.0,0.04,882.0,0.03,893.0,0.03,451.0,0.02,874.0,0.03
存貨,388324.0,12.76,378996.0,12.5,389412.0,12.81,340243.0,11.19,391967.0,12.64,414717.0,13.4,470277.0,14.87,438321.0,13.67,445287.0,16.04,418437.0,15.39,458374.0,16.76,430647.0,15.0,462430.0,16.14,449355.0,16.43,376443.0,13.73,401754.0,14.74
待出售非流動資產（淨額）,,,,,,,,,,,,,,,446162.0,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,
應付帳款,87627.0,2.88,56569.0,1.87,60677.0,2.0,58784.0,1.93,84881.0,2.74,70139.0,2.27,78502.0,2.48,88410.0,2.76,114459.0,4.12,69342.0,2.55,64122.0,2.35,62338.0,2.17,81508.0,2.84,61296.0,2.24,46274.0,1.69,70676.0,2.59
應付短期票券,69917.0,2.3,69907.0,2.31,69964.0,2.3,69916.0,2.3,89978.0,2.9,89898.0,2.9,159738.0,5.05,189795.0,5.92,219696.0,7.92,189810.0,6.98,189737.0,6.94,189866.0,6.61,169732.0,5.92,219891.0,8.04,219805.0,8.02,169898.0,6.23
應付票據,,,,,1668.0,0.05,315.0,0.01,0.0,0.0,1710.0,0.06,2339.0,0.07,893.0,0.03,0.0,0.0,1710.0,0.06,1035.0,0.04,360.0,0.01,0.0,0.0,0.0,0.0,1025.0,0.04,345.0,0.01
應收帳款淨額,123141.0,4.05,119734.0,3.95,74079.0,2.44,103048.0,3.39,94592.0,3.05,44184.0,1.43,89135.0,2.82,101438.0,3.16,184418.0,6.64,144715.0,5.32,123025.0,4.5,226071.0,7.88,145697.0,5.08,127483.0,4.66,197183.0,7.19,160584.0,5.89
應收帳款－關係人淨額,8568.0,0.28,3536.0,0.12,3143.0,0.1,2057.0,0.07,5018.0,0.16,5759.0,0.19,6126.0,0.19,12395.0,0.39,1645.0,0.06,776.0,0.03,2384.0,0.09,2327.0,0.08,15153.0,0.53,15914.0,0.58,6374.0,0.23,12555.0,0.46
應收票據淨額,3105.0,0.1,3706.0,0.12,3921.0,0.13,1374.0,0.05,3035.0,0.1,3871.0,0.13,3690.0,0.12,1445.0,0.05,1275.0,0.05,614.0,0.02,874.0,0.03,1054.0,0.04,1073.0,0.04,2425.0,0.09,3425.0,0.12,621.0,0.02
投資性不動產淨額,10700.0,0.35,10700.0,0.35,10700.0,0.35,10700.0,0.35,10700.0,0.35,10700.0,0.35,10700.0,0.34,10700.0,0.33,10700.0,0.39,10700.0,0.39,10700.0,0.39,10700.0,0.37,10700.0,0.37,10700.0,0.39,10700.0,0.39,10700.0,0.39
普通股股本,775600.0,25.49,775600.0,25.59,775600.0,25.51,775600.0,25.51,775600.0,25.01,775600.0,25.06,775600.0,24.53,775600.0,24.18,775600.0,27.94,775600.0,28.52,775600.0,28.37,775600.0,27.02,775600.0,27.07,775600.0,28.36,775600.0,28.29,775600.0,28.46
