102年1月,51.66
2月,52.19
3月,51.61
4月,51.72
5月,49.18
6月,46.98
7月,46.74
8月,47.66
9月,52.56
10月,54.97
11月,53.13
12月,50.66
103年1月,50.34
2月,51.31
3月,51.18
4月,47.25
5月,44.22
6月,44.68
7月,44.05
8月,38.41
9月,36.48
10月,34.45
11月,32.55
12月,33.51
104年1月,33.36
2月,31.75
3月,31.82
4月,34.68
5月,33.46
6月,31.57
7月,33.2
8月,29.35
9月,29.8
10月,32.87
11月,36.05
12月,40.55
105年1月,39.14
2月,41.33
3月,39.3
4月,36.71
5月,33.88
6月,32.69
7月,31.49
8月,29.9
9月,29.67
10月,28.21
11月,26.43
12月,26.6
