,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,"-74,397","-74,397","15,635","-193,065","-1,127,029","137,178","86,174","-98,373","252,402",,,,,,,
以成本衡量之金融資產減資退回股款,,,"4,500","4,500","4,500",,"10,935","10,935","16,848",,0,"4,730","4,730",,"5,792","5,792"
償還長期借款,"-89,790","-89,790","-838,454","-988,108","-690,149","-237,941","-111,099",0,0,"-934,097","-431,537",,,"-441,515","-750,085","-3,282,883"
其他應付款增加（減少）,"44,278","44,278","-38,204","-50,022","-6,737","-53,346","-30,867","-77,666","-34,007","-39,040","-37,942","-113,353","-40,558","-20,051","-29,956","-17,376"
其他應付款－關係人增加,,,,,,,,,,,,0,,,,
其他應付款－關係人增加（減少）,,,"-4,176","-4,176","-4,176",,0,"17,075",0,,,,,,,
其他應收款增加,,,,,,,"-125,584","-116,865",,,"121,695","55,077",,,,
其他應收款（增加）減少,"22,775","22,775","18,971","22,205","4,149","25,786","22,416","22,900","30,744","23,175","15,784","8,329","13,242","4,107","3,401",355
其他應收款－關係人增加,,,,,,,,,"-196,136",,,,0,"-102,282","-91,169","-75,975"
其他應收款－關係人減少,,,,,,,,,,"14,824",,,"68,754",,0,
其他應收款－關係人（增加）減少,0,0,0,0,-510,,,,"-10,977",,,,0,,,
其他流動負債增加（減少）,"17,948","17,948","1,217","17,130","1,983","13,212","-1,495","-1,298","2,418","1,625","2,408",37,-333,744,"-9,985","-11,255"
其他流動資產（增加）減少,"-8,883","-8,883","3,622","32,393","35,105","-19,927","-17,450","-15,916",-631,"2,405",251,"1,575","7,583",0,"9,864","9,813"
其他營業負債增加（減少）,,,"-1,067","-2,056",-123,-31,-564,-93,-29,0,-60,,,,,
其他營業資產（增加）減少,"13,255","13,255","13,637","15,649","-318,568","-534,847","-610,563","-999,011","-924,980","2,479","5,983",,,,,
其他金融資產增加,"-84,929","-84,929","-45,592","-307,217","-503,844","-56,436","-547,495","-538,333","-197,537","-36,305","-111,213","-1,244,224","-1,107,989","-91,334","-63,685","-486,420"
其他金融資產減少,,,,"186,377","186,429","632,382","69,398","164,754","133,088","231,566","97,625","116,123","27,937","1,042,560","751,300","1,306,942"
其他非流動資產增加,,,,,,,,,,,,"2,242",0,898,0,0
其他非流動資產減少,,,,,,,,,,,,,"1,977",,"1,598","17,121"
其他項目,,,,,,,,,,,,,"12,791","3,185","6,300","9,282"
利息收入,"-22,999","-22,999","-49,397","-68,491","-90,700","-16,863","-33,361","-51,061","-93,360","-25,728","-50,586","-72,081","-95,223","-17,021","-30,718","-40,623"
利息費用,"45,395","45,395","90,913","130,543","171,332","43,531","87,069","138,426","193,067","52,280","104,009","167,200","226,225","49,469","99,751","145,482"
匯率變動對現金及約當現金之影響,"43,268","43,268","59,730","45,786","55,420","21,086","-12,661","22,895","65,946","-17,796","-18,921","-20,675","63,317","-25,734","-25,844","-73,529"
取得不動產、廠房及設備,"-83,622","-83,622","-220,527","-247,266","-281,069","-17,771","-46,769","-81,123","-99,669","-38,363","-68,456","-84,216","-100,593","-13,882","-63,219","-132,552"
取得備供出售金融資產,"-13,460","-13,460","-14,659","-20,325","-20,325",0,0,0,0,,,"-2,328,680","-2,328,680",,,0
取得原始認列時指定為透過損益按公允價值衡量之金融資產,"204,487","204,487","-215,665","-220,076","-222,410","-5,019","-4,516","-4,979",0,,,,,,,
取得投資性不動產,0,0,"-252,355","-252,355","-252,355",,"-1,062,575","-1,115,912","-1,093,061","-6,783","-37,005","-37,025","-37,078","-5,636","-15,928","-15,914"
取得採用權益法之投資,,,,,,"-673,007","-672,967","-672,967","-672,967",0,0,0,0,,,
取得無形資產,,,,0,,,,,,,,,,,,
取得無活絡市場之債券投資,0,0,"-288,023",,,,,,,,,,,,,
呆帳費用提列（轉列收入）數,"-3,069","-3,069","-8,830","-9,678","-10,010",-3,-3,-3,-718,0,0,"2,072",-177,,,0
存入保證金增加,"44,109","44,109","46,051","97,173","97,603","80,196","81,553","89,380","58,250","7,958","10,604","5,545","1,560","3,294","1,937","1,937"
存出保證金增加,"-1,645","-1,645","-2,391","-5,330","-8,860","-22,731","-15,594","-12,355","-12,483",-20,"22,480","23,703","-34,489",-3,,"32,833"
存出保證金減少,0,0,0,,,,,,,,,,,,"32,520",
存貨（增加）減少,"46,096","46,096","37,118","-9,806","-339,053","-25,056","-267,002","-348,520","-372,939","20,079",-380,"-15,607","-72,910","32,279","67,737","152,895"
對子公司之收購（扣除所取得之現金）,,,"-5,550","-5,550","-5,550",,200,200,200,,0,0,0,,,
已實現銷貨損失（利益）,,,,,,,,,,,,,,0,,
庫藏股票買回成本,,,,,,,,,,,,"-13,865","-20,834",,,0
應付帳款增加（減少）,"-183,580","-183,580","-68,250","-44,974","72,335","-41,040","-109,595","-107,258","-58,404","-247,448","-298,305","-301,996","-195,439","-92,781","47,014","-36,755"
應付帳款－關係人增加（減少）,"9,214","9,214","22,522","63,636","34,912","-8,567","14,000","53,909","11,701","10,239","-12,745","12,328","-4,387","4,387","16,350","2,534"
應付短期票券增加,"10,000","10,000","129,500",,,"224,847","768,756","604,000","236,000","114,000","-41,000","-112,000",0,"62,000","118,000","65,000"
應付短期票券減少,0,0,,0,0,,,,,,,,"-236,000",,0,0
應付票據增加（減少）,"-1,843","-1,843","-1,917","-1,972","-1,182",-364,-364,-629,-599,-772,209,-641,"32,758",-714,"-33,069","-32,527"
應付票據－關係人增加（減少）,,,,,,,,199,,,,0,,,,
應付租賃款減少,-3,-3,-8,-10,-82,0,0,0,0,,,,,,,
應收帳款（增加）減少,"4,173","4,173","-31,589","-64,365","-41,711","-13,284","70,665","35,171","77,291","33,179","57,560","46,908","2,639","21,410","28,371","26,353"
應收帳款－關係人（增加）減少,-288,-288,-52,-9,-6,8,6,3,"-6,953","-26,211","-4,824","6,566","6,962",3,22,22
應收票據（增加）減少,"79,043","79,043","48,114","73,443","-74,505","116,410","277,287","196,770","107,539","197,357","221,717","287,651","251,866","60,505",549,"51,278"
應收票據－關係人（增加）減少,"2,333","2,333","5,699","2,246","3,140",-835,"5,299","6,983","9,282","2,464",230,"-1,259","-5,738","7,251","11,796","12,755"
