,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,"3,851,001",13.29,"3,851,001",13.29,"3,863,220",13.77,"3,811,315",12.84,"3,615,676",10.83,"3,539,998",10.39,"3,440,667",10.28,"3,423,294",10.1,"3,085,890",9.17,"2,975,333",9.13,"2,928,776",9.35,"2,737,527",9.25,"2,336,208",8.53,"2,266,830",8.45,"2,201,172",8.37,"2,156,601",8.31
以成本衡量之金融資產－非流動淨額,"529,420",1.83,"529,420",1.83,"524,920",1.87,"700,185",2.36,"513,258",1.54,"513,258",1.51,"502,323",1.5,"502,323",1.48,"489,780",1.45,"489,780",1.5,"489,780",1.56,"480,900",1.62,"324,301",1.18,"324,301",1.21,"318,509",1.21,"318,509",1.23
保留盈餘合計,"8,044,970",27.76,"8,044,970",27.76,"8,011,745",28.56,"8,199,720",27.63,"9,238,855",27.68,"9,117,673",26.76,"8,376,507",25.03,"8,530,345",25.16,"8,390,425",24.92,"8,202,652",25.18,"8,077,885",25.78,"7,756,185",26.2,"8,373,346",30.58,"8,184,726",30.52,"8,040,857",30.57,"8,176,328",31.51
備供出售金融資產－流動淨額,"3,442,538",11.88,"3,442,538",11.88,"3,269,566",11.66,"3,690,798",12.44,"4,031,734",12.08,"4,179,070",12.27,"3,972,960",11.87,"3,801,887",11.21,"3,708,575",11.02,"3,810,017",11.7,"3,450,547",11.01,"4,513,867",15.25,"3,589,776",13.11,"3,786,214",14.12,"3,619,118",13.76,"2,457,993",9.47
備供出售金融資產－非流動淨額,"3,867,438",13.35,"3,867,438",13.35,"3,425,217",12.21,"4,541,915",15.31,"7,071,724",21.19,"7,414,004",21.76,"5,780,651",17.27,"5,760,686",16.99,"5,943,688",17.65,"5,506,926",16.9,"4,508,835",14.39,"2,955,390",9.98,"2,930,848",10.7,"2,831,316",10.56,"2,557,324",9.72,"3,746,519",14.44
其他應付款,"288,531",1.0,"288,531",1.0,"183,419",0.65,"169,806",0.57,"218,166",0.65,"180,913",0.53,"995,516",2.97,"164,785",0.49,"218,884",0.65,"147,784",0.45,"413,340",1.32,"326,500",1.1,"182,613",0.67,"161,857",0.6,"229,915",0.87,"146,674",0.57
其他應付款項－關係人,"4,176",0.01,"4,176",0.01,"5,896",0.02,"5,896",0.02,0,0.0,0,0.0,0,0.0,"17,076",0.05,,,,,,,0,0.0,,,,,,,,
其他應收款淨額,"93,263",0.32,"93,263",0.32,"108,936",0.39,"105,131",0.35,"130,832",0.39,"110,589",0.32,"130,741",0.39,"79,643",0.23,"92,490",0.27,"77,450",0.24,"57,242",0.18,"49,803",0.17,"30,590",0.11,"25,766",0.1,"38,609",0.15,"35,531",0.14
其他應收款－關係人淨額,"9,073",0.03,"9,073",0.03,"9,260",0.03,"9,173",0.03,"9,322",0.03,"9,446",0.03,"168,936",0.5,"160,936",0.47,"220,990",0.66,"203,852",0.63,"96,726",0.31,"214,799",0.73,"168,881",0.62,"257,877",0.96,"253,891",0.97,"234,519",0.9
其他權益合計,"-997,405",-3.44,"-997,405",-3.44,"-1,501,621",-5.35,"-51,838",-0.17,"2,773,856",8.31,"3,282,956",9.64,"1,440,954",4.3,"1,482,946",4.37,"1,774,583",5.27,"1,340,053",4.11,"130,664",0.42,"-2,592,510",-8.76,"-3,201,522",-11.69,"-3,079,840",-11.48,"-3,550,134",-13.5,"-1,246,523",-4.8
