,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,-547.0,-0.02,-751.0,-0.02,-64.0,0.0,-137.0,0.0,205.0,0.01,342.0,0.01,-1983.0,-0.05,-820.0,-0.01,-273.0,-0.01,-355.0,-0.01,-1380.0,-0.03,-738.0,0.0,-1543.0,-0.04,-766.0,-0.02,-81.0,0.0,-301.0,0.0
其他利益及損失淨額,-2048.0,-0.07,10863.0,0.32,-3636.0,-0.1,-42683.0,-0.32,-32019.0,-0.95,4095.0,0.11,35696.0,0.92,-30377.0,-0.2,-22639.0,-0.63,2805.0,0.07,-181479.0,-4.44,-248047.0,-1.6,-51242.0,-1.38,-60716.0,-1.46,-36535.0,-0.88,-186452.0,-1.14
其他收入,12476.0,0.43,17148.0,0.5,17360.0,0.48,77818.0,0.58,40058.0,1.19,29735.0,0.78,31083.0,0.8,157000.0,1.06,29546.0,0.83,50970.0,1.34,51470.0,1.26,184129.0,1.19,52983.0,1.43,37101.0,0.89,36474.0,0.88,145858.0,0.89
其他綜合損益（淨額）,174322.0,5.97,-14519.0,-0.43,-60948.0,-1.69,102365.0,0.76,19617.0,0.58,-95366.0,-2.51,104525.0,2.7,165608.0,1.12,-48484.0,-1.36,-134844.0,-3.54,208872.0,5.1,-177248.0,-1.15,-13012.0,-0.35,-118219.0,-2.85,-207336.0,-5.0,-499100.0,-3.06
國外營運機構財務報表換算之兌換差額,174869.0,5.99,-13768.0,-0.4,-60884.0,-1.69,124052.0,0.92,19412.0,0.58,-95708.0,-2.52,106508.0,2.76,177728.0,1.2,-48211.0,-1.35,-134489.0,-3.53,210252.0,5.14,-148786.0,-0.96,-11469.0,-0.31,-117453.0,-2.83,-207255.0,-5.0,-459801.0,-2.82
基本每股盈餘,0.6,,0.84,,1.05,,3.44,,0.84,,1.09,,0.95,,3.82,,1.17,,1.24,,0.91,,4.49,,1.16,,1.38,,1.22,,4.86,
所得稅費用（利益）合計,73613.0,2.52,146682.0,4.3,126691.0,3.51,428551.0,3.19,95375.0,2.84,167061.0,4.4,146914.0,3.8,569866.0,3.84,78820.0,2.21,166052.0,4.36,148199.0,3.62,577080.0,3.73,145955.0,3.93,189587.0,4.57,184631.0,4.45,647567.0,3.97
推銷費用,429648.0,14.73,458725.0,13.44,493081.0,13.66,1838043.0,13.69,481562.0,14.32,528921.0,13.93,559618.0,14.48,2094263.0,14.12,546852.0,15.3,561316.0,14.74,605843.0,14.81,2326392.0,15.03,575025.0,15.48,633531.0,15.28,613782.0,14.8,2439933.0,14.97
本期淨利（淨損）,148329.0,5.08,226892.0,6.65,274555.0,7.6,899546.0,6.7,215580.0,6.41,290359.0,7.65,255288.0,6.61,1008737.0,6.8,289379.0,8.1,329397.0,8.65,240051.0,5.87,1163961.0,7.52,277797.0,7.48,355926.0,8.58,312999.0,7.55,1170309.0,7.18
本期綜合損益總額,322651.0,11.06,212373.0,6.22,213607.0,5.92,1001911.0,7.46,235197.0,6.99,194993.0,5.14,359813.0,9.31,1174345.0,7.92,240895.0,6.74,194553.0,5.11,448923.0,10.97,986713.0,6.37,264785.0,7.13,237707.0,5.73,105663.0,2.55,671209.0,4.12
