,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,-37703.0,-101966.0,-217077.0,-232433.0,-69560.0,-515178.0,-610510.0,-819796.0,,,,,,,,
其他應付款增加（減少）,-32747.0,22368.0,80773.0,-40502.0,-159842.0,-72643.0,-66946.0,304815.0,-206352.0,510265.0,-92546.0,136852.0,-468038.0,128264.0,-293447.0,27486.0
其他流動負債增加（減少）,-55831.0,221625.0,,500873.0,-86604.0,-153275.0,19218.0,283751.0,-260077.0,-251643.0,-198812.0,-431320.0,-246355.0,34554.0,-104948.0,25193.0
其他流動資產（增加）減少,53768.0,-336637.0,27345.0,-5035.0,-55853.0,-143882.0,-233552.0,-543559.0,77620.0,1005.0,4687.0,297235.0,-83962.0,29218.0,68923.0,107765.0
其他非流動資產增加,67307.0,0.0,0.0,-67229.0,0.0,,-27061.0,-142690.0,-1185.0,-16302.0,-32020.0,-679211.0,-21190.0,59548.0,-8667.0,-204760.0
其他項目,,0.0,0.0,0.0,,-71318.0,-291274.0,-322944.0,,0.0,-1778.0,0.0,,,-2096238.0,-2665382.0
利息收入,-6571.0,-11668.0,-40316.0,-30433.0,-4231.0,-9358.0,-13187.0,-23448.0,-3726.0,-11270.0,-22817.0,-32160.0,-6191.0,-10320.0,-15185.0,-29508.0
利息費用,43211.0,83053.0,149125.0,202858.0,61041.0,126322.0,180588.0,232384.0,58836.0,112498.0,150333.0,219509.0,91548.0,173132.0,242825.0,325514.0
匯率變動對現金及約當現金之影響,72293.0,354512.0,-317951.0,443998.0,102298.0,-32148.0,236344.0,279496.0,-118786.0,-278497.0,214498.0,177966.0,-114989.0,-226451.0,-540893.0,-490013.0
取得不動產、廠房及設備,-685116.0,-1174360.0,-1694579.0,-2172824.0,-524132.0,-941601.0,-1744328.0,-2496251.0,-640834.0,-1142769.0,-1535649.0,-1968531.0,-224884.0,-602089.0,-987793.0,-1707999.0
呆帳費用提列（轉列收入）數,21677.0,39387.0,-47984.0,-72328.0,14506.0,15459.0,26366.0,51095.0,-33260.0,-10566.0,795.0,-10226.0,13160.0,47087.0,61969.0,45169.0
存入保證金增加,-985.0,,-3918.0,-4291.0,1885.0,,3110.0,7638.0,24610.0,28004.0,31261.0,29834.0,20984.0,22296.0,20647.0,0.0
存貨（增加）減少,747643.0,1113773.0,1354685.0,98070.0,685755.0,577069.0,744612.0,595218.0,256640.0,1786862.0,1898327.0,957373.0,1187167.0,1199789.0,746461.0,-91959.0
應付帳款增加（減少）,-95123.0,-14149.0,838648.0,332364.0,-687973.0,-289747.0,180698.0,423866.0,-452836.0,-789919.0,-941496.0,-1200794.0,-126025.0,23424.0,-139246.0,186364.0
應付票據增加（減少）,156401.0,130032.0,175826.0,187298.0,156088.0,45719.0,87298.0,206088.0,-266068.0,-185652.0,-238988.0,-155154.0,21805.0,68969.0,86042.0,-49836.0
應收帳款（增加）減少,-264000.0,-416561.0,-417143.0,110640.0,304607.0,-479562.0,-812402.0,-587314.0,621143.0,257535.0,-76136.0,418733.0,194772.0,215322.0,-25369.0,-216093.0
應收票據（增加）減少,78766.0,148906.0,364200.0,319859.0,61675.0,13926.0,102982.0,49993.0,157799.0,173821.0,13088.0,-18992.0,137138.0,120782.0,-25719.0,-176702.0
投資活動之淨現金流入（流出）,-1226514.0,-1722397.0,-1067414.0,-3592297.0,-463345.0,-811444.0,-1434717.0,-2473530.0,-359872.0,-787469.0,-1092859.0,-2297277.0,-198041.0,-438955.0,-739426.0,-807435.0
折舊費用,286825.0,565832.0,868750.0,1212858.0,368409.0,554099.0,864956.0,1182383.0,344614.0,693551.0,1052402.0,1044963.0,372760.0,706051.0,1076823.0,1346873.0
攤銷費用,17124.0,24056.0,35841.0,49620.0,9975.0,22999.0,33132.0,45604.0,11576.0,24711.0,32218.0,55642.0,6619.0,12981.0,20734.0,29369.0
支付之利息,-44383.0,-86280.0,-151084.0,-205707.0,-61449.0,-127237.0,-178582.0,-232452.0,-57773.0,-109464.0,-148000.0,-227754.0,-95384.0,-176969.0,-240858.0,-320736.0
收取之利息,6569.0,6867.0,20956.0,30433.0,4231.0,9306.0,13135.0,23448.0,3726.0,11270.0,23518.0,32159.0,6191.0,10320.0,15183.0,29508.0
收益費損項目合計,,,,,,,,,-37010.0,-46698.0,-550071.0,-108911.0,-18231.0,-420228.0,-615126.0,-980121.0
期初現金及約當現金餘額,3879324.0,3879324.0,3879324.0,3879324.0,4231886.0,4231886.0,4231886.0,4231886.0,3825014.0,3825014.0,3825014.0,3825014.0,4404597.0,4404597.0,4404597.0,4404597.0
期末現金及約當現金餘額,3426246.0,4049047.0,4101737.0,4231886.0,4026127.0,4013614.0,3449809.0,3825014.0,3703528.0,4058556.0,4405308.0,4404597.0,4111512.0,3713712.0,3207919.0,2919140.0
本期現金及約當現金增加（減少）數,-453078.0,169723.0,222413.0,352562.0,-205759.0,-218272.0,-782077.0,-406872.0,-121486.0,233542.0,580294.0,579583.0,-293085.0,-690885.0,-1196678.0,-1485457.0
本期稅前淨利（淨損）,338083.0,332069.0,833167.0,2593338.0,473345.0,946175.0,1556824.0,1491793.0,183073.0,430542.0,913499.0,968699.0,678616.0,1410023.0,2267144.0,3140682.0
營業活動之淨現金流入（流出）,1015120.0,1113344.0,1830216.0,4496162.0,80544.0,-325870.0,66290.0,2455878.0,-706804.0,1865357.0,1759410.0,3152717.0,1156253.0,2866917.0,2714138.0,3988126.0
營運產生之現金流入（流出）,1015120.0,1113344.0,1830216.0,4496162.0,164056.0,-46503.0,472600.0,2455878.0,-649767.0,2098222.0,2157706.0,3152717.0,1218709.0,3235458.0,3218415.0,4563072.0
發放現金股利,,,,-630923.0,,,-566547.0,-566457.0,,-736395.0,-683500.0,-736394.0,,-515476.0,-478540.0,-515476.0
短期借款增加,-1090179.0,0.0,0.0,-1025728.0,37669.0,469221.0,2033495.0,-130827.0,1098482.0,463056.0,934340.0,1677294.0,0.0,0.0,0.0,0.0
籌資活動之淨現金流入（流出）,-313977.0,424264.0,-222438.0,-995301.0,74744.0,951190.0,350006.0,-668716.0,1063976.0,-565849.0,-300755.0,-453823.0,-1136308.0,-2892396.0,-2630497.0,-4176135.0
繼續營業單位稅前淨利（淨損）,338083.0,332069.0,833167.0,2593338.0,473345.0,946175.0,1556824.0,1491793.0,183073.0,434494.0,917451.0,968699.0,678616.0,1410023.0,2267144.0,3140682.0
與營業活動相關之負債之淨變動合計,-48239.0,360004.0,1486025.0,914485.0,-778171.0,-447087.0,219872.0,1206862.0,-1183996.0,-695289.0,-1471842.0,-1649892.0,-818613.0,255211.0,-451599.0,193340.0
與營業活動相關之資產之淨變動合計,762979.0,523237.0,-271899.0,1220772.0,538442.0,-30413.0,-693586.0,577019.0,388166.0,2409667.0,3266120.0,3942821.0,1376937.0,1990452.0,2017996.0,2209171.0
與營業活動相關之資產及負債之淨變動合計,714740.0,883241.0,1214126.0,2135257.0,-239729.0,-477500.0,-473714.0,1783881.0,-795830.0,1714378.0,1794278.0,2292929.0,558324.0,2245663.0,1566397.0,2402511.0
處分不動產、廠房及設備,23909.0,152177.0,616867.0,151470.0,27832.0,61334.0,86231.0,333043.0,278421.0,371380.0,392236.0,798514.0,41842.0,93266.0,296306.0,293507.0
處分及報廢不動產、廠房及設備損失（利益）,6626.0,-773.0,5802.0,122054.0,127.0,-141.0,9880.0,-189783.0,5091.0,5767.0,5327.0,45725.0,0.0,632.0,-37075.0,-21061.0
處分投資損失（利益）,,0.0,,,,,,,,,,,,,,
調整項目合計,677037.0,781275.0,997049.0,1902824.0,-309289.0,-992678.0,-1084224.0,964085.0,-832840.0,1667680.0,1244207.0,2184018.0,540093.0,1825435.0,951271.0,1422390.0
資產負債表帳列之現金及約當現金,3426246.0,4049047.0,4101737.0,4231886.0,4026127.0,4013614.0,3449809.0,3825014.0,3703528.0,4058556.0,4405308.0,4404597.0,4111512.0,3713712.0,3207919.0,2919140.0
退還（支付）之所得稅,-9773.0,-92634.0,-162676.0,-193969.0,-83512.0,-279367.0,-406310.0,-463724.0,-57037.0,-232865.0,-398296.0,-455611.0,-62456.0,-368541.0,-504277.0,-604454.0
預付款項（增加）減少,,,-1875270.0,-166976.0,,-1163156.0,-945748.0,-250772.0,-980592.0,-660935.0,-139159.0,408837.0,-681351.0,-808674.0,-793520.0,-106790.0
