102年1月,26.71
2月,26.97
3月,26.83
4月,25.0
5月,25.79
6月,25.74
7月,26.37
8月,26.66
9月,25.44
10月,26.71
11月,25.78
12月,26.06
103年1月,26.44
2月,25.95
3月,27.63
4月,30.26
5月,30.03
6月,35.1
7月,35.3
8月,34.8
9月,30.54
10月,27.89
11月,27.12
12月,27.08
104年1月,27.13
2月,27.71
3月,27.32
4月,25.32
5月,24.14
6月,21.92
7月,21.63
8月,19.16
9月,17.92
10月,19.43
11月,19.38
12月,19.77
105年1月,19.93
2月,20.82
3月,22.37
4月,21.78
5月,23.61
6月,27.69
7月,28.44
8月,27.63
9月,26.94
10月,28.18
11月,29.23
12月,28.62
