,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,11334895.0,32.16,11538424.0,31.36,11580767.0,31.01,11815875.0,30.72,12031555.0,31.19,12095959.0,30.08,12694182.0,31.07,13384162.0,32.33,12634789.0,30.46,12613868.0,31.58,12819417.0,31.64,12174863.0,30.42,11934180.0,30.89,11925358.0,31.26,11551251.0,30.46,11879362.0,31.37
保留盈餘合計,3210329.0,9.11,2571063.0,6.99,2902966.0,7.77,4098205.0,10.66,4455152.0,11.55,2503297.0,6.23,2999495.0,7.34,2992074.0,7.23,3150312.0,7.6,2511625.0,6.29,2854589.0,7.04,2846511.0,7.11,3345472.0,8.66,3356852.0,8.8,3926504.0,10.36,4385307.0,11.58
備供出售金融資產－非流動淨額,1154429.0,3.28,1256967.0,3.42,1270051.0,3.4,1346410.0,3.5,1463700.0,3.79,1789275.0,4.45,1312415.0,3.21,1253422.0,3.03,1559883.0,3.76,1341000.0,3.36,1280250.0,3.16,1341024.0,3.35,1410728.0,3.65,1432179.0,3.75,1503668.0,3.97,1503679.0,3.97
其他應付款,1367294.0,3.88,2100103.0,5.71,2159776.0,5.78,1357862.0,3.53,1197693.0,3.1,1843922.0,4.59,1286003.0,3.15,1655669.0,4.0,1450380.0,3.5,2168968.0,5.43,1565535.0,3.86,1782328.0,4.45,1310454.0,3.39,1906656.0,5.0,1490517.0,3.93,1803073.0,4.76
其他權益合計,902661.0,2.56,1091424.0,2.97,1002015.0,2.68,842959.0,2.19,1014679.0,2.63,1241482.0,3.09,1128065.0,2.76,1370880.0,3.31,1557414.0,3.75,1249958.0,3.13,1398058.0,3.45,1297032.0,3.24,1281147.0,3.32,1132238.0,2.97,967794.0,2.55,853315.0,2.25
其他流動負債,1253166.0,3.56,1530307.0,4.16,1623800.0,4.35,1731270.0,4.5,1644666.0,4.26,1573656.0,3.91,1821149.0,4.46,2277295.0,5.5,1835797.0,4.43,1948367.0,4.88,2019621.0,4.98,2164815.0,5.41,1914248.0,4.96,2120157.0,5.56,1780655.0,4.7,1612733.0,4.26
其他流動資產,1680917.0,4.77,2211441.0,6.01,2309740.0,6.18,2152703.0,5.6,2036769.0,5.28,2060787.0,5.12,2765222.0,6.77,2611581.0,6.31,2729268.0,6.58,2636752.0,6.6,2700974.0,6.67,2306384.0,5.76,2441845.0,6.32,2293027.0,6.01,2137793.0,5.64,2187277.0,5.78
其他非流動負債,121792.0,0.35,121350.0,0.33,162487.0,0.44,459846.0,1.2,448560.0,1.16,410765.0,1.02,237822.0,0.58,219463.0,0.53,243501.0,0.59,183605.0,0.46,188949.0,0.47,245525.0,0.61,267839.0,0.69,327933.0,0.86,295752.0,0.78,278093.0,0.73
其他非流動資產,973642.0,2.76,1006301.0,2.73,963319.0,2.58,1075682.0,2.8,1093562.0,2.84,1053781.0,2.62,1076342.0,2.63,1179499.0,2.85,1169108.0,2.82,1171090.0,2.93,1179301.0,2.91,1803068.0,4.5,1770161.0,4.58,1730539.0,4.54,1791001.0,4.72,1978459.0,5.23
存貨,7330786.0,20.8,6891483.0,18.73,6692757.0,17.92,8035975.0,20.9,7420829.0,19.24,7726025.0,19.21,7678782.0,18.79,7839628.0,18.94,7692563.0,18.55,6203611.0,15.53,5934656.0,14.65,6916241.0,17.28,5718678.0,14.8,5729484.0,15.02,6149450.0,16.22,6945597.0,18.34
庫藏股票,-306199.0,-0.87,-306199.0,-0.83,-306199.0,-0.82,-306199.0,-0.8,-306199.0,-0.79,-306199.0,-0.76,-306199.0,-0.75,-306199.0,-0.74,-306199.0,-0.74,-306199.0,-0.77,-306199.0,-0.76,-306199.0,-0.76,-306199.0,-0.79,-306199.0,-0.8,-306199.0,-0.81,-306199.0,-0.81
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
應付帳款,4538472.0,12.88,4552597.0,12.37,5403951.0,14.47,4853165.0,12.62,4131451.0,10.71,4700861.0,11.69,5174043.0,12.66,5214309.0,12.6,4933324.0,11.89,4601869.0,11.52,4448313.0,10.98,4075029.0,10.18,3952565.0,10.23,4037144.0,10.58,3973878.0,10.48,4261984.0,11.26
應付票據,290824.0,0.83,264455.0,0.72,310249.0,0.83,321721.0,0.84,477809.0,1.24,430775.0,1.07,472354.0,1.16,517127.0,1.25,325076.0,0.78,395959.0,0.99,347390.0,0.86,344497.0,0.86,371068.0,0.96,422998.0,1.11,435305.0,1.15,310548.0,0.82
應收帳款淨額,4588789.0,13.02,4499133.0,12.23,4576995.0,12.26,4098720.0,10.66,3822196.0,9.91,4775404.0,11.88,5073789.0,12.42,4837973.0,11.69,4259202.0,10.27,4645401.0,11.63,4940060.0,12.19,4450395.0,11.12,4242645.0,10.98,4091287.0,10.73,4346995.0,11.46,4572688.0,12.08
應收票據淨額,1347056.0,3.82,1237857.0,3.36,1021027.0,2.73,1068071.0,2.78,1044288.0,2.71,1128920.0,2.81,1039864.0,2.55,1092853.0,2.64,935054.0,2.25,919032.0,2.3,1079765.0,2.66,1111845.0,2.78,974707.0,2.52,991063.0,2.6,1137564.0,3.0,1288547.0,3.4
投資性不動產淨額,302720.0,0.86,301852.0,0.82,300985.0,0.81,300117.0,0.78,299250.0,0.78,298383.0,0.74,294779.0,0.72,293911.0,0.71,920180.0,2.22,909033.0,2.28,916333.0,2.26,1049556.0,2.62,1033618.0,2.68,1012295.0,2.65,983475.0,2.59,908965.0,2.4
普通股股本,5664572.0,16.07,5664572.0,15.39,5664572.0,15.17,5664572.0,14.73,5664572.0,14.69,5664572.0,14.09,7363944.0,18.02,7363944.0,17.79,7363944.0,17.75,7363944.0,18.44,7363944.0,18.17,7363944.0,18.4,7363944.0,19.06,7363944.0,19.3,7363944.0,19.42,7363944.0,19.45
未分配盈餘（或待彌補虧損）,,,,,,,,,,,,,,,,,1658974.0,4.0,,,,,,,,,,,,,,
本期所得稅負債,,,,,,,,,,,,,,,,,271653.0,0.65,170237.0,0.43,129631.0,0.32,314149.0,0.78,378928.0,0.98,170391.0,0.45,137518.0,0.36,330912.0,0.87
權益總計,17501940.0,49.66,17004559.0,46.21,17273679.0,46.25,18788276.0,48.85,19417543.0,50.34,19291925.0,47.98,19768283.0,48.38,19944399.0,48.18,20121996.0,48.51,19155682.0,47.96,19758503.0,48.76,19248606.0,48.09,19762567.0,51.16,19620494.0,51.44,19860752.0,52.38,20183014.0,53.3
