,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,2464.0,0.1,-6194.0,-0.26,-4070.0,-0.17,-1085.0,-0.01,3870.0,0.18,1378.0,0.06,-4840.0,-0.18,1094.0,0.01,3326.0,0.17,7081.0,0.37,-16447.0,-0.71,-1838.0,-0.02,2468.0,0.14,-4371.0,-0.22,-1140.0,-0.05,-4184.0,-0.05
其他利益及損失淨額,478.0,0.02,36585.0,1.53,38191.0,1.55,62008.0,0.68,13617.0,0.65,-9955.0,-0.43,-37226.0,-1.42,-43421.0,-0.48,-1058.0,-0.05,19286.0,1.01,-21583.0,-0.93,967.0,0.01,47485.0,2.61,-21852.0,-1.08,-42984.0,-1.86,-251259.0,-3.1
其他收入,1098.0,0.05,1239.0,0.05,738.0,0.03,5290.0,0.06,1246.0,0.06,1370.0,0.06,495.0,0.02,6116.0,0.07,902.0,0.05,903.0,0.05,428.0,0.02,4284.0,0.05,628.0,0.03,728.0,0.04,712.0,0.03,4537.0,0.06
其他綜合損益（淨額）,12391.0,0.52,-1028.0,-0.04,-7494.0,-0.3,-904.0,-0.01,18850.0,0.9,-2273.0,-0.1,-4803.0,-0.18,143.0,0.0,-7631.0,-0.38,1172.0,0.06,-12733.0,-0.55,-70077.0,-0.87,3082.0,0.17,-4222.0,-0.21,-5772.0,-0.25,-54477.0,-0.67
國外營運機構財務報表換算之兌換差額,11760.0,0.5,8084.0,0.34,-3626.0,-0.15,20959.0,0.23,-2904.0,-0.14,-2286.0,-0.1,3558.0,0.14,-407.0,0.0,-392.0,-0.02,-4098.0,-0.21,2122.0,0.09,-4901.0,-0.06,-3213.0,-0.18,-3515.0,-0.17,-1343.0,-0.06,-1352.0,-0.02
基本每股盈餘,-0.01,,0.06,,0.17,,-0.35,,0.07,,-0.06,,0.21,,0.2,,-0.03,,-0.04,,0.3,,0.36,,0.16,,0.23,,0.42,,0.36,
所得稅費用（利益）合計,268.0,0.01,12276.0,0.51,4887.0,0.2,13789.0,0.15,2060.0,0.1,120.0,0.01,5456.0,0.21,6908.0,0.08,472.0,0.02,2829.0,0.15,4970.0,0.21,-19669.0,-0.25,2852.0,0.16,9133.0,0.45,12335.0,0.53,26547.0,0.33
推銷費用,213159.0,8.99,269142.0,11.25,390138.0,15.84,1157823.0,12.71,240910.0,11.47,308996.0,13.22,326557.0,12.44,1105270.0,12.28,227621.0,11.48,265157.0,13.88,311526.0,13.42,1024480.0,12.78,207304.0,11.38,246642.0,12.17,254282.0,11.03,912759.0,11.25
本期淨利（淨損）,-892.0,-0.04,17868.0,0.75,56302.0,2.29,-119327.0,-1.31,24056.0,1.15,-21431.0,-0.92,72290.0,2.75,67839.0,0.75,-9727.0,-0.49,-12600.0,-0.66,101589.0,4.38,123951.0,1.55,53065.0,2.91,77618.0,3.83,143376.0,6.22,121608.0,1.5
本期綜合損益總額,11499.0,0.48,16840.0,0.7,48808.0,1.98,-120231.0,-1.32,42906.0,2.04,-23704.0,-1.01,67487.0,2.57,67982.0,0.76,-17358.0,-0.88,-11428.0,-0.6,88856.0,3.83,53874.0,0.67,56147.0,3.08,73396.0,3.62,137604.0,5.97,67131.0,0.83
