,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額
本期稅前淨利（淨損）,619.0,1327.0,3415.0,2806.0,685.0,-523.0,-18897.0,-12647.0,-28105.0,-33986.0,-62063.0,-10999.0,-14159.0,-15479.0,-11959.0
營業活動之淨現金流入（流出）,-13912.0,-877.0,-22336.0,-4102.0,-1153.0,-5078.0,-14451.0,-67210.0,-78117.0,-104803.0,-109850.0,-19335.0,-13192.0,22580.0,34718.0
營運產生之現金流入（流出）,-13912.0,-1303.0,-23534.0,-4807.0,-2911.0,-7705.0,-17922.0,-67823.0,-79679.0,-106831.0,-112020.0,-19417.0,-14260.0,20087.0,31716.0
現金增資,225000.0,225000.0,494651.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,
發行特別股負債,,,,,,,,,,,214539.0,,,,0.0
籌資活動之淨現金流入（流出）,227419.0,227419.0,497070.0,0.0,2525.0,3933.0,3387.0,4900.0,7828.0,6324.0,219345.0,-24783.0,-36068.0,-85657.0,-86046.0
繼續營業單位稅前淨利（淨損）,619.0,1327.0,3415.0,2806.0,685.0,-523.0,-18897.0,-12647.0,-28105.0,-33986.0,-62063.0,-10999.0,-14159.0,-15479.0,-11959.0
股份基礎給付酬勞成本,1474.0,2253.0,2979.0,729.0,1380.0,1697.0,2013.0,211.0,211.0,211.0,211.0,0.0,0.0,0.0,0.0
股利收入,,,,,,,,,,-427.0,-427.0,,,-1083.0,-1083.0
與營業活動相關之負債之淨變動合計,-3532.0,48.0,5638.0,6932.0,3607.0,11786.0,8355.0,-7844.0,11615.0,-3409.0,1280.0,-3975.0,-246.0,16031.0,19400.0
與營業活動相關之資產之淨變動合計,-17721.0,-9164.0,-40803.0,-18032.0,-10849.0,-21058.0,-9828.0,-49912.0,-70036.0,-78752.0,-63284.0,-8715.0,-10554.0,4175.0,2720.0
與營業活動相關之資產及負債之淨變動合計,-21253.0,-9116.0,-35165.0,-11100.0,-7242.0,-9272.0,-1473.0,-57756.0,-58421.0,-82161.0,-62004.0,-12690.0,-10800.0,20206.0,22120.0
處分不動產、廠房及設備,,,,,,12.0,12.0,3.0,15.0,34.0,34.0,0.0,0.0,2.0,2.0
處分及報廢不動產、廠房及設備損失（利益）,,44.0,44.0,,,17.0,24.0,-3.0,-15.0,-33.0,-33.0,0.0,3611.0,3609.0,3609.0
調整項目合計,-14531.0,-2630.0,-26949.0,-7613.0,-3596.0,-7182.0,975.0,-55176.0,-51574.0,-72845.0,-49957.0,-8418.0,-101.0,35566.0,43675.0
資產負債表帳列之現金及約當現金,67792.0,77454.0,308916.0,60666.0,58321.0,57719.0,45393.0,48471.0,92532.0,104460.0,292648.0,150155.0,122351.0,101743.0,96634.0
退還（支付）之所得稅,-312.0,-513.0,-316.0,-123.0,-285.0,-425.0,-560.0,-159.0,152.0,101.0,47.0,-2.0,598.0,598.0,598.0
非金融資產減損損失,2035.0,0.0,,,,0.0,,,,0.0,,,,0.0,
預付款項（增加）減少,-33.0,-50.0,-67.0,-17.0,-34.0,-51.0,-68.0,-15.0,-30.0,-45.0,-60.0,-12.0,-24.0,-35.0,-47.0
