,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,4099151.0,32.0,4060350.0,31.51,4213284.0,31.03,4363669.0,32.99,4463807.0,34.01,4750401.0,33.44,4948852.0,34.96,4948852.0,34.96,4991736.0,36.51,4903217.0,35.57,3382453.0,29.11,3360035.0,29.49,3312177.0,29.51,3282722.0,28.54,3227700.0,27.6,2991036.0,25.91
保留盈餘合計,95925.0,0.75,78481.0,0.61,-6223.0,-0.05,-46099.0,-0.35,-182977.0,-1.39,281347.0,1.98,242473.0,1.71,242473.0,1.71,188804.0,1.38,61671.0,0.45,274089.0,2.36,220400.0,1.93,186207.0,1.66,129737.0,1.13,158292.0,1.35,315859.0,2.74
備供出售金融資產－非流動淨額,181754.0,1.42,162688.0,1.26,153659.0,1.13,154052.0,1.16,153212.0,1.17,161788.0,1.14,151352.0,1.07,151352.0,1.07,151661.0,1.11,113043.0,0.82,127563.0,1.1,134613.0,1.18,125082.0,1.11,121877.0,1.06,118415.0,1.01,115491.0,1.0
其他應付款,228310.0,1.78,303234.0,2.35,347089.0,2.56,333387.0,2.52,253920.0,1.93,375483.0,2.64,484970.0,3.43,484970.0,3.43,320034.0,2.34,348749.0,2.53,438403.0,3.77,374080.0,3.28,323332.0,2.88,452670.0,3.94,452269.0,3.87,401399.0,3.48
其他應收款淨額,63436.0,0.5,36586.0,0.28,73733.0,0.54,114890.0,0.87,118539.0,0.9,117511.0,0.83,120673.0,0.85,120673.0,0.85,174002.0,1.27,133759.0,0.97,140936.0,1.21,140823.0,1.24,139997.0,1.25,135669.0,1.18,132029.0,1.13,123713.0,1.07
其他權益合計,-36686.0,-0.29,-72235.0,-0.56,-46886.0,-0.35,-64181.0,-0.49,-64956.0,-0.49,-84854.0,-0.6,-107725.0,-0.76,-107725.0,-0.76,-59423.0,-0.43,-111587.0,-0.81,-51661.0,-0.44,-62489.0,-0.55,-93508.0,-0.83,-117216.0,-1.02,-178227.0,-1.52,-168212.0,-1.46
其他流動負債,796143.0,6.22,749266.0,5.81,755769.0,5.57,866937.0,6.55,942374.0,7.18,676234.0,4.76,1644397.0,11.62,1644397.0,11.62,1495394.0,10.94,1280939.0,9.29,1150969.0,9.9,1155014.0,10.14,320469.0,2.86,295576.0,2.57,264705.0,2.26,618828.0,5.36
其他流動資產,86031.0,0.67,115050.0,0.89,127050.0,0.94,111050.0,0.84,120050.0,0.91,259621.0,1.83,49000.0,0.35,49000.0,0.35,97925.0,0.72,90382.0,0.66,26000.0,0.22,78746.0,0.69,24000.0,0.21,60604.0,0.53,51477.0,0.44,24000.0,0.21
其他非流動負債,344235.0,2.69,340169.0,2.64,336440.0,2.48,313550.0,2.37,311493.0,2.37,307962.0,2.17,306077.0,2.16,306077.0,2.16,308533.0,2.26,307171.0,2.23,291403.0,2.51,326597.0,2.87,291304.0,2.6,245566.0,2.13,210516.0,1.8,188087.0,1.63
其他非流動資產,215570.0,1.68,240255.0,1.86,235023.0,1.73,270645.0,2.05,258259.0,1.97,261101.0,1.84,316136.0,2.23,316136.0,2.23,278736.0,2.04,344366.0,2.5,229354.0,1.97,213732.0,1.88,207018.0,1.84,206977.0,1.8,202804.0,1.73,197630.0,1.71
存貨,684152.0,5.34,849969.0,6.6,692967.0,5.1,713421.0,5.39,648690.0,4.94,730434.0,5.14,624120.0,4.41,624120.0,4.41,730903.0,5.35,875209.0,6.35,518410.0,4.46,618996.0,5.43,614337.0,5.47,740922.0,6.44,532828.0,4.56,570868.0,4.94
庫藏股票,-100582.0,-0.79,-100582.0,-0.78,-100582.0,-0.74,-100582.0,-0.76,-100582.0,-0.77,-100582.0,-0.71,-100582.0,-0.71,-100582.0,-0.71,-100582.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
應付帳款,182454.0,1.42,199557.0,1.55,130542.0,0.96,138066.0,1.04,194543.0,1.48,307759.0,2.17,240594.0,1.7,240594.0,1.7,179871.0,1.32,251681.0,1.83,93279.0,0.8,102489.0,0.9,100038.0,0.89,111964.0,0.97,76394.0,0.65,97320.0,0.84
應付票據,172545.0,1.35,264777.0,2.05,278181.0,2.05,138689.0,1.05,134908.0,1.03,224436.0,1.58,279476.0,1.97,279476.0,1.97,173839.0,1.27,238583.0,1.73,121678.0,1.05,76290.0,0.67,86414.0,0.77,114298.0,0.99,114215.0,0.98,92274.0,0.8
應收帳款淨額,547794.0,4.28,742622.0,5.76,969196.0,7.14,453981.0,3.43,479531.0,3.65,700448.0,4.93,930084.0,6.57,930084.0,6.57,449701.0,3.29,716140.0,5.2,1036587.0,8.92,426696.0,3.74,507244.0,4.52,678897.0,5.9,947377.0,8.1,492919.0,4.27
應收票據淨額,104250.0,0.81,64069.0,0.5,108791.0,0.8,48912.0,0.37,63466.0,0.48,57085.0,0.4,100422.0,0.71,100422.0,0.71,42325.0,0.31,73335.0,0.53,119458.0,1.03,59082.0,0.52,68688.0,0.61,66730.0,0.58,109072.0,0.93,56739.0,0.49
投資性不動產淨額,1367948.0,10.68,1377268.0,10.69,1363922.0,10.05,1365575.0,10.32,1363448.0,10.39,1664191.0,11.71,1664191.0,11.76,1664191.0,11.76,1723692.0,12.61,1723692.0,12.5,1723692.0,14.83,1794543.0,15.75,1794543.0,15.99,1794543.0,15.6,1794543.0,15.34,2284485.0,19.79
