,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,-37760.0,-4.26,-19066.0,-1.69,13690.0,0.88,-42695.0,-0.95,-841.0,-0.1,8576.0,0.78,-10435.0,-0.67,-2390.0,-0.06,-12356.0,-1.22,-26264.0,-2.3,14521.0,0.98,-17048.0,-0.42,-17048.0,-0.42,-3206.0,-0.32,-15028.0,-1.08,-30689.0,-0.75
其他利益及損失淨額,36588.0,4.13,-9411.0,-0.83,-57661.0,-3.73,1180.0,0.03,6900.0,0.81,8742.0,0.79,-21046.0,-1.36,42612.0,0.99,25220.0,2.48,-11536.0,-1.01,243600.0,16.44,318646.0,7.93,318646.0,7.93,-46668.0,-4.6,-17585.0,-1.26,172694.0,4.2
其他收入,18283.0,2.06,11518.0,1.02,5851.0,0.38,66014.0,1.47,10003.0,1.17,12765.0,1.16,13139.0,0.85,59778.0,1.4,11991.0,1.18,12847.0,1.12,8856.0,0.6,50081.0,1.25,50081.0,1.25,16132.0,1.59,27018.0,1.94,76853.0,1.87
其他綜合損益（淨額）,14924.0,1.68,-35434.0,-3.13,27366.0,1.77,4354.0,0.1,-1964.0,-0.23,-24658.0,-2.23,-20502.0,-1.32,8444.0,0.2,-2867.0,-0.28,-60038.0,-5.25,64276.0,4.34,-26753.0,-0.67,-26753.0,-0.67,-23959.0,-2.36,-62605.0,-4.5,-115506.0,-2.81
國外營運機構財務報表換算之兌換差額,37124.0,4.19,-3735.0,-0.33,-14979.0,-0.97,65717.0,1.47,17100.0,2.0,-30791.0,-2.79,31217.0,2.01,96742.0,2.26,-4741.0,-0.47,-15293.0,-1.34,69990.0,4.72,17479.0,0.43,17479.0,0.43,-17933.0,-1.77,-59918.0,-4.31,-79986.0,-1.94
基本每股盈餘,0.04,,-0.04,,-0.17,,-0.28,,-0.28,,-0.29,,-0.08,,-0.73,,-0.13,,-0.13,,0.44,,0.09,,0.09,,-0.12,,0.06,,0.21,
所得稅費用（利益）合計,14298.0,1.61,-5048.0,-0.45,292.0,0.02,4388.0,0.1,-11582.0,-1.36,21373.0,1.94,1998.0,0.13,13825.0,0.32,-2836.0,-0.28,-1201.0,-0.11,9362.0,0.63,19352.0,0.48,19352.0,0.48,1261.0,0.12,4575.0,0.33,13908.0,0.34
推銷費用,203532.0,22.96,271612.0,24.02,333554.0,21.55,1015889.0,22.68,277268.0,32.5,341836.0,30.98,374636.0,24.12,1080092.0,25.21,277652.0,27.32,316829.0,27.71,356618.0,24.07,1078977.0,26.85,1078977.0,26.85,262607.0,25.86,302802.0,21.77,956410.0,23.24
本期淨利（淨損）,12780.0,1.44,-7539.0,-0.67,-84557.0,-5.46,-141343.0,-3.16,-157910.0,-18.51,-155173.0,-14.06,-38022.0,-2.45,-409222.0,-9.55,-76615.0,-7.54,-52643.0,-4.6,226448.0,15.28,59728.0,1.49,59728.0,1.49,-51696.0,-5.09,31771.0,2.28,115377.0,2.8
本期綜合損益總額,27704.0,3.13,-42973.0,-3.8,-57191.0,-3.7,-136989.0,-3.06,-159874.0,-18.74,-179831.0,-16.3,-58524.0,-3.77,-400778.0,-9.36,-79482.0,-7.82,-112681.0,-9.85,290724.0,19.62,32975.0,0.82,32975.0,0.82,-75655.0,-7.45,-30834.0,-2.22,-129.0,0.0
