,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,3454987.0,7316892.0,9714069.0,14500993.0,2756519.0,7383236.0,12792113.0,18189255.0,,,,,,,,
其他應付款增加（減少）,-609384.0,6266739.0,4026648.0,426239.0,-188441.0,7977392.0,5951253.0,1121062.0,3371658.0,9477789.0,7876144.0,3393667.0,172548.0,5720490.0,817492.0,1864935.0
其他應收款（增加）減少,167040.0,-1664225.0,-1298196.0,700321.0,-531537.0,-736724.0,-1913905.0,-436693.0,688094.0,468423.0,508442.0,2035980.0,-250412.0,-355103.0,-749740.0,247179.0
其他流動負債增加（減少）,-671499.0,110709.0,-36819.0,-259794.0,95086.0,116703.0,68783.0,13627.0,5762.0,18450.0,41041.0,-7721.0,26107.0,54940.0,63195.0,22815.0
其他流動資產（增加）減少,-554293.0,-526827.0,-318146.0,-255489.0,147903.0,-338308.0,-554271.0,-583031.0,44106.0,-53188.0,-472580.0,-885199.0,31067.0,-89043.0,-548319.0,-372349.0
其他非流動資產增加,-399078.0,-2249322.0,-2642905.0,-661392.0,-67184.0,-77146.0,-301022.0,-562133.0,-51796.0,-16796.0,-31457.0,10805.0,-143606.0,662456.0,464599.0,-79994.0
其他項目,13563.0,33206.0,86952.0,-110367.0,9819.0,66142.0,57771.0,1445786.0,64105.0,58676.0,92707.0,335354.0,-118128.0,-197468.0,-116944.0,-58497.0
利息收入,,,,-712033.0,-187350.0,-432038.0,-706613.0,-955874.0,-291532.0,-637352.0,-942279.0,-1165238.0,-248461.0,-485001.0,-685333.0,-927112.0
利息費用,498057.0,1000846.0,1537472.0,2082438.0,613430.0,1229991.0,1762775.0,2384834.0,598486.0,1212024.0,1784744.0,2418953.0,617201.0,1202173.0,1733259.0,2237211.0
匯率變動對現金及約當現金之影響,-464798.0,-874481.0,-78567.0,-1937183.0,402250.0,577638.0,391068.0,20302.0,80301.0,804418.0,747416.0,200175.0,-195989.0,-433903.0,-231140.0,-1344955.0
取得不動產、廠房及設備,-7607716.0,-16485510.0,-25200834.0,-31783690.0,-6479932.0,-13996008.0,-20096181.0,-24921941.0,-4447586.0,-8039788.0,-12226542.0,-16000268.0,-4348045.0,-7344882.0,-10304937.0,-13348441.0
呆帳費用提列（轉列收入）數,-59930.0,154239.0,8889.0,-138304.0,-116011.0,-170508.0,-175325.0,-209838.0,18470.0,30281.0,135545.0,328615.0,83515.0,149667.0,167596.0,134630.0
存入保證金增加,0.0,,98665.0,596974.0,,,,,,195149.0,174650.0,143018.0,,,,68153.0
存出保證金增加,,-132714.0,-144405.0,-234514.0,,,,,,-63731.0,-158820.0,-178673.0,,,,
存貨（增加）減少,64659.0,-1080820.0,-616397.0,-2051921.0,2352632.0,2875870.0,2454190.0,1882408.0,1472168.0,2919916.0,2796945.0,72433.0,4592697.0,5288045.0,4849374.0,2655532.0
應付帳款增加（減少）,2076764.0,2828505.0,2516885.0,526898.0,760516.0,-406660.0,1953859.0,-68335.0,-208750.0,1469225.0,2742890.0,-279250.0,-938123.0,-158887.0,552631.0,644498.0
應付票據增加（減少）,-328728.0,261675.0,-820072.0,20407.0,-514805.0,-99880.0,-376123.0,-413574.0,637084.0,-66862.0,363319.0,21931.0,1003176.0,194403.0,231018.0,986649.0
應收帳款（增加）減少,118273.0,-2532325.0,-2588607.0,-38146.0,-303120.0,-1689085.0,-2771666.0,437507.0,15131.0,-1632899.0,-3300827.0,282594.0,-84259.0,-1144191.0,-2807208.0,-912557.0
應收票據（增加）減少,-58235.0,116683.0,140589.0,414659.0,102220.0,490643.0,455388.0,3151.0,-18345.0,247867.0,129328.0,472738.0,320376.0,119611.0,178111.0,223190.0
應計退休金負債增加（減少）,-98604.0,-248313.0,-346662.0,-262585.0,-76388.0,-167195.0,-265207.0,-363579.0,,,,,,,,
投資活動之淨現金流入（流出）,-15874882.0,-17936665.0,-33914025.0,-35734617.0,-14473973.0,-15728840.0,-34196484.0,-34664445.0,-18368995.0,-11644986.0,-26245089.0,-25774131.0,-12301035.0,-8030346.0,-11485216.0,-10569089.0
折舊費用,3710698.0,7825223.0,11597759.0,15723309.0,4438518.0,8942769.0,13581314.0,18485182.0,4808107.0,9580325.0,14364736.0,19229027.0,4944745.0,9857652.0,14353556.0,19260833.0
攤銷費用,58773.0,243711.0,363046.0,604826.0,188058.0,357898.0,493792.0,674089.0,173083.0,356173.0,556022.0,740602.0,186689.0,381085.0,568882.0,759573.0
支付之利息,-445249.0,-1049819.0,-1447996.0,-2025595.0,-511471.0,-1213199.0,-1547954.0,-2056012.0,-656111.0,-1343050.0,-1677936.0,-2405631.0,-699212.0,-1363211.0,-1889334.0,-2352828.0
收取之利息,,,,712033.0,171601.0,423551.0,636647.0,881832.0,177522.0,596958.0,799993.0,1094264.0,188113.0,462879.0,582497.0,793009.0
收益費損項目合計,,,,,,,,,3486554.0,6463128.0,10731793.0,16408948.0,4210342.0,7704291.0,8966355.0,13108445.0
期初現金及約當現金餘額,43945441.0,43945441.0,43945441.0,43945441.0,40807550.0,40807550.0,40807550.0,40807550.0,43858837.0,43858837.0,43858837.0,43858837.0,45034743.0,45034743.0,45034743.0,45034743.0
期末現金及約當現金餘額,37989129.0,45296930.0,35251467.0,40807550.0,40675648.0,50283950.0,41650241.0,44777669.0,42275252.0,53861825.0,36812473.0,45034743.0,45417491.0,51839085.0,40417384.0,56334630.0
本期現金及約當現金增加（減少）數,-5956312.0,1351489.0,-8693974.0,-3137891.0,-131902.0,9476400.0,842691.0,3970119.0,-1583585.0,10002988.0,-7046364.0,1175906.0,382748.0,6804342.0,-4617359.0,11299887.0
本期稅前淨利（淨損）,6982144.0,13778645.0,21414289.0,25282161.0,7717097.0,13882964.0,18612360.0,22261814.0,8369130.0,17248460.0,24315475.0,27249360.0,7980132.0,17029865.0,25518644.0,30502342.0
淨確定福利負債增加(減少),,,,,,,,,-82785.0,-204574.0,-312237.0,-482614.0,-595242.0,-679487.0,-776964.0,-928384.0
營業活動之淨現金流入（流出）,6873507.0,12837048.0,21111169.0,30345265.0,6411244.0,15499213.0,27264692.0,33047214.0,13773676.0,24077333.0,39602498.0,50877015.0,14344705.0,25406251.0,35061353.0,55526148.0
營運產生之現金流入（流出）,7799169.0,16549112.0,26648830.0,36643404.0,6960392.0,18690689.0,32104474.0,38811300.0,14907752.0,27000368.0,42673940.0,54627977.0,14632581.0,27631094.0,37820242.0,58756911.0
發放現金股利,,,-6807464.0,-6807464.0,0.0,,-7731334.0,-7731334.0,0.0,,-7648867.0,-7648867.0,,,-11364031.0,-11364031.0
短期借款增加,2479323.0,3879237.0,8650071.0,5698570.0,11049608.0,7439269.0,9785082.0,4461875.0,8891810.0,8209150.0,5666343.0,1879200.0,-2671232.0,992007.0,-5285822.0,-4573957.0
籌資活動之淨現金流入（流出）,3509861.0,7325587.0,4187449.0,4188644.0,7528577.0,9128389.0,7383415.0,5567048.0,2931433.0,-3233777.0,-21151189.0,-24127153.0,-1464933.0,-10137660.0,-27962356.0,-32312217.0
繼續營業單位稅前淨利（淨損）,6982144.0,13778645.0,21414289.0,25282161.0,7717097.0,13882964.0,18612360.0,22261814.0,8369130.0,17248460.0,24315475.0,27249360.0,7980132.0,17029865.0,25518644.0,30502342.0
與營業活動相關之負債之淨變動合計,368549.0,7440998.0,3990054.0,3332389.0,-2906583.0,3429188.0,3513965.0,496800.0,1683042.0,6729454.0,8223631.0,6902999.0,-5915028.0,-1128562.0,-4279107.0,3405427.0
與營業活動相關之資產之淨變動合計,-3006511.0,-11987423.0,-8469582.0,-6472139.0,-606641.0,-6004699.0,-2813964.0,-2136569.0,1369026.0,-3440674.0,-596959.0,4066670.0,8357135.0,4025500.0,7614350.0,11740697.0
與營業活動相關之資產及負債之淨變動合計,-2637962.0,-4546425.0,-4479528.0,-3139750.0,-3513224.0,-2575511.0,700001.0,-1639769.0,3052068.0,3288780.0,7626672.0,10969669.0,2442107.0,2896938.0,3335243.0,15146124.0
處分不動產、廠房及設備,128344.0,587907.0,973113.0,1330206.0,161804.0,173340.0,241449.0,535219.0,78742.0,214002.0,685923.0,537472.0,123913.0,169227.0,335593.0,599536.0
處分及報廢不動產、廠房及設備損失（利益）,130116.0,-206647.0,56391.0,212398.0,7956.0,22469.0,51245.0,161459.0,18650.0,47898.0,90912.0,178140.0,77123.0,221199.0,293318.0,146122.0
處分投資損失（利益）,-449276.0,-342389.0,-1758515.0,-1836627.0,-1341710.0,-1358244.0,-1479285.0,-1651743.0,-297198.0,-893271.0,-471168.0,-494235.0,-199968.0,-284904.0,-1276019.0,-3640983.0
調整項目合計,817025.0,2770467.0,5234541.0,11361243.0,-756705.0,4807725.0,13492114.0,16549486.0,6538622.0,9751908.0,18358465.0,27378617.0,6652449.0,10601229.0,12301598.0,28254569.0
資產負債表帳列之現金及約當現金,37989129.0,45296930.0,35251467.0,40807550.0,40675648.0,50283950.0,41650241.0,44777669.0,42275252.0,53861825.0,36812473.0,45034743.0,45417491.0,51839085.0,40417384.0,56334630.0
退還（支付）之所得稅,-480413.0,-2662245.0,-4089665.0,-4984577.0,-209278.0,-2401828.0,-3928475.0,-4589906.0,-655487.0,-3179168.0,-5039566.0,-5756679.0,-225275.0,-2792807.0,-4628050.0,-5161148.0
預付款項（增加）減少,-1377712.0,-194079.0,-1652199.0,-2028395.0,-1818237.0,-486731.0,-987043.0,-1129629.0,-695414.0,384035.0,443982.0,1612250.0,-1757669.0,-393801.0,-33723.0,755662.0
