,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,"1,450,084","1,450,084","3,327,222","4,458,705","7,321,101","2,188,842","3,912,855","4,764,197","6,711,645",,,,,,,
以成本衡量之金融資產減資退回股款,,,,,0,,,,"33,696",,,,"9,461",,"11,584","11,584"
償還長期借款,"-6,812,426","-6,812,426","-15,241,149","-29,156,061","-33,479,971","-11,094,275","-15,505,844","-25,262,611","-39,756,097","-9,803,366","-14,381,360","-21,009,502","-22,574,692","-10,939,153","-17,697,169","-26,678,560"
其他應付款增加（減少）,"-1,261,195","-1,261,195","-676,024","-805,180","616,370","-1,413,349","-1,251,966","-1,371,614","-1,176,176","-1,264,695","-2,853,785","-1,102,995","-1,415,824","-366,913","-376,596","-225,951"
其他應收款（增加）減少,,,,"-560,409","887,627","-2,384","21,745","77,536","460,476","370,995","375,854","661,560","630,897","89,652","24,915","-14,496"
其他應收款－關係人增加,,,0,0,0,,,,,,,,,,,
其他應收款－關係人（增加）減少,"248,702","248,702","850,573","1,079,414","1,648,292","7,429","135,855","204,180","-1,507,176","657,261","1,530,449","827,551","846,460","17,438","27,575","25,416"
其他流動負債增加（減少）,"403,477","403,477","175,348","-439,740","-191,244","-199,428","-202,673","-153,068","-223,147","-51,552","-61,177","-87,639","-105,817","-42,039","9,165","-12,174"
其他流動資產（增加）減少,"-649,257","-649,257","-21,033","-86,257","24,095","-180,275","-37,370","-61,893","34,898","-127,419","-21,271","-89,434","122,942","-193,058","-31,354","-149,470"
其他營業資產（增加）減少,,,,,,,,,,"-2,040",,,,,,
其他金融資產增加,"-102,446","-102,446","-73,128","-66,317","166,343","18,356","-19,479","-20,046","-31,724",,"-2,052,938","-2,134,608","-691,123",,"-105,945","1,055,482"
其他金融資產減少,,,,,,,,,,"3,023",,,,"-577,020",,
其他金融資產（增加）減少,"-710,561","-710,561","-721,639","823,782","921,940","654,733","762,242","762,092","82,247","-743,988",,,,,,
其他非流動負債減少,"-28,549","-28,549","-21,670","-41,527","-365,503","11,274","11,272","72,982","-52,231","-3,924","-256,772","-341,230","-324,608","-43,441","-119,111","-140,255"
其他非流動資產增加,"471,220","471,220","424,578","515,825","-411,981","226,778","310,710","24,196","52,986","-68,146","64,835","45,877","208,091","-363,711","-293,920","-376,050"
其他項目,"43,313","43,313","97,325","145,307","207,476","47,969","92,930","161,727","212,131","55,093","114,318","177,978","240,781","60,540","120,182","179,515"
其他預付款項增加,"-49,817","-49,817","-88,913","-97,311","-98,265","-145,349","-149,370","-148,966","-151,652","-34,405","-82,523","-125,352","-125,947","-3,493","-47,335","-59,777"
利息收入,"-49,859","-49,859","-94,890","-150,507","-198,029","-56,227","-127,643","-204,319","-309,383","-126,367","-215,208","-325,186","-430,757","-78,488","-147,960","-223,690"
利息費用,"528,260","528,260","976,601","1,439,045","1,910,300","482,195","952,623","1,427,905","1,907,215","482,383","900,633","1,383,484","1,873,739","504,825","970,881","1,440,271"
匯率變動對現金及約當現金之影響,"417,270","417,270","127,839","-445,029","147,547","-427,867","-461,600","-52,692","-355,157","-17,032","-861,576","674,552","-420,081","-207,064","-520,891","-1,029,985"
取得不動產、廠房及設備,"-211,456","-211,456","-1,244,997","-1,715,932","-2,805,066","-940,633","-1,405,642","-2,316,699","-3,701,188","-818,460","-977,713","-1,537,825","-2,726,976","-1,499,102","-1,958,027","-2,107,382"
取得以成本衡量之金融資產,,,,-2,-3,,,0,-1,,,-1,-1,,,-1
取得備供出售金融資產,"-19,990","-19,990","-53,244","-53,244","-1,536,492","-15,000","-15,000","-15,000","-15,000",0,0,-87,"-10,087","-25,290","-35,449","-366,113"
取得子公司股權,,,"-155,948","-821,365","-950,866","-1,645","-1,645","-1,645","-1,645",0,0,0,0,,,"-2,732,057"
取得投資性不動產,,,,,-398,,,-238,-238,,,0,0,,,
取得採用權益法之投資,0,0,"-116,335","-204,573","-222,995",,0,0,0,,,,,,,
取得無形資產,0,0,0,"-4,908","-175,907",-167,"-1,370","-1,370","-1,379","-213,360","-371,254","-375,917","-379,647",-313,"-79,557","-78,224"
存貨（增加）減少,"-859,829","-859,829","-742,673","-409,860","340,240","-1,310,774","-1,136,429","-1,116,556","-1,195,821","679,041","1,391,767","2,245,254","2,495,379","382,448","549,382","504,935"
對子公司之收購（扣除所取得之現金）,"-498,963","-498,963","-498,963","-637,253","-642,888",0,0,0,0,"-594,733","-3,791,183","-6,359,253","-6,721,329",0,0,0
應付帳款增加（減少）,"746,944","746,944","1,698,744","260,520","236,807","1,300,867","380,860","-115,435","-1,403,142","-420,251","-660,600","-2,673,762","-2,619,517","-1,032,112","-190,420","-229,504"
應付帳款－關係人增加（減少）,"1,670","1,670",912,"-55,307","-21,531","-40,714",652,"-9,937","11,604","-20,629","-38,745","-91,791","-81,560",,"-22,504","-20,181"
應付短期票券增加,,,,,"190,112",,,,,,,,,,,
應付租賃款減少,,,0,0,,,,,,,,,,,,
應收帳款（增加）減少,"-510,125","-510,125","-94,804","692,690","301,652","643,541","-16,543","-555,544","371,274","1,219,119","551,445","2,186,463","1,884,936","1,117,979","437,649","778,603"
應收帳款－關係人（增加）減少,"46,524","46,524","-7,318","-26,571","-42,530","44,700","30,180","12,526","13,032","-360,075","-543,758","-624,931","-643,176","18,463","108,392","188,322"
應收票據（增加）減少,"1,720,608","1,720,608","-155,156","-3,999,163","-5,908,031","2,498,317","714,325","-714,501","-327,064","3,826,186","4,973,268","5,899,295","5,888,746","3,781,418","2,374,061","1,798,555"
應計退休金負債增加（減少）,"-16,144","-16,144","-123,681","-186,776","-208,581","-23,013","-69,039","-110,536","-116,139",,,,,,,
投資活動之淨現金流入（流出）,"1,306,842","1,306,842","-317,113","1,135,796","-1,248,644","-406,351","-455,303","-222,322","-3,098,012","-1,500,087","-6,211,890","-8,454,575","-7,833,403","-2,382,291","-1,714,216","253,704"
折舊費用,"1,571,884","1,571,884","3,114,925","4,720,349","6,839,020","1,594,505","3,168,197","4,755,689","6,331,499","1,711,428","3,402,086","5,226,388","7,021,678","1,723,452","3,388,639","5,011,938"
