,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不動產、廠房及設備轉列費用數,0.0,0.0,0.0,0.0,0.0,612.0,612.0,1423.0,,0.0,0.0,1722.0,43.0,43.0,150.0,43.0
不影響現金流量之收益費損項目合計,25977.0,61537.0,92858.0,127707.0,36586.0,79896.0,129286.0,176201.0,,,,,,,,
以成本衡量之金融資產減資退回股款,,0.0,0.0,1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.0,0.0,0.0,0.0,0.0
停業單位稅前淨利（淨損）,-206.0,-206.0,-206.0,-206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
償還長期借款,0.0,-10000.0,,,,,-40000.0,-40000.0,-3250.0,-79250.0,-53417.0,-155305.0,-6778.0,-37512.0,-170201.0,-173666.0
其他應付款增加（減少）,-22926.0,-34345.0,-1179.0,71496.0,-75925.0,-78318.0,-52677.0,9443.0,-50784.0,-67919.0,-57537.0,-4214.0,-70472.0,53557.0,237.0,14679.0
其他應收款（增加）減少,-2188.0,-6069.0,-11135.0,-13563.0,7675.0,13348.0,19311.0,18393.0,-11603.0,-18289.0,-23380.0,-3918.0,-1241.0,1267.0,-7447.0,-3119.0
其他應收款－關係人（增加）減少,,,,,,,,,-3975.0,,,,,,,
其他投資活動,-12322.0,-17220.0,1456.0,-9501.0,-389.0,-927.0,-3204.0,-1079.0,-156.0,-4288.0,-191.0,117.0,1071.0,-2576.0,2299.0,669.0
其他流動負債增加（減少）,-34117.0,11421.0,,,,,,,,,,,,,,
其他營業負債增加（減少）,2448.0,4068.0,-2149.0,-3702.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他營業資產（增加）減少,,,,,,,,-1027.0,0.0,0.0,0.0,-1696.0,0.0,0.0,0.0,-1730.0
其他籌資活動,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他金融資產增加,,,,,,-2704.0,-3349.0,-3349.0,0.0,649.0,,,,,,-64500.0
其他金融資產減少,,,,,,,,,,,649.0,-2034.0,0.0,5383.0,5383.0,0.0
其他非流動資產增加,,,,,,,,,,,,,,,,0.0
其他非流動資產減少,,,,,,,,,,,,,,,,5383.0
其他項目,-16933.0,-17078.0,-12428.0,-17134.0,-221.0,111.0,5476.0,10834.0,3210.0,5181.0,5133.0,21400.0,-2701.0,-5312.0,6591.0,-5054.0
其他預付款項增加,,,-1212.0,-2045.0,,,,,,,,,,,,
其他預付款項減少,,,,,607.0,1973.0,588.0,0.0,,,,,,,,
利息收入,,,,,,,-2586.0,-3946.0,-387.0,-1347.0,-1855.0,-2619.0,-392.0,-1046.0,-1292.0,-2009.0
利息費用,3529.0,6051.0,7998.0,9589.0,1075.0,2731.0,4510.0,6353.0,836.0,1960.0,3005.0,4059.0,658.0,1568.0,2376.0,3953.0
匯率變動對現金及約當現金之影響,-5557.0,109761.0,108273.0,120012.0,1147.0,-620.0,-815.0,9373.0,-270.0,508.0,9739.0,-3199.0,-996.0,-1535.0,6536.0,8987.0
取得不動產、廠房及設備,-53670.0,-147130.0,-232965.0,-384402.0,-13064.0,-51278.0,-78683.0,-113475.0,-32773.0,-28072.0,-54725.0,-125050.0,-20516.0,-132173.0,-46386.0,-74856.0
取得以成本衡量之金融資產,,,-1485.0,-1303.0,0.0,0.0,-12000.0,0.0,0.0,0.0,0.0,0.0,-99110.0,-131421.0,-131421.0,-131421.0
取得備供出售金融資產,,,0.0,0.0,0.0,0.0,0.0,-66846.0,0.0,0.0,-35912.0,-35910.0,0.0,0.0,0.0,-4110.0
取得採用權益法之投資,,-86803.0,-87403.0,-173518.0,0.0,-40359.0,-40359.0,-40359.0,0.0,0.0,0.0,0.0,686.0,686.0,,
取得無形資產,0.0,-1594.0,-13769.0,-38325.0,-257.0,-446.0,-2507.0,-6429.0,-490.0,-1709.0,-1721.0,-859.0,-125.0,-162.0,-1792.0,-2112.0
呆帳費用提列（轉列收入）數,1302.0,1912.0,2454.0,2254.0,-973.0,442.0,704.0,10178.0,462.0,945.0,1658.0,-3180.0,-4671.0,1721.0,5255.0,8568.0
存入保證金增加,,,,,37.0,21.0,940.0,2195.0,1132.0,2861.0,2912.0,3061.0,-101.0,,-119.0,-210.0
存入保證金減少,-326.0,-1778.0,-2105.0,-2144.0,,,,,,,,,,-158.0,,
存出保證金增加,,,-1964.0,,,,,,,,-9825.0,-8005.0,180.0,,3968.0,0.0
存出保證金減少,,,,6745.0,3509.0,3442.0,2482.0,1434.0,-132.0,105.0,,,,847.0,,3969.0
存貨（增加）減少,24210.0,4147.0,-8937.0,-12463.0,27872.0,-52934.0,-160984.0,-208311.0,3298.0,11505.0,33695.0,71271.0,-3391.0,35151.0,5516.0,-90010.0
應付帳款增加（減少）,49021.0,44795.0,48331.0,42263.0,18085.0,-14936.0,4290.0,-35034.0,-17477.0,-31561.0,-14564.0,30574.0,4397.0,-10496.0,19976.0,65921.0
應付短期票券增加,,,,,,,,30000.0,,,,,,,200000.0,100000.0
應付短期票券減少,-6.0,-30032.0,-40000.0,-10000.0,-10000.0,-60000.0,170000.0,,0.0,-40000.0,20000.0,-10000.0,20000.0,-30000.0,,
應付票據增加（減少）,-61349.0,-32304.0,-52225.0,-27335.0,-4968.0,13470.0,9994.0,68742.0,-16285.0,-65073.0,-97926.0,-45902.0,-20447.0,-3430.0,-18867.0,-3215.0
應收帳款（增加）減少,-40261.0,-6347.0,23236.0,-25964.0,-14978.0,16589.0,24373.0,-58005.0,72231.0,89780.0,59567.0,2908.0,44008.0,-35401.0,-39325.0,-55092.0
應收票據（增加）減少,16610.0,-1280.0,85823.0,88575.0,16456.0,-20061.0,-15666.0,4369.0,-11335.0,-13410.0,-24047.0,1728.0,18970.0,44959.0,31568.0,-29040.0
應計退休金負債增加（減少）,,,9116.0,4423.0,2807.0,4356.0,8839.0,12540.0,,,,,,,,
投資活動之淨現金流入（流出）,-63766.0,-249282.0,-344319.0,-590756.0,-27444.0,-119221.0,-174569.0,-285866.0,-53444.0,-70753.0,-150898.0,-219214.0,-134826.0,-293191.0,-232593.0,-364828.0
折舊費用,33842.0,65862.0,100776.0,134964.0,36154.0,72306.0,109157.0,146124.0,38353.0,77245.0,111919.0,156877.0,44674.0,91404.0,138224.0,183252.0
持有供交易之金融資產（增加）減少,-6492.0,-13710.0,-33775.0,-19632.0,44154.0,59049.0,44058.0,80482.0,18926.0,3927.0,4168.0,4168.0,34882.0,34882.0,39877.0,-55659.0
採用權益法認列之關聯企業及合資損失（利益）之份額,,551.0,-5250.0,-3149.0,-1450.0,29.0,5751.0,5161.0,4840.0,9228.0,20563.0,33472.0,1732.0,-443.0,3187.0,31060.0
攤銷費用,2025.0,3436.0,4800.0,6298.0,1742.0,3489.0,5287.0,6438.0,2075.0,4107.0,6145.0,8187.0,2140.0,4194.0,6278.0,8380.0
支付之利息,-1243.0,-1685.0,-1713.0,-4040.0,-689.0,-1557.0,-4864.0,-6678.0,-843.0,-2004.0,-3034.0,-3044.0,-661.0,-1535.0,-3668.0,-3675.0
收取之利息,,,,,,,2677.0,4032.0,387.0,1415.0,1653.0,2671.0,392.0,1116.0,1356.0,2079.0
收取之股利,,,,,,,,7186.0,,1983.0,12361.0,12361.0,0.0,1916.0,17247.0,17247.0
收益費損項目合計,,,,,,,,,50839.0,96754.0,135301.0,212677.0,40769.0,89013.0,142063.0,217249.0
期初現金及約當現金餘額,963094.0,963094.0,963094.0,963094.0,767941.0,767941.0,767941.0,767941.0,543233.0,543233.0,543233.0,543233.0,766379.0,766379.0,766379.0,766379.0
期末現金及約當現金餘額,925088.0,865506.0,710986.0,767941.0,887261.0,893444.0,672195.0,543233.0,599899.0,679171.0,635824.0,766379.0,823474.0,778657.0,984829.0,876820.0
本期現金及約當現金增加（減少）數,-38006.0,-97588.0,-252108.0,-195153.0,119320.0,125503.0,-95746.0,-224708.0,56666.0,135938.0,92591.0,223146.0,57095.0,12278.0,218450.0,110441.0
本期稅前淨利（淨損）,144596.0,253617.0,329479.0,368713.0,112726.0,239985.0,362020.0,458594.0,132902.0,257969.0,381906.0,463702.0,102586.0,223099.0,365756.0,461755.0
淨確定福利負債增加(減少),,,,,,,,,3181.0,7315.0,9609.0,20593.0,1911.0,-327.0,-145236.0,-154848.0
營業活動之淨現金流入（流出）,41977.0,230620.0,315356.0,427259.0,169784.0,279190.0,356910.0,582305.0,124182.0,223514.0,334689.0,650865.0,163501.0,375911.0,307230.0,305376.0
營運產生之現金流入（流出）,43220.0,265242.0,377118.0,491253.0,170473.0,322920.0,421363.0,650933.0,126915.0,265479.0,408302.0,716685.0,163808.0,444661.0,401551.0,393524.0
發放現金股利,,,-203749.0,-203749.0,0.0,0.0,-446740.0,-446740.0,0.0,0.0,-178696.0,-178696.0,0.0,0.0,-268044.0,-268044.0
短期借款增加,,,,215255.0,56050.0,232943.0,456795.0,0.0,0.0,0.0,58172.0,25155.0,16174.0,0.0,186596.0,284363.0
短期借款減少,-12970.0,-112445.0,-167189.0,-252445.0,-73296.0,-236659.0,-506376.0,-154287.0,-10968.0,39032.0,0.0,0.0,0.0,-16776.0,0.0,0.0
籌資活動之淨現金流入（流出）,-10660.0,-188687.0,-331418.0,-151668.0,-24167.0,-33846.0,-277272.0,-530520.0,-13802.0,-17331.0,-100939.0,-205306.0,29416.0,-68907.0,137277.0,160906.0
繼續營業單位稅前淨利（淨損）,144802.0,253823.0,329685.0,368919.0,112726.0,239985.0,362020.0,458594.0,132902.0,257969.0,381906.0,463702.0,102586.0,223099.0,365756.0,461755.0
股利收入,,,,,,,,-7186.0,,-1983.0,-12361.0,-12361.0,0.0,-1916.0,-17247.0,-17247.0
與營業活動相關之負債之淨變動合計,-66923.0,-6365.0,7564.0,96156.0,-54474.0,-75631.0,-21130.0,76742.0,-110181.0,-165124.0,-161435.0,2201.0,-90940.0,30889.0,-157648.0,-90608.0
與營業活動相關之資產之淨變動合計,-60430.0,-43547.0,-52783.0,-101323.0,75635.0,78670.0,-48813.0,-60604.0,53355.0,75880.0,52530.0,38105.0,111393.0,101660.0,51380.0,-194872.0
與營業活動相關之資產及負債之淨變動合計,-127353.0,-49912.0,-45219.0,-5167.0,21161.0,3039.0,-69943.0,16138.0,-56826.0,-89244.0,-108905.0,40306.0,20453.0,132549.0,-106268.0,-285480.0
舉借長期借款,,,117000.0,117000.0,0.0,30000.0,86250.0,81750.0,0.0,40000.0,28000.0,90923.0,0.0,25000.0,51486.0,81486.0
處分不動產、廠房及設備,275.0,1514.0,7552.0,7976.0,128.0,491.0,2336.0,1073.0,93.0,658.0,1779.0,2103.0,364.0,936.0,1331.0,2419.0
處分以成本衡量之金融資產,,,,-182.0,0.0,0.0,0.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
處分備供出售金融資產,1951.0,1951.0,2015.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
處分及報廢不動產、廠房及設備損失（利益）,650.0,-39.0,-5508.0,-4994.0,509.0,320.0,654.0,610.0,1573.0,1119.0,517.0,178.0,-194.0,-167.0,-313.0,-1121.0
處分待出售非流動資產,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
處分待出售非流動資產損失（利益）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
處分投資損失（利益）,-73.0,-73.0,-137.0,45.0,0.0,0.0,0.0,-788.0,,0.0,0.0,0.0,-564.0,-564.0,-564.0,-564.0
處分採用權益法之投資,,,,,,,,,,,,,,,686.0,686.0
調整項目合計,-101376.0,11625.0,47639.0,122540.0,57747.0,82935.0,59343.0,192339.0,-5987.0,7510.0,26396.0,252983.0,61222.0,221562.0,35795.0,-68231.0
資產負債表帳列之現金及約當現金,925088.0,865506.0,710986.0,767941.0,887261.0,893444.0,672195.0,543233.0,599899.0,679171.0,635824.0,766379.0,823474.0,778657.0,984829.0,876820.0
退還（支付）之所得稅,,-32937.0,-60049.0,-59954.0,0.0,-42173.0,-62266.0,-73168.0,-2277.0,-43359.0,-84593.0,-77808.0,-38.0,-70247.0,-109256.0,-103799.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,1635.0,915.0,153.0,-166.0,-250.0,-144.0,-279.0,-1630.0,-123.0,299.0,577.0,449.0,44.0,-469.0,-582.0,-275.0
非控制權益變動,2642.0,-34432.0,-35375.0,-15585.0,3042.0,-151.0,1859.0,-3438.0,-716.0,20026.0,22090.0,19556.0,121.0,-9461.0,137559.0,136977.0
非金融資產減損損失,,,,,,,,2630.0,0.0,0.0,0.0,4493.0,0.0,0.0,0.0,8263.0
預付款項（增加）減少,-52309.0,-20288.0,-107995.0,-118276.0,-5544.0,62679.0,40095.0,103495.0,-14187.0,2367.0,2527.0,-36356.0,18165.0,20802.0,21191.0,39778.0
預付設備款增加,,,-16544.0,,-17978.0,-29413.0,-39873.0,-57624.0,-19986.0,-38096.0,-50952.0,-53072.0,-17376.0,-34711.0,-66661.0,-100955.0
預付設備款減少,,,,29.0,,,,,,,,,,,,
預收款項增加（減少）,,,5670.0,9011.0,5527.0,-203.0,8424.0,21051.0,-28816.0,-7886.0,-1017.0,1150.0,-6329.0,-8415.0,-13758.0,-13145.0
