,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,929001.0,31.1,915746.0,31.44,919732.0,31.96,910998.0,29.48,895757.0,28.75,912558.0,30.34,905067.0,29.76,896445.0,27.46,896314.0,29.72,896543.0,29.69,900983.0,29.89,888505.0,28.71,897958.0,30.4,897230.0,30.22,892069.0,30.18,875425.0,29.04
保留盈餘合計,434398.0,14.54,370448.0,12.72,404033.0,14.04,400431.0,12.96,421584.0,13.53,378754.0,12.59,395892.0,13.02,387971.0,11.88,386398.0,12.81,364072.0,12.05,421170.0,13.97,450823.0,14.57,483704.0,16.37,449306.0,15.13,490627.0,16.6,525675.0,17.44
備供出售金融資產－非流動淨額,67916.0,2.27,62101.0,2.13,67709.0,2.35,64697.0,2.09,66774.0,2.14,66255.0,2.2,71240.0,2.34,70928.0,2.17,84948.0,2.82,89725.0,2.97,81313.0,2.7,80690.0,2.61,75290.0,2.55,81001.0,2.73,83078.0,2.81,86921.0,2.88
其他應付款,47255.0,1.58,127514.0,4.38,53535.0,1.86,52852.0,1.71,37780.0,1.21,120439.0,4.0,49485.0,1.63,61581.0,1.89,50126.0,1.66,150998.0,5.0,80258.0,2.66,91301.0,2.95,79367.0,2.69,183050.0,6.17,87464.0,2.96,63631.0,2.11
其他應收款淨額,43121.0,1.44,71752.0,2.46,72522.0,2.52,96309.0,3.12,97781.0,3.14,51710.0,1.72,54303.0,1.79,44055.0,1.35,48970.0,1.62,32871.0,1.09,39413.0,1.31,82942.0,2.68,112679.0,3.81,35069.0,1.18,16761.0,0.57,80604.0,2.67
其他權益合計,-79399.0,-2.66,-85355.0,-2.93,-67651.0,-2.35,-50744.0,-1.64,-49178.0,-1.58,-56394.0,-1.87,-65452.0,-2.15,-62686.0,-1.92,-53809.0,-1.78,-64699.0,-2.14,-73030.0,-2.42,-71207.0,-2.3,-80083.0,-2.71,-77894.0,-2.62,-61682.0,-2.09,-63663.0,-2.11
其他流動負債,24818.0,0.83,40774.0,1.4,16036.0,0.56,52375.0,1.7,54340.0,1.74,47891.0,1.59,48530.0,1.6,47838.0,1.47,48395.0,1.6,19382.0,0.64,20160.0,0.67,29085.0,0.94,25273.0,0.86,16443.0,0.55,24243.0,0.82,7928.0,0.26
其他流動資產,339.0,0.01,1219.0,0.04,824.0,0.03,578.0,0.02,20277.0,0.65,17029.0,0.57,2549.0,0.08,10887.0,0.33,19554.0,0.65,2008.0,0.07,619.0,0.02,419.0,0.01,476.0,0.02,1055.0,0.04,521.0,0.02,769.0,0.03
其他非流動負債,120902.0,4.05,121399.0,4.17,121871.0,4.24,116732.0,3.78,112394.0,3.61,112377.0,3.74,112099.0,3.69,116186.0,3.56,116449.0,3.86,111308.0,3.69,111135.0,3.69,109423.0,3.54,24641.0,0.83,25381.0,0.85,26504.0,0.9,29313.0,0.97
其他非流動資產,27054.0,0.91,34096.0,1.17,36915.0,1.28,38786.0,1.26,53904.0,1.73,44487.0,1.48,37216.0,1.22,42186.0,1.29,51602.0,1.71,35186.0,1.17,35172.0,1.17,43901.0,1.42,42954.0,1.45,49918.0,1.68,62622.0,2.12,38646.0,1.28
存貨,613209.0,20.53,624897.0,21.46,511469.0,17.78,521420.0,16.88,543003.0,17.43,617648.0,20.53,550290.0,18.1,554808.0,16.99,603956.0,20.03,494140.0,16.36,596317.0,19.79,589078.0,19.03,627579.0,21.25,508941.0,17.14,594269.0,20.11,524488.0,17.4
